,year,Premio ganador,Premio finalista,Premio Semi finalista,Premio Cuartos de final,Premio 4ta Ronda,Premio 3era Ronda,Premio 2da Ronda,Premio Qualifiers 3ra Ronda,Premio Qualifiers 2da Ronda,Premio Qualifiers 1era Ronda,Premio Qualifiers 1era Ronda,tour,tourney key
0,2000,1917028.3250588875,1040672.5193176818,602494.6164470789,364235.3817611886,230043.3990070665,158839.48979059354,109544.47571765071,39436.01125835426,26838.396550824426,19170.283250588873,19170.283250588873,AUS,AUSTRALIAN OPEN - 2000
1,2001,1965720.8445153835,1067105.601308351,617797.9797048348,373486.96045792283,235886.50134184601,162874.01283127462,112326.90540087906,40437.68594431646,27520.091823215367,19657.208445153836,19657.208445153836,AUS,AUSTRALIAN OPEN - 2001
2,2002,2015650.1539660743,1094210.083581583,633490.0483893376,382973.5292535541,241878.01847592893,167011.01275718902,115180.00879806139,41464.8031673021,28219.10215552504,20156.50153966074,20156.50153966074,AUS,AUSTRALIAN OPEN - 2002
3,2003,2066847.6678768129,1122003.0197045554,649580.6956184269,392701.0568965944,248021.72014521752,171253.09248122163,118105.58102153215,42518.009167751574,28935.867350275377,20668.47667876813,20668.47667876813,AUS,AUSTRALIAN OPEN - 2003
4,2004,2119345.598640884,1150501.8964050512,666080.0452871349,402675.66374176793,254321.47183690607,175602.92103024467,121105.46277947909,43597.96660061247,29670.838380972375,21193.45598640884,21193.45598640884,AUS,AUSTRALIAN OPEN - 2004
5,2005,2173176.9768463625,1179724.6445737397,682998.4784374282,412903.6256008089,260781.2372215635,180063.2352244129,124181.54153407786,44705.354952268026,30424.477675849073,21731.769768463626,21731.769768463626,AUS,AUSTRALIAN OPEN - 2005
6,2006,2228375.6720582605,1209689.6505459128,700346.639789739,423391.3776910695,267405.08064699126,184636.841399113,127335.75268904345,45840.87096805564,31197.259408815647,22283.756720582605,22283.756720582605,AUS,AUSTRALIAN OPEN - 2006
7,2007,2284976.4141285405,1240415.767669779,718135.4444403985,434145.5186844227,274197.16969542485,189326.6171706505,130570.08080734518,47005.229090644265,31989.66979779957,22849.764141285406,22849.764141285406,AUS,AUSTRALIAN OPEN - 2007
8,2008,2343014.8150474057,1271922.3281685917,736376.0847291846,445172.8148590071,281161.7778056887,194135.51324678503,133886.56085985174,48199.16190954663,32802.20741066368,23430.148150474055,23430.148150474055,AUS,AUSTRALIAN OPEN - 2008
9,2009,2402527.39134961,1304229.1553040738,755080.037281306,456480.20435642585,288303.2869619532,199066.5552832534,137287.279505692,49423.42062204912,33635.38347889454,24025.273913496098,24025.273913496098,AUS,AUSTRALIAN OPEN - 2009
10,2010,2463551.58708989,1337356.5758487973,774259.0702282512,468074.8015470791,295626.1904507868,204122.84578744802,140774.37640513657,50678.77550584917,34489.72221925846,24635.5158708989,24635.5158708989,AUS,AUSTRALIAN OPEN - 2010
11,2011,2526125.7974019735,1371325.4328753569,793925.2506120488,479963.90150637494,303135.0956882368,209307.56607044922,144350.04556582705,51966.01640369774,35365.76116362763,25261.257974019733,25261.257974019733,AUS,AUSTRALIAN OPEN - 2011
12,2012,2590289.392655984,1406157.0988703913,814090.951977595,492154.98460463696,310834.7271187181,214623.97824863865,148016.53672319907,53285.95322035167,36264.05149718378,25902.89392655984,25902.89392655984,AUS,AUSTRALIAN OPEN - 2012
13,2013,2656082.7432294465,1441873.4891816995,834768.862157826,504655.7212135948,318729.92918753356,220075.4272961541,151776.15675596835,54639.41643214861,37185.15840521225,26560.827432294464,26560.827432294464,AUS,AUSTRALIAN OPEN - 2013
14,2014,2723547.2449074746,1478497.0758069146,855971.9912566348,517473.97653242014,326825.6693888969,225665.34314947645,155631.27113756997,56027.257609525186,38129.66142870464,27235.472449074743,27235.472449074743,AUS,AUSTRALIAN OPEN - 2014
15,2015,2792725.344928124,1516050.9015324102,877713.6798345533,530617.8155363436,335127.0413913749,231397.24286547315,159584.30542446423,57450.349952807126,39098.15482899374,27927.25344928124,27927.25344928124,AUS,AUSTRALIAN OPEN - 2015
16,2016,2863660.5686892993,1554558.594431334,900007.6073023512,544095.5080509669,343639.2682427159,237274.73283425623,163637.74678224567,58909.58884160844,40091.24796165019,28636.60568689299,28636.60568689299,AUS,AUSTRALIAN OPEN - 2016
17,2017,2936397.5471340073,1594044.3827298898,922867.800527831,557915.5339554615,352367.7056560809,243301.51104824632,167794.14555051472,60405.89239818529,41109.565659876105,29363.975471340076,29363.975471340076,AUS,AUSTRALIAN OPEN - 2017
18,2018,3010982.0448312117,1634533.1100512291,946308.642661238,572086.5885179302,361317.8453797454,249481.3694288718,172056.11684749782,61940.20206509921,42153.74862763696,30109.820448312115,30109.820448312115,AUS,AUSTRALIAN OPEN - 2018
19,2019,3087460.9887699247,1676050.2510465304,970344.8821848334,586617.5878662857,370495.31865239097,255818.19621236518,176426.34221542426,63513.483197552734,43224.453842778945,30874.609887699244,30874.609887699244,AUS,AUSTRALIAN OPEN - 2019
20,2020,3165882.497884681,1718621.9274231123,994991.6421923282,601517.6745980893,379905.8997461617,262315.97839615925,180907.57130769605,65126.725670770575,44322.35497038553,31658.82497884681,31658.82497884681,AUS,AUSTRALIAN OPEN - 2020
21,2021,3246295.913330952,1762274.9243796598,1020264.4299040135,616796.2235328809,389555.50959971425,268978.80424742174,185502.62361891154,66780.94450280815,45448.14278663333,32462.959133309523,32462.959133309523,AUS,AUSTRALIAN OPEN - 2021
22,2022,3328751.829529559,1807036.7074589033,1046179.1464235756,632462.8476106161,399450.2195435471,275810.8658753063,190214.39025883193,68477.18049317949,46602.525613413825,33287.51829529559,33287.51829529559,AUS,AUSTRALIAN OPEN - 2022
23,2023,3413302.1259996095,1852935.4398283595,1072752.0967427345,648527.4039399258,409596.25511995313,282816.4618685391,195045.83577140627,70216.50087770626,47786.22976399453,34133.021259996094,34133.021259996094,AUS,AUSTRALIAN OPEN - 2023
24,2024,3500000.0,1900000.0,1100000.0,665000.0,420000.0,290000.0,200000.0,72000.0,49000.0,35000.0,35000.0,AUS,AUSTRALIAN OPEN - 2024
