id_torneo_ronda,tourney key,round
US OPEN - 2000 - W,US OPEN - 2000,W
US OPEN - 2001 - W,US OPEN - 2001,W
US OPEN - 2002 - W,US OPEN - 2002,W
US OPEN - 2003 - W,US OPEN - 2003,W
US OPEN - 2004 - W,US OPEN - 2004,W
US OPEN - 2005 - W,US OPEN - 2005,W
US OPEN - 2006 - W,US OPEN - 2006,W
US OPEN - 2007 - W,US OPEN - 2007,W
US OPEN - 2008 - W,US OPEN - 2008,W
US OPEN - 2009 - W,US OPEN - 2009,W
US OPEN - 2010 - W,US OPEN - 2010,W
US OPEN - 2011 - W,US OPEN - 2011,W
US OPEN - 2012 - W,US OPEN - 2012,W
US OPEN - 2013 - W,US OPEN - 2013,W
US OPEN - 2014 - W,US OPEN - 2014,W
US OPEN - 2015 - W,US OPEN - 2015,W
US OPEN - 2016 - W,US OPEN - 2016,W
US OPEN - 2017 - W,US OPEN - 2017,W
US OPEN - 2018 - W,US OPEN - 2018,W
US OPEN - 2019 - W,US OPEN - 2019,W
US OPEN - 2020 - W,US OPEN - 2020,W
US OPEN - 2021 - W,US OPEN - 2021,W
US OPEN - 2022 - W,US OPEN - 2022,W
US OPEN - 2023 - W,US OPEN - 2023,W
US OPEN - 2024 - W,US OPEN - 2024,W
ROLAND GARROS - 2000 - W,ROLAND GARROS - 2000,W
ROLAND GARROS - 2001 - W,ROLAND GARROS - 2001,W
ROLAND GARROS - 2002 - W,ROLAND GARROS - 2002,W
ROLAND GARROS - 2003 - W,ROLAND GARROS - 2003,W
ROLAND GARROS - 2004 - W,ROLAND GARROS - 2004,W
ROLAND GARROS - 2005 - W,ROLAND GARROS - 2005,W
ROLAND GARROS - 2006 - W,ROLAND GARROS - 2006,W
ROLAND GARROS - 2007 - W,ROLAND GARROS - 2007,W
ROLAND GARROS - 2008 - W,ROLAND GARROS - 2008,W
ROLAND GARROS - 2009 - W,ROLAND GARROS - 2009,W
ROLAND GARROS - 2010 - W,ROLAND GARROS - 2010,W
ROLAND GARROS - 2011 - W,ROLAND GARROS - 2011,W
ROLAND GARROS - 2012 - W,ROLAND GARROS - 2012,W
ROLAND GARROS - 2013 - W,ROLAND GARROS - 2013,W
ROLAND GARROS - 2014 - W,ROLAND GARROS - 2014,W
ROLAND GARROS - 2015 - W,ROLAND GARROS - 2015,W
ROLAND GARROS - 2016 - W,ROLAND GARROS - 2016,W
ROLAND GARROS - 2017 - W,ROLAND GARROS - 2017,W
ROLAND GARROS - 2018 - W,ROLAND GARROS - 2018,W
ROLAND GARROS - 2019 - W,ROLAND GARROS - 2019,W
ROLAND GARROS - 2020 - W,ROLAND GARROS - 2020,W
ROLAND GARROS - 2021 - W,ROLAND GARROS - 2021,W
ROLAND GARROS - 2022 - W,ROLAND GARROS - 2022,W
ROLAND GARROS - 2023 - W,ROLAND GARROS - 2023,W
ROLAND GARROS - 2024 - W,ROLAND GARROS - 2024,W
WIMBLEDON - 2000 - W,WIMBLEDON - 2000,W
WIMBLEDON - 2001 - W,WIMBLEDON - 2001,W
WIMBLEDON - 2002 - W,WIMBLEDON - 2002,W
WIMBLEDON - 2003 - W,WIMBLEDON - 2003,W
WIMBLEDON - 2004 - W,WIMBLEDON - 2004,W
WIMBLEDON - 2005 - W,WIMBLEDON - 2005,W
WIMBLEDON - 2006 - W,WIMBLEDON - 2006,W
WIMBLEDON - 2007 - W,WIMBLEDON - 2007,W
WIMBLEDON - 2008 - W,WIMBLEDON - 2008,W
WIMBLEDON - 2009 - W,WIMBLEDON - 2009,W
WIMBLEDON - 2010 - W,WIMBLEDON - 2010,W
WIMBLEDON - 2011 - W,WIMBLEDON - 2011,W
WIMBLEDON - 2012 - W,WIMBLEDON - 2012,W
WIMBLEDON - 2013 - W,WIMBLEDON - 2013,W
WIMBLEDON - 2014 - W,WIMBLEDON - 2014,W
WIMBLEDON - 2015 - W,WIMBLEDON - 2015,W
WIMBLEDON - 2016 - W,WIMBLEDON - 2016,W
WIMBLEDON - 2017 - W,WIMBLEDON - 2017,W
WIMBLEDON - 2018 - W,WIMBLEDON - 2018,W
WIMBLEDON - 2019 - W,WIMBLEDON - 2019,W
WIMBLEDON - 2020 - W,WIMBLEDON - 2020,W
WIMBLEDON - 2021 - W,WIMBLEDON - 2021,W
WIMBLEDON - 2022 - W,WIMBLEDON - 2022,W
WIMBLEDON - 2023 - W,WIMBLEDON - 2023,W
WIMBLEDON - 2024 - W,WIMBLEDON - 2024,W
AUSTRALIAN OPEN - 2000 - W,AUSTRALIAN OPEN - 2000,W
AUSTRALIAN OPEN - 2001 - W,AUSTRALIAN OPEN - 2001,W
AUSTRALIAN OPEN - 2002 - W,AUSTRALIAN OPEN - 2002,W
AUSTRALIAN OPEN - 2003 - W,AUSTRALIAN OPEN - 2003,W
AUSTRALIAN OPEN - 2004 - W,AUSTRALIAN OPEN - 2004,W
AUSTRALIAN OPEN - 2005 - W,AUSTRALIAN OPEN - 2005,W
AUSTRALIAN OPEN - 2006 - W,AUSTRALIAN OPEN - 2006,W
AUSTRALIAN OPEN - 2007 - W,AUSTRALIAN OPEN - 2007,W
AUSTRALIAN OPEN - 2008 - W,AUSTRALIAN OPEN - 2008,W
AUSTRALIAN OPEN - 2009 - W,AUSTRALIAN OPEN - 2009,W
AUSTRALIAN OPEN - 2010 - W,AUSTRALIAN OPEN - 2010,W
AUSTRALIAN OPEN - 2011 - W,AUSTRALIAN OPEN - 2011,W
AUSTRALIAN OPEN - 2012 - W,AUSTRALIAN OPEN - 2012,W
AUSTRALIAN OPEN - 2013 - W,AUSTRALIAN OPEN - 2013,W
AUSTRALIAN OPEN - 2014 - W,AUSTRALIAN OPEN - 2014,W
AUSTRALIAN OPEN - 2015 - W,AUSTRALIAN OPEN - 2015,W
AUSTRALIAN OPEN - 2016 - W,AUSTRALIAN OPEN - 2016,W
AUSTRALIAN OPEN - 2017 - W,AUSTRALIAN OPEN - 2017,W
AUSTRALIAN OPEN - 2018 - W,AUSTRALIAN OPEN - 2018,W
AUSTRALIAN OPEN - 2019 - W,AUSTRALIAN OPEN - 2019,W
AUSTRALIAN OPEN - 2020 - W,AUSTRALIAN OPEN - 2020,W
AUSTRALIAN OPEN - 2021 - W,AUSTRALIAN OPEN - 2021,W
AUSTRALIAN OPEN - 2022 - W,AUSTRALIAN OPEN - 2022,W
AUSTRALIAN OPEN - 2023 - W,AUSTRALIAN OPEN - 2023,W
AUSTRALIAN OPEN - 2024 - W,AUSTRALIAN OPEN - 2024,W
US OPEN - 2000 - F,US OPEN - 2000,F
US OPEN - 2001 - F,US OPEN - 2001,F
US OPEN - 2002 - F,US OPEN - 2002,F
US OPEN - 2003 - F,US OPEN - 2003,F
US OPEN - 2004 - F,US OPEN - 2004,F
US OPEN - 2005 - F,US OPEN - 2005,F
US OPEN - 2006 - F,US OPEN - 2006,F
US OPEN - 2007 - F,US OPEN - 2007,F
US OPEN - 2008 - F,US OPEN - 2008,F
US OPEN - 2009 - F,US OPEN - 2009,F
US OPEN - 2010 - F,US OPEN - 2010,F
US OPEN - 2011 - F,US OPEN - 2011,F
US OPEN - 2012 - F,US OPEN - 2012,F
US OPEN - 2013 - F,US OPEN - 2013,F
US OPEN - 2014 - F,US OPEN - 2014,F
US OPEN - 2015 - F,US OPEN - 2015,F
US OPEN - 2016 - F,US OPEN - 2016,F
US OPEN - 2017 - F,US OPEN - 2017,F
US OPEN - 2018 - F,US OPEN - 2018,F
US OPEN - 2019 - F,US OPEN - 2019,F
US OPEN - 2020 - F,US OPEN - 2020,F
US OPEN - 2021 - F,US OPEN - 2021,F
US OPEN - 2022 - F,US OPEN - 2022,F
US OPEN - 2023 - F,US OPEN - 2023,F
US OPEN - 2024 - F,US OPEN - 2024,F
ROLAND GARROS - 2000 - F,ROLAND GARROS - 2000,F
ROLAND GARROS - 2001 - F,ROLAND GARROS - 2001,F
ROLAND GARROS - 2002 - F,ROLAND GARROS - 2002,F
ROLAND GARROS - 2003 - F,ROLAND GARROS - 2003,F
ROLAND GARROS - 2004 - F,ROLAND GARROS - 2004,F
ROLAND GARROS - 2005 - F,ROLAND GARROS - 2005,F
ROLAND GARROS - 2006 - F,ROLAND GARROS - 2006,F
ROLAND GARROS - 2007 - F,ROLAND GARROS - 2007,F
ROLAND GARROS - 2008 - F,ROLAND GARROS - 2008,F
ROLAND GARROS - 2009 - F,ROLAND GARROS - 2009,F
ROLAND GARROS - 2010 - F,ROLAND GARROS - 2010,F
ROLAND GARROS - 2011 - F,ROLAND GARROS - 2011,F
ROLAND GARROS - 2012 - F,ROLAND GARROS - 2012,F
ROLAND GARROS - 2013 - F,ROLAND GARROS - 2013,F
ROLAND GARROS - 2014 - F,ROLAND GARROS - 2014,F
ROLAND GARROS - 2015 - F,ROLAND GARROS - 2015,F
ROLAND GARROS - 2016 - F,ROLAND GARROS - 2016,F
ROLAND GARROS - 2017 - F,ROLAND GARROS - 2017,F
ROLAND GARROS - 2018 - F,ROLAND GARROS - 2018,F
ROLAND GARROS - 2019 - F,ROLAND GARROS - 2019,F
ROLAND GARROS - 2020 - F,ROLAND GARROS - 2020,F
ROLAND GARROS - 2021 - F,ROLAND GARROS - 2021,F
ROLAND GARROS - 2022 - F,ROLAND GARROS - 2022,F
ROLAND GARROS - 2023 - F,ROLAND GARROS - 2023,F
ROLAND GARROS - 2024 - F,ROLAND GARROS - 2024,F
WIMBLEDON - 2000 - F,WIMBLEDON - 2000,F
WIMBLEDON - 2001 - F,WIMBLEDON - 2001,F
WIMBLEDON - 2002 - F,WIMBLEDON - 2002,F
WIMBLEDON - 2003 - F,WIMBLEDON - 2003,F
WIMBLEDON - 2004 - F,WIMBLEDON - 2004,F
WIMBLEDON - 2005 - F,WIMBLEDON - 2005,F
WIMBLEDON - 2006 - F,WIMBLEDON - 2006,F
WIMBLEDON - 2007 - F,WIMBLEDON - 2007,F
WIMBLEDON - 2008 - F,WIMBLEDON - 2008,F
WIMBLEDON - 2009 - F,WIMBLEDON - 2009,F
WIMBLEDON - 2010 - F,WIMBLEDON - 2010,F
WIMBLEDON - 2011 - F,WIMBLEDON - 2011,F
WIMBLEDON - 2012 - F,WIMBLEDON - 2012,F
WIMBLEDON - 2013 - F,WIMBLEDON - 2013,F
WIMBLEDON - 2014 - F,WIMBLEDON - 2014,F
WIMBLEDON - 2015 - F,WIMBLEDON - 2015,F
WIMBLEDON - 2016 - F,WIMBLEDON - 2016,F
WIMBLEDON - 2017 - F,WIMBLEDON - 2017,F
WIMBLEDON - 2018 - F,WIMBLEDON - 2018,F
WIMBLEDON - 2019 - F,WIMBLEDON - 2019,F
WIMBLEDON - 2020 - F,WIMBLEDON - 2020,F
WIMBLEDON - 2021 - F,WIMBLEDON - 2021,F
WIMBLEDON - 2022 - F,WIMBLEDON - 2022,F
WIMBLEDON - 2023 - F,WIMBLEDON - 2023,F
WIMBLEDON - 2024 - F,WIMBLEDON - 2024,F
AUSTRALIAN OPEN - 2000 - F,AUSTRALIAN OPEN - 2000,F
AUSTRALIAN OPEN - 2001 - F,AUSTRALIAN OPEN - 2001,F
AUSTRALIAN OPEN - 2002 - F,AUSTRALIAN OPEN - 2002,F
AUSTRALIAN OPEN - 2003 - F,AUSTRALIAN OPEN - 2003,F
AUSTRALIAN OPEN - 2004 - F,AUSTRALIAN OPEN - 2004,F
AUSTRALIAN OPEN - 2005 - F,AUSTRALIAN OPEN - 2005,F
AUSTRALIAN OPEN - 2006 - F,AUSTRALIAN OPEN - 2006,F
AUSTRALIAN OPEN - 2007 - F,AUSTRALIAN OPEN - 2007,F
AUSTRALIAN OPEN - 2008 - F,AUSTRALIAN OPEN - 2008,F
AUSTRALIAN OPEN - 2009 - F,AUSTRALIAN OPEN - 2009,F
AUSTRALIAN OPEN - 2010 - F,AUSTRALIAN OPEN - 2010,F
AUSTRALIAN OPEN - 2011 - F,AUSTRALIAN OPEN - 2011,F
AUSTRALIAN OPEN - 2012 - F,AUSTRALIAN OPEN - 2012,F
AUSTRALIAN OPEN - 2013 - F,AUSTRALIAN OPEN - 2013,F
AUSTRALIAN OPEN - 2014 - F,AUSTRALIAN OPEN - 2014,F
AUSTRALIAN OPEN - 2015 - F,AUSTRALIAN OPEN - 2015,F
AUSTRALIAN OPEN - 2016 - F,AUSTRALIAN OPEN - 2016,F
AUSTRALIAN OPEN - 2017 - F,AUSTRALIAN OPEN - 2017,F
AUSTRALIAN OPEN - 2018 - F,AUSTRALIAN OPEN - 2018,F
AUSTRALIAN OPEN - 2019 - F,AUSTRALIAN OPEN - 2019,F
AUSTRALIAN OPEN - 2020 - F,AUSTRALIAN OPEN - 2020,F
AUSTRALIAN OPEN - 2021 - F,AUSTRALIAN OPEN - 2021,F
AUSTRALIAN OPEN - 2022 - F,AUSTRALIAN OPEN - 2022,F
AUSTRALIAN OPEN - 2023 - F,AUSTRALIAN OPEN - 2023,F
AUSTRALIAN OPEN - 2024 - F,AUSTRALIAN OPEN - 2024,F
US OPEN - 2000 - SF,US OPEN - 2000,SF
US OPEN - 2001 - SF,US OPEN - 2001,SF
US OPEN - 2002 - SF,US OPEN - 2002,SF
US OPEN - 2003 - SF,US OPEN - 2003,SF
US OPEN - 2004 - SF,US OPEN - 2004,SF
US OPEN - 2005 - SF,US OPEN - 2005,SF
US OPEN - 2006 - SF,US OPEN - 2006,SF
US OPEN - 2007 - SF,US OPEN - 2007,SF
US OPEN - 2008 - SF,US OPEN - 2008,SF
US OPEN - 2009 - SF,US OPEN - 2009,SF
US OPEN - 2010 - SF,US OPEN - 2010,SF
US OPEN - 2011 - SF,US OPEN - 2011,SF
