tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2019,24.0,102.0,22.0,63.0,22.0,5.0,15.0,5.0,3.4013605442176873,3.4013605442176873,69.38775510204081,61.76470588235294,53.333333333333336,68.18181818181817,68.18181818181817,100.0,59.183673469387756,147.0,2.0,3.0
australian open,R128,2020,29.0,120.0,19.0,66.0,28.0,9.0,7.0,4.0,2.209944751381215,4.972375690607735,66.29834254143645,55.00000000000001,47.540983606557376,36.84210526315789,36.84210526315789,100.0,52.48618784530387,181.0,1.0,3.0
australian open,R128,2022,26.0,122.0,28.0,73.0,27.0,8.0,16.0,1.0,0.5376344086021506,4.301075268817205,65.59139784946237,59.83606557377049,40.625,57.14285714285714,57.14285714285714,100.0,53.2258064516129,186.0,0.0,1.0
australian open,R128,2023,17.0,80.0,11.0,55.0,19.0,6.0,5.0,8.0,6.6115702479338845,4.958677685950414,66.11570247933885,68.75,41.46341463414634,45.45454545454545,45.45454545454545,100.0,59.50413223140496,121.0,8.0,0.0
australian open,R128,2024,30.0,63.0,14.0,44.0,19.0,11.0,8.0,8.0,6.349206349206349,8.73015873015873,50.0,69.84126984126983,47.61904761904761,57.14285714285714,57.14285714285714,100.0,58.730158730158735,126.0,4.0,4.0
australian open,R16,2019,11.0,63.0,11.0,46.0,15.0,7.0,6.0,1.0,1.0309278350515463,7.216494845360824,64.94845360824742,73.01587301587301,32.35294117647059,54.54545454545454,54.54545454545454,100.0,58.76288659793815,97.0,1.0,0.0
australian open,R16,2022,18.0,85.0,16.0,58.0,19.0,4.0,11.0,11.0,8.661417322834646,3.149606299212598,66.92913385826772,68.23529411764706,42.857142857142854,68.75,68.75,100.0,59.84251968503938,127.0,7.0,4.0
australian open,R16,2024,17.0,63.0,7.0,48.0,17.0,2.0,4.0,9.0,9.183673469387756,2.0408163265306123,64.28571428571429,76.19047619047619,48.57142857142857,57.14285714285714,57.14285714285714,100.0,66.3265306122449,98.0,6.0,3.0
australian open,R32,2019,15.0,74.0,12.0,52.0,17.0,5.0,8.0,7.0,6.422018348623854,4.587155963302752,67.88990825688074,70.27027027027027,42.857142857142854,66.66666666666666,66.66666666666666,100.0,61.46788990825688,109.0,4.0,3.0
australian open,R32,2022,45.0,145.0,18.0,107.0,31.0,11.0,16.0,16.0,7.111111111111111,4.888888888888889,64.44444444444444,73.79310344827587,56.25,88.88888888888889,88.88888888888889,100.0,67.55555555555556,225.0,11.0,5.0
