tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,F,2023,37.0,132.0,20.0,94.0,29.0,8.0,15.0,26.0,12.206572769953052,3.755868544600939,61.97183098591549,71.21212121212122,45.67901234567901,75.0,75.0,100.0,61.502347417840376,213.0,17.0,9.0
australian open,F,2024,17.0,65.0,10.0,52.0,17.0,6.0,7.0,9.0,8.333333333333332,5.555555555555555,60.18518518518518,80.0,39.53488372093023,70.0,70.0,100.0,63.888888888888886,108.0,3.0,6.0
australian open,QF,2023,21.0,79.0,27.0,54.0,17.0,22.0,20.0,13.0,8.783783783783784,14.864864864864865,53.37837837837838,68.35443037974683,30.434782608695656,74.07407407407408,74.07407407407408,100.0,50.67567567567568,148.0,9.0,4.0
australian open,QF,2024,12.0,54.0,13.0,34.0,17.0,5.0,5.0,6.0,6.741573033707865,5.617977528089887,60.67415730337079,62.96296296296296,34.285714285714285,38.46153846153847,38.46153846153847,100.0,51.68539325842697,89.0,4.0,2.0
australian open,R128,2018,43.0,128.0,10.0,83.0,32.0,7.0,4.0,18.0,9.045226130653267,3.5175879396984926,64.321608040201,64.84375,60.56338028169014,40.0,40.0,100.0,63.31658291457286,199.0,11.0,7.0
australian open,R128,2019,17.0,67.0,7.0,51.0,17.0,3.0,4.0,7.0,6.5420560747663545,2.803738317757009,62.616822429906534,76.11940298507463,42.5,57.14285714285714,57.14285714285714,100.0,63.55140186915887,107.0,5.0,2.0
australian open,R128,2020,28.0,121.0,24.0,78.0,24.0,9.0,14.0,5.0,2.512562814070352,4.522613065326634,60.80402010050251,64.46280991735537,35.8974358974359,58.333333333333336,58.333333333333336,100.0,53.266331658291456,199.0,0.0,5.0
australian open,R128,2021,18.0,58.0,14.0,33.0,16.0,5.0,6.0,4.0,4.081632653061225,5.1020408163265305,59.183673469387756,56.896551724137936,45.0,42.857142857142854,42.857142857142854,100.0,52.04081632653062,98.0,2.0,2.0
australian open,R128,2022,32.0,111.0,28.0,71.0,29.0,23.0,16.0,9.0,4.787234042553192,12.23404255319149,59.04255319148937,63.96396396396396,41.55844155844156,57.14285714285714,57.14285714285714,100.0,54.78723404255319,188.0,7.0,2.0
australian open,R128,2023,16.0,64.0,11.0,47.0,17.0,6.0,8.0,5.0,5.0,6.0,64.0,73.4375,44.44444444444444,72.72727272727273,72.72727272727273,100.0,63.0,100.0,3.0,2.0
australian open,R128,2024,13.0,52.0,9.0,31.0,13.0,4.0,4.0,6.0,7.317073170731707,4.878048780487805,63.41463414634146,59.61538461538461,43.333333333333336,44.44444444444444,44.44444444444444,100.0,53.65853658536586,82.0,6.0,0.0
australian open,R16,2021,37.0,104.0,20.0,76.0,28.0,12.0,12.0,13.0,6.914893617021277,6.382978723404255,55.319148936170215,73.07692307692307,44.047619047619044,60.0,60.0,100.0,60.1063829787234,188.0,9.0,4.0
australian open,R16,2022,50.0,120.0,21.0,86.0,32.0,19.0,14.0,12.0,5.633802816901409,8.92018779342723,56.33802816901409,71.66666666666667,53.76344086021505,66.66666666666666,66.66666666666666,100.0,63.84976525821596,213.0,5.0,7.0
australian open,R16,2023,27.0,62.0,6.0,44.0,20.0,12.0,1.0,8.0,7.207207207207207,10.81081081081081,55.85585585585585,70.96774193548387,55.10204081632652,16.666666666666664,16.666666666666664,100.0,63.96396396396396,111.0,4.0,4.0
australian open,R16,2024,17.0,63.0,7.0,48.0,17.0,2.0,4.0,9.0,9.183673469387756,2.0408163265306123,64.28571428571429,76.19047619047619,48.57142857142857,57.14285714285714,57.14285714285714,100.0,66.3265306122449,98.0,6.0,3.0
australian open,R32,2019,15.0,74.0,12.0,52.0,17.0,5.0,8.0,7.0,6.422018348623854,4.587155963302752,67.88990825688074,70.27027027027027,42.857142857142854,66.66666666666666,66.66666666666666,100.0,61.46788990825688,109.0,4.0,3.0
australian open,R32,2021,17.0,73.0,14.0,49.0,16.0,4.0,10.0,8.0,7.207207207207207,3.6036036036036037,65.76576576576578,67.12328767123287,44.73684210526316,71.42857142857143,71.42857142857143,100.0,59.45945945945946,111.0,7.0,1.0
australian open,R32,2022,25.0,104.0,14.0,73.0,26.0,15.0,7.0,7.0,4.191616766467066,8.982035928143713,62.27544910179641,70.1923076923077,39.682539682539684,50.0,50.0,100.0,58.68263473053892,167.0,1.0,6.0
australian open,R32,2023,21.0,67.0,10.0,42.0,17.0,8.0,5.0,8.0,7.547169811320755,7.547169811320755,63.20754716981132,62.68656716417911,53.84615384615385,50.0,50.0,100.0,59.43396226415094,106.0,4.0,4.0
australian open,R32,2024,11.0,51.0,11.0,28.0,12.0,6.0,5.0,0.0,0.0,7.6923076923076925,65.38461538461539,54.90196078431373,40.74074074074074,45.45454545454545,45.45454545454545,100.0,50.0,78.0,0.0,0.0
australian open,R64,2019,19.0,78.0,9.0,56.0,19.0,4.0,5.0,12.0,9.917355371900827,3.3057851239669422,64.46280991735537,71.7948717948718,44.18604651162791,55.55555555555556,55.55555555555556,100.0,61.98347107438017,121.0,7.0,5.0
australian open,R64,2021,24.0,78.0,11.0,48.0,21.0,10.0,3.0,8.0,6.153846153846154,7.6923076923076925,60.0,61.53846153846154,46.15384615384615,27.27272727272727,27.27272727272727,100.0,55.38461538461539,130.0,7.0,1.0
