tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2024,47.0,129.0,36.0,73.0,32.0,17.0,20.0,3.0,1.2195121951219512,6.910569105691057,52.4390243902439,56.58914728682171,40.17094017094017,55.55555555555556,55.55555555555556,100.0,48.78048780487805,246.0,1.0,2.0
australian open,R128,2020,29.0,90.0,8.0,69.0,21.0,10.0,5.0,9.0,6.164383561643835,6.8493150684931505,61.64383561643836,76.66666666666667,51.78571428571429,62.5,62.5,100.0,67.12328767123287,146.0,2.0,7.0
australian open,R128,2021,13.0,67.0,5.0,50.0,17.0,7.0,2.0,9.0,9.375,7.291666666666667,69.79166666666666,74.6268656716418,44.827586206896555,40.0,40.0,100.0,65.625,96.0,8.0,1.0
australian open,R128,2022,28.0,64.0,11.0,39.0,18.0,5.0,6.0,4.0,3.6036036036036037,4.504504504504505,57.65765765765766,60.9375,59.57446808510638,54.54545454545454,54.54545454545454,100.0,60.36036036036037,111.0,3.0,1.0
australian open,R128,2023,14.0,71.0,9.0,50.0,17.0,3.0,4.0,2.0,1.8867924528301887,2.8301886792452833,66.98113207547169,70.4225352112676,40.0,44.44444444444444,44.44444444444444,100.0,60.37735849056604,106.0,1.0,1.0
australian open,R128,2024,13.0,37.0,14.0,20.0,15.0,4.0,4.0,3.0,4.0,5.333333333333334,49.333333333333336,54.054054054054056,34.21052631578947,28.57142857142857,28.57142857142857,100.0,44.0,75.0,3.0,0.0
australian open,R16,2020,31.0,117.0,16.0,81.0,27.0,10.0,10.0,8.0,4.395604395604396,5.4945054945054945,64.28571428571429,69.23076923076923,47.69230769230769,62.5,62.5,100.0,61.53846153846154,182.0,1.0,7.0
australian open,R16,2023,29.0,83.0,11.0,62.0,21.0,5.0,7.0,10.0,6.993006993006993,3.4965034965034967,58.04195804195804,74.69879518072288,48.333333333333336,63.63636363636363,63.63636363636363,100.0,63.63636363636363,143.0,4.0,6.0
australian open,R16,2024,19.0,53.0,9.0,31.0,15.0,1.0,4.0,3.0,3.488372093023256,1.1627906976744187,61.627906976744185,58.490566037735846,57.57575757575758,44.44444444444444,44.44444444444444,100.0,58.139534883720934,86.0,1.0,2.0
australian open,R32,2020,14.0,76.0,6.0,57.0,19.0,5.0,2.0,6.0,5.714285714285714,4.761904761904762,72.38095238095238,75.0,48.275862068965516,33.33333333333333,33.33333333333333,100.0,67.61904761904762,105.0,1.0,5.0
australian open,R32,2023,24.0,96.0,21.0,58.0,17.0,6.0,16.0,8.0,5.333333333333334,4.0,64.0,60.416666666666664,44.44444444444444,76.19047619047619,76.19047619047619,100.0,54.666666666666664,150.0,7.0,1.0
australian open,R32,2024,15.0,48.0,5.0,33.0,14.0,11.0,0.0,5.0,5.88235294117647,12.941176470588237,56.470588235294116,68.75,40.54054054054054,0.0,0.0,100.0,56.470588235294116,85.0,3.0,2.0
australian open,R64,2020,33.0,122.0,6.0,85.0,31.0,12.0,1.0,7.0,3.763440860215054,6.451612903225806,65.59139784946237,69.67213114754098,51.5625,16.666666666666664,16.666666666666664,100.0,63.44086021505376,186.0,2.0,5.0
australian open,R64,2021,18.0,84.0,7.0,60.0,19.0,2.0,5.0,9.0,7.43801652892562,1.6528925619834711,69.42148760330579,71.42857142857143,48.64864864864865,71.42857142857143,71.42857142857143,100.0,64.46280991735537,121.0,4.0,5.0
australian open,R64,2023,24.0,100.0,17.0,67.0,21.0,6.0,12.0,4.0,2.7210884353741496,4.081632653061225,68.02721088435374,67.0,51.06382978723404,70.58823529411765,70.58823529411765,100.0,61.904761904761905,147.0,3.0,1.0
australian open,R64,2024,17.0,95.0,15.0,67.0,20.0,6.0,9.0,4.0,2.797202797202797,4.195804195804196,66.43356643356644,70.52631578947368,35.41666666666667,60.0,60.0,100.0,58.74125874125874,143.0,3.0,1.0
australian open,SF,2024,22.0,98.0,14.0,66.0,22.0,10.0,7.0,9.0,6.0,6.666666666666667,65.33333333333333,67.3469387755102,42.30769230769231,50.0,50.0,100.0,58.666666666666664,150.0,4.0,5.0
roland garros,F,2022,15.0,69.0,11.0,40.0,16.0,3.0,5.0,3.0,2.9702970297029703,2.9702970297029703,68.31683168316832,57.971014492753625,46.875,45.45454545454545,45.45454545454545,100.0,54.45544554455446,101.0,1.0,2.0
roland garros,QF,2021,26.0,102.0,16.0,63.0,21.0,15.0,9.0,9.0,5.521472392638037,9.202453987730062,62.57668711656442,61.76470588235294,42.62295081967213,56.25,56.25,100.0,54.601226993865026,163.0,5.0,4.0
roland garros,QF,2022,16.0,85.0,19.0,49.0,20.0,7.0,10.0,3.0,2.459016393442623,5.737704918032787,69.67213114754098,57.647058823529406,43.24324324324324,52.63157894736842,52.63157894736842,100.0,53.278688524590166,122.0,3.0,0.0
roland garros,QF,2023,26.0,56.0,10.0,34.0,18.0,2.0,5.0,3.0,2.9702970297029703,1.9801980198019802,55.44554455445545,60.71428571428571,57.77777777777777,50.0,50.0,100.0,59.4059405940594,101.0,1.0,2.0
roland garros,QF,2024,39.0,121.0,13.0,79.0,27.0,5.0,7.0,7.0,3.783783783783784,2.7027027027027026,65.4054054054054,65.28925619834712,60.9375,53.84615384615385,53.84615384615385,100.0,63.78378378378379,185.0,3.0,4.0
roland garros,R128,2020,25.0,66.0,19.0,47.0,18.0,17.0,12.0,5.0,3.6764705882352944,12.5,48.529411764705884,71.21212121212122,35.714285714285715,63.1578947368421,63.1578947368421,100.0,52.94117647058824,136.0,3.0,2.0
roland garros,R128,2021,42.0,114.0,22.0,78.0,22.0,12.0,17.0,12.0,5.970149253731343,5.970149253731343,56.71641791044776,68.42105263157895,48.275862068965516,77.27272727272727,77.27272727272727,100.0,59.70149253731343,201.0,2.0,10.0
roland garros,R128,2022,23.0,70.0,24.0,44.0,18.0,13.0,16.0,3.0,2.3622047244094486,10.236220472440944,55.118110236220474,62.857142857142854,40.35087719298245,66.66666666666666,66.66666666666666,100.0,52.75590551181102,127.0,1.0,2.0
roland garros,R128,2023,31.0,96.0,19.0,62.0,24.0,6.0,12.0,2.0,1.3157894736842104,3.9473684210526314,63.1578947368421,64.58333333333334,55.35714285714286,63.1578947368421,63.1578947368421,100.0,61.18421052631579,152.0,1.0,1.0
roland garros,R128,2024,12.0,43.0,8.0,33.0,14.0,9.0,3.0,4.0,5.263157894736842,11.842105263157894,56.57894736842105,76.74418604651163,36.36363636363637,37.5,37.5,100.0,59.210526315789465,76.0,3.0,1.0
roland garros,R16,2021,18.0,53.0,11.0,41.0,16.0,4.0,7.0,6.0,6.593406593406594,4.395604395604396,58.24175824175825,77.35849056603774,47.368421052631575,63.63636363636363,63.63636363636363,100.0,64.83516483516483,91.0,2.0,4.0
roland garros,R16,2022,11.0,70.0,15.0,42.0,16.0,3.0,7.0,1.0,0.9433962264150944,2.8301886792452833,66.0377358490566,60.0,30.555555555555557,46.666666666666664,46.666666666666664,100.0,50.0,106.0,0.0,1.0
roland garros,R16,2023,20.0,79.0,15.0,52.0,20.0,10.0,6.0,1.0,0.7575757575757576,7.575757575757576,59.84848484848485,65.82278481012658,37.735849056603776,40.0,40.0,100.0,54.54545454545454,132.0,0.0,1.0
roland garros,R16,2024,18.0,52.0,10.0,29.0,15.0,6.0,4.0,3.0,3.6585365853658534,7.317073170731707,63.41463414634146,55.769230769230774,60.0,40.0,40.0,100.0,57.3170731707317,82.0,3.0,0.0
roland garros,R32,2021,5.0,21.0,3.0,18.0,7.0,2.0,1.0,2.0,5.714285714285714,5.714285714285714,60.0,85.71428571428571,35.714285714285715,33.33333333333333,33.33333333333333,100.0,65.71428571428571,35.0,2.0,0.0
roland garros,R32,2022,10.0,101.0,19.0,61.0,19.0,0.0,11.0,8.0,6.349206349206349,0.0,80.15873015873017,60.396039603960396,40.0,57.89473684210527,57.89473684210527,100.0,56.34920634920635,126.0,6.0,2.0
roland garros,R32,2023,15.0,136.0,22.0,83.0,26.0,12.0,11.0,2.0,1.1173184357541899,6.70391061452514,75.97765363128491,61.029411764705884,34.883720930232556,50.0,50.0,100.0,54.7486033519553,179.0,1.0,1.0
roland garros,R32,2024,26.0,78.0,22.0,47.0,18.0,5.0,15.0,5.0,3.6764705882352944,3.6764705882352944,57.35294117647059,60.256410256410255,44.827586206896555,68.18181818181817,68.18181818181817,100.0,53.67647058823529,136.0,3.0,2.0
roland garros,R64,2020,25.0,117.0,26.0,68.0,30.0,21.0,10.0,3.0,1.6129032258064515,11.29032258064516,62.903225806451616,58.119658119658126,36.231884057971016,38.46153846153847,38.46153846153847,100.0,50.0,186.0,0.0,3.0
roland garros,R64,2021,22.0,95.0,18.0,60.0,21.0,5.0,11.0,2.0,1.4084507042253522,3.5211267605633805,66.90140845070422,63.1578947368421,46.808510638297875,61.111111111111114,61.111111111111114,100.0,57.74647887323944,142.0,1.0,1.0
roland garros,R64,2022,14.0,83.0,21.0,50.0,19.0,10.0,11.0,6.0,4.6875,7.8125,64.84375,60.24096385542169,31.11111111111111,52.38095238095239,52.38095238095239,100.0,50.0,128.0,4.0,2.0
roland garros,R64,2023,13.0,65.0,15.0,37.0,17.0,10.0,6.0,2.0,1.8867924528301887,9.433962264150944,61.32075471698113,56.92307692307692,31.70731707317073,40.0,40.0,100.0,47.16981132075472,106.0,1.0,1.0
roland garros,R64,2024,29.0,66.0,17.0,40.0,19.0,10.0,9.0,2.0,1.5625,7.8125,51.5625,60.60606060606061,46.774193548387096,52.94117647058824,52.94117647058824,100.0,53.90625,128.0,2.0,0.0
roland garros,SF,2022,16.0,70.0,16.0,41.0,16.0,6.0,8.0,1.0,0.9009009009009009,5.405405405405405,63.06306306306306,58.57142857142858,39.02439024390244,50.0,50.0,100.0,51.35135135135135,111.0,1.0,0.0
roland garros,SF,2024,24.0,74.0,11.0,49.0,18.0,4.0,6.0,3.0,2.380952380952381,3.1746031746031744,58.730158730158735,66.21621621621621,46.15384615384615,54.54545454545454,54.54545454545454,100.0,57.936507936507944,126.0,0.0,3.0
us open,F,2023,29.0,93.0,19.0,59.0,25.0,11.0,10.0,6.0,3.821656050955414,7.006369426751593,59.23566878980891,63.44086021505376,45.3125,52.63157894736842,52.63157894736842,100.0,56.05095541401274,157.0,2.0,4.0
us open,QF,2022,19.0,90.0,11.0,63.0,19.0,10.0,7.0,9.0,6.474820143884892,7.194244604316546,64.74820143884892,70.0,38.775510204081634,63.63636363636363,63.63636363636363,100.0,58.992805755395686,139.0,4.0,5.0
us open,QF,2023,23.0,40.0,11.0,24.0,14.0,6.0,4.0,4.0,4.301075268817205,6.451612903225806,43.01075268817204,60.0,43.39622641509434,36.36363636363637,36.36363636363637,100.0,50.53763440860215,93.0,4.0,0.0
us open,R128,2019,28.0,97.0,24.0,62.0,27.0,15.0,12.0,2.0,1.1764705882352942,8.823529411764707,57.05882352941176,63.91752577319587,38.35616438356164,50.0,50.0,100.0,52.94117647058824,170.0,0.0,2.0
us open,R128,2020,27.0,116.0,21.0,82.0,32.0,16.0,9.0,8.0,4.324324324324325,8.64864864864865,62.70270270270271,70.6896551724138,39.130434782608695,42.857142857142854,42.857142857142854,100.0,58.91891891891892,185.0,5.0,3.0
us open,R128,2021,36.0,123.0,25.0,89.0,31.0,13.0,16.0,13.0,6.161137440758294,6.161137440758294,58.29383886255924,72.35772357723577,40.909090909090914,64.0,64.0,100.0,59.241706161137444,211.0,9.0,4.0
us open,R128,2022,24.0,73.0,12.0,47.0,17.0,6.0,8.0,8.0,7.207207207207207,5.405405405405405,65.76576576576578,64.38356164383562,63.1578947368421,66.66666666666666,66.66666666666666,100.0,63.96396396396396,111.0,8.0,0.0
us open,R128,2023,29.0,127.0,21.0,81.0,27.0,7.0,12.0,7.0,3.6458333333333335,3.6458333333333335,66.14583333333334,63.77952755905512,44.61538461538462,57.14285714285714,57.14285714285714,100.0,57.291666666666664,192.0,7.0,0.0
us open,R128,2024,16.0,59.0,18.0,39.0,14.0,10.0,13.0,10.0,9.803921568627452,9.803921568627452,57.84313725490197,66.10169491525424,37.2093023255814,72.22222222222221,72.22222222222221,100.0,53.92156862745098,102.0,10.0,0.0
us open,R16,2022,29.0,117.0,20.0,69.0,24.0,13.0,12.0,7.0,3.977272727272727,7.386363636363637,66.47727272727273,58.97435897435898,49.152542372881356,60.0,60.0,100.0,55.68181818181818,176.0,5.0,2.0
us open,R16,2023,30.0,92.0,17.0,60.0,25.0,6.0,9.0,6.0,3.821656050955414,3.821656050955414,58.59872611464968,65.21739130434783,46.15384615384615,52.94117647058824,52.94117647058824,100.0,57.324840764331206,157.0,5.0,1.0
us open,R16,2024,41.0,104.0,17.0,75.0,28.0,21.0,11.0,3.0,1.5957446808510638,11.170212765957446,55.319148936170215,72.11538461538461,48.80952380952381,64.70588235294117,64.70588235294117,100.0,61.702127659574465,188.0,1.0,2.0
us open,R32,2019,16.0,46.0,12.0,28.0,15.0,8.0,4.0,7.0,7.6923076923076925,8.791208791208792,50.54945054945055,60.86956521739131,35.55555555555556,33.33333333333333,33.33333333333333,100.0,48.35164835164835,91.0,5.0,2.0
us open,R32,2022,18.0,71.0,12.0,42.0,17.0,4.0,5.0,4.0,3.571428571428571,3.571428571428571,63.39285714285714,59.154929577464785,43.90243902439025,41.66666666666667,41.66666666666667,100.0,53.57142857142857,112.0,2.0,2.0
us open,R32,2023,26.0,98.0,21.0,60.0,24.0,13.0,12.0,8.0,4.9079754601226995,7.975460122699387,60.122699386503065,61.224489795918366,40.0,57.14285714285714,57.14285714285714,100.0,52.760736196319016,163.0,6.0,2.0
us open,R32,2024,32.0,98.0,17.0,74.0,27.0,11.0,11.0,4.0,2.2857142857142856,6.2857142857142865,56.00000000000001,75.51020408163265,41.55844155844156,64.70588235294117,64.70588235294117,100.0,60.57142857142858,175.0,2.0,2.0
us open,R64,2019,37.0,103.0,18.0,80.0,28.0,13.0,12.0,17.0,9.090909090909092,6.951871657754011,55.080213903743314,77.66990291262135,44.047619047619044,66.66666666666666,66.66666666666666,100.0,62.56684491978609,187.0,9.0,8.0
us open,R64,2021,12.0,75.0,6.0,57.0,18.0,5.0,3.0,5.0,5.05050505050505,5.05050505050505,75.75757575757575,76.0,50.0,50.0,50.0,100.0,69.6969696969697,99.0,0.0,5.0
us open,R64,2022,23.0,80.0,11.0,54.0,21.0,15.0,5.0,7.0,5.185185185185185,11.11111111111111,59.25925925925925,67.5,41.81818181818181,45.45454545454545,45.45454545454545,100.0,57.03703703703704,135.0,6.0,1.0
us open,R64,2023,23.0,55.0,8.0,37.0,17.0,4.0,3.0,1.0,0.9708737864077669,3.8834951456310676,53.398058252427184,67.27272727272727,47.91666666666667,37.5,37.5,100.0,58.252427184466015,103.0,1.0,0.0
us open,R64,2024,22.0,60.0,13.0,40.0,16.0,12.0,7.0,6.0,5.3097345132743365,10.619469026548673,53.09734513274337,66.66666666666666,41.509433962264154,53.84615384615385,53.84615384615385,100.0,54.86725663716814,113.0,1.0,5.0
us open,SF,2023,32.0,75.0,14.0,42.0,22.0,4.0,6.0,3.0,2.272727272727273,3.0303030303030303,56.81818181818182,56.00000000000001,56.14035087719298,42.857142857142854,42.857142857142854,100.0,56.060606060606055,132.0,1.0,2.0
wimbledon,R128,2019,19.0,77.0,6.0,57.0,20.0,9.0,2.0,6.0,5.217391304347826,7.82608695652174,66.95652173913044,74.02597402597402,50.0,33.33333333333333,33.33333333333333,100.0,66.08695652173913,115.0,4.0,2.0
