tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2022,40.0,145.0,26.0,91.0,31.0,16.0,15.0,10.0,4.219409282700422,6.751054852320674,61.18143459915611,62.758620689655174,43.47826086956522,57.692307692307686,57.692307692307686,100.0,55.27426160337553,237.0,5.0,5.0
australian open,R128,2019,40.0,99.0,16.0,72.0,28.0,3.0,11.0,14.0,8.0,1.7142857142857144,56.57142857142857,72.72727272727273,52.63157894736842,68.75,68.75,100.0,64.0,175.0,12.0,2.0
australian open,R128,2020,21.0,59.0,4.0,44.0,17.0,1.0,1.0,3.0,3.1578947368421053,1.0526315789473684,62.10526315789474,74.57627118644068,58.333333333333336,25.0,25.0,100.0,68.42105263157895,95.0,3.0,0.0
australian open,R128,2021,12.0,88.0,18.0,55.0,16.0,3.0,12.0,4.0,3.3333333333333335,2.5,73.33333333333333,62.5,37.5,66.66666666666666,66.66666666666666,100.0,55.833333333333336,120.0,0.0,4.0
australian open,R128,2022,27.0,52.0,13.0,30.0,15.0,3.0,7.0,0.0,0.0,3.0,52.0,57.692307692307686,56.25,53.84615384615385,53.84615384615385,100.0,56.99999999999999,100.0,0.0,0.0
australian open,R128,2023,31.0,83.0,8.0,61.0,22.0,4.0,4.0,3.0,2.013422818791946,2.684563758389262,55.70469798657718,73.49397590361446,46.96969696969697,50.0,50.0,100.0,61.74496644295302,149.0,0.0,3.0
australian open,R128,2024,22.0,96.0,14.0,62.0,20.0,3.0,8.0,7.0,4.895104895104895,2.097902097902098,67.13286713286713,64.58333333333334,46.808510638297875,57.14285714285714,57.14285714285714,100.0,58.74125874125874,143.0,5.0,2.0
australian open,R16,2020,46.0,125.0,33.0,75.0,36.0,9.0,17.0,8.0,3.524229074889868,3.9647577092511015,55.06607929515418,60.0,45.09803921568628,51.515151515151516,51.515151515151516,100.0,53.30396475770925,227.0,4.0,4.0
australian open,R16,2021,31.0,102.0,13.0,68.0,26.0,2.0,7.0,5.0,3.1446540880503147,1.257861635220126,64.15094339622641,66.66666666666666,54.385964912280706,53.84615384615385,53.84615384615385,100.0,62.264150943396224,159.0,3.0,2.0
australian open,R16,2022,24.0,128.0,26.0,87.0,30.0,7.0,16.0,4.0,2.0,3.5000000000000004,64.0,67.96875,33.33333333333333,61.53846153846154,61.53846153846154,100.0,55.50000000000001,200.0,2.0,2.0
australian open,R16,2023,23.0,65.0,10.0,44.0,20.0,2.0,4.0,8.0,7.2727272727272725,1.8181818181818181,59.09090909090909,67.6923076923077,51.11111111111111,40.0,40.0,100.0,60.909090909090914,110.0,6.0,2.0
australian open,R32,2020,29.0,83.0,17.0,59.0,21.0,6.0,13.0,11.0,7.801418439716312,4.25531914893617,58.86524822695035,71.08433734939759,50.0,76.47058823529412,76.47058823529412,100.0,62.4113475177305,141.0,6.0,5.0
australian open,R32,2021,16.0,71.0,21.0,42.0,19.0,7.0,12.0,1.0,0.8547008547008548,5.982905982905983,60.68376068376068,59.154929577464785,34.78260869565217,57.14285714285714,57.14285714285714,100.0,49.572649572649574,117.0,1.0,0.0
australian open,R32,2022,27.0,86.0,17.0,50.0,17.0,4.0,12.0,7.0,5.263157894736842,3.007518796992481,64.66165413533834,58.139534883720934,57.446808510638306,70.58823529411765,70.58823529411765,100.0,57.89473684210527,133.0,4.0,3.0
australian open,R32,2023,15.0,43.0,10.0,26.0,13.0,3.0,5.0,4.0,5.633802816901409,4.225352112676056,60.56338028169014,60.46511627906976,53.57142857142857,50.0,50.0,100.0,57.74647887323944,71.0,3.0,1.0
australian open,R32,2024,35.0,117.0,14.0,80.0,28.0,5.0,9.0,14.0,7.526881720430108,2.6881720430107525,62.903225806451616,68.37606837606837,50.72463768115942,64.28571428571429,64.28571428571429,100.0,61.82795698924731,186.0,10.0,4.0
australian open,R64,2019,18.0,53.0,12.0,32.0,14.0,8.0,5.0,6.0,6.25,8.333333333333332,55.208333333333336,60.37735849056604,41.86046511627907,41.66666666666667,41.66666666666667,100.0,52.083333333333336,96.0,2.0,4.0
australian open,R64,2020,22.0,95.0,15.0,58.0,21.0,4.0,9.0,8.0,5.839416058394161,2.9197080291970803,69.34306569343066,61.05263157894737,52.38095238095239,60.0,60.0,100.0,58.3941605839416,137.0,8.0,0.0
australian open,R64,2021,22.0,66.0,12.0,46.0,18.0,4.0,7.0,4.0,3.6036036036036037,3.6036036036036037,59.45945945945946,69.6969696969697,48.888888888888886,58.333333333333336,58.333333333333336,100.0,61.261261261261254,111.0,4.0,0.0
australian open,R64,2022,19.0,72.0,10.0,40.0,16.0,2.0,4.0,1.0,0.9433962264150944,1.8867924528301887,67.9245283018868,55.55555555555556,55.88235294117647,40.0,40.0,100.0,55.660377358490564,106.0,1.0,0.0
australian open,R64,2023,12.0,78.0,13.0,40.0,17.0,2.0,4.0,0.0,0.0,1.9417475728155338,75.72815533980582,51.28205128205128,48.0,30.76923076923077,30.76923076923077,100.0,50.48543689320388,103.0,0.0,0.0
australian open,R64,2024,26.0,126.0,30.0,80.0,29.0,11.0,17.0,3.0,1.4705882352941175,5.392156862745098,61.76470588235294,63.49206349206349,33.33333333333333,56.666666666666664,56.666666666666664,100.0,51.9607843137255,204.0,1.0,2.0
australian open,SF,2022,10.0,64.0,13.0,44.0,17.0,8.0,5.0,8.0,7.766990291262135,7.766990291262135,62.13592233009708,68.75,25.64102564102564,38.46153846153847,38.46153846153847,100.0,52.42718446601942,103.0,7.0,1.0
roland garros,F,2020,17.0,65.0,12.0,36.0,17.0,6.0,3.0,2.0,1.8691588785046727,5.607476635514018,60.747663551401864,55.38461538461539,40.476190476190474,25.0,25.0,100.0,49.532710280373834,107.0,1.0,1.0
roland garros,F,2022,15.0,69.0,11.0,40.0,16.0,3.0,5.0,3.0,2.9702970297029703,2.9702970297029703,68.31683168316832,57.971014492753625,46.875,45.45454545454545,45.45454545454545,100.0,54.45544554455446,101.0,1.0,2.0
roland garros,F,2023,35.0,105.0,18.0,60.0,30.0,6.0,6.0,7.0,3.954802259887006,3.389830508474576,59.32203389830508,57.14285714285714,48.61111111111111,33.33333333333333,33.33333333333333,100.0,53.672316384180796,177.0,1.0,6.0
roland garros,F,2024,17.0,57.0,10.0,30.0,15.0,2.0,4.0,2.0,2.272727272727273,2.272727272727273,64.77272727272727,52.63157894736842,54.83870967741935,40.0,40.0,100.0,53.40909090909091,88.0,1.0,1.0
roland garros,QF,2020,19.0,73.0,20.0,38.0,16.0,1.0,12.0,2.0,1.834862385321101,0.9174311926605505,66.97247706422019,52.054794520547944,52.77777777777778,60.0,60.0,100.0,52.293577981651374,109.0,1.0,1.0
roland garros,QF,2021,26.0,68.0,14.0,52.0,20.0,4.0,10.0,5.0,4.0650406504065035,3.2520325203252036,55.28455284552846,76.47058823529412,47.27272727272727,71.42857142857143,71.42857142857143,100.0,63.41463414634146,123.0,5.0,0.0
roland garros,QF,2022,24.0,81.0,13.0,49.0,17.0,1.0,7.0,6.0,4.651162790697675,0.7751937984496124,62.7906976744186,60.49382716049383,50.0,53.84615384615385,53.84615384615385,100.0,56.58914728682171,129.0,4.0,2.0
roland garros,QF,2023,26.0,56.0,10.0,34.0,18.0,2.0,5.0,3.0,2.9702970297029703,1.9801980198019802,55.44554455445545,60.71428571428571,57.77777777777777,50.0,50.0,100.0,59.4059405940594,101.0,1.0,2.0
roland garros,QF,2024,11.0,60.0,10.0,39.0,14.0,4.0,5.0,0.0,0.0,4.49438202247191,67.41573033707866,65.0,37.93103448275862,50.0,50.0,100.0,56.17977528089888,89.0,0.0,0.0
roland garros,R128,2019,22.0,52.0,16.0,28.0,15.0,4.0,8.0,1.0,1.0101010101010102,4.040404040404041,52.52525252525253,53.84615384615385,46.808510638297875,50.0,50.0,100.0,50.505050505050505,99.0,1.0,0.0
roland garros,R128,2020,22.0,52.0,12.0,29.0,15.0,5.0,6.0,1.0,1.098901098901099,5.4945054945054945,57.14285714285714,55.769230769230774,56.41025641025641,50.0,50.0,100.0,56.043956043956044,91.0,0.0,1.0
roland garros,R128,2021,22.0,78.0,17.0,48.0,18.0,4.0,11.0,2.0,1.6129032258064515,3.225806451612903,62.903225806451616,61.53846153846154,47.82608695652174,64.70588235294117,64.70588235294117,100.0,56.451612903225815,124.0,0.0,2.0
roland garros,R128,2022,12.0,51.0,11.0,26.0,14.0,1.0,4.0,0.0,0.0,1.3157894736842104,67.10526315789474,50.98039215686274,48.0,36.36363636363637,36.36363636363637,100.0,50.0,76.0,0.0,0.0
roland garros,R128,2023,16.0,61.0,12.0,34.0,16.0,5.0,4.0,2.0,2.0408163265306123,5.1020408163265305,62.244897959183675,55.73770491803278,43.24324324324324,33.33333333333333,33.33333333333333,100.0,51.02040816326531,98.0,1.0,1.0
roland garros,R128,2024,11.0,53.0,8.0,33.0,15.0,1.0,1.0,1.0,1.2048192771084338,1.2048192771084338,63.85542168674698,62.264150943396224,36.666666666666664,12.5,12.5,100.0,53.01204819277109,83.0,1.0,0.0
roland garros,R16,2019,8.0,44.0,12.0,26.0,13.0,1.0,4.0,0.0,0.0,1.36986301369863,60.273972602739725,59.09090909090909,27.586206896551722,33.33333333333333,33.33333333333333,100.0,46.57534246575342,73.0,0.0,0.0
roland garros,R16,2020,17.0,77.0,14.0,48.0,15.0,3.0,10.0,3.0,2.7522935779816518,2.7522935779816518,70.64220183486239,62.33766233766234,53.125,71.42857142857143,71.42857142857143,100.0,59.63302752293578,109.0,1.0,2.0
roland garros,R16,2021,26.0,82.0,19.0,53.0,19.0,5.0,13.0,3.0,2.142857142857143,3.571428571428571,58.57142857142858,64.63414634146342,44.827586206896555,68.42105263157895,68.42105263157895,100.0,56.42857142857143,140.0,1.0,2.0
roland garros,R16,2022,34.0,119.0,24.0,72.0,26.0,6.0,15.0,6.0,3.076923076923077,3.076923076923077,61.02564102564103,60.50420168067227,44.73684210526316,62.5,62.5,100.0,54.35897435897436,195.0,2.0,4.0
roland garros,R16,2023,7.0,17.0,7.0,7.0,6.0,1.0,3.0,1.0,3.0303030303030303,3.0303030303030303,51.515151515151516,41.17647058823529,43.75,42.857142857142854,42.857142857142854,100.0,42.42424242424242,33.0,1.0,0.0
roland garros,R16,2024,13.0,28.0,8.0,18.0,12.0,1.0,2.0,3.0,5.172413793103448,1.7241379310344827,48.275862068965516,64.28571428571429,43.333333333333336,25.0,25.0,100.0,53.44827586206896,58.0,3.0,0.0
roland garros,R32,2019,28.0,94.0,20.0,70.0,24.0,10.0,14.0,17.0,10.179640718562874,5.9880239520958085,56.287425149700596,74.46808510638297,38.35616438356164,70.0,70.0,100.0,58.68263473053892,167.0,6.0,11.0
roland garros,R32,2020,17.0,60.0,16.0,38.0,17.0,2.0,8.0,3.0,2.8301886792452833,1.8867924528301887,56.60377358490566,63.33333333333333,36.95652173913043,50.0,50.0,100.0,51.886792452830186,106.0,1.0,2.0
roland garros,R32,2021,24.0,73.0,7.0,51.0,18.0,6.0,2.0,6.0,4.958677685950414,4.958677685950414,60.33057851239669,69.86301369863014,50.0,28.57142857142857,28.57142857142857,100.0,61.98347107438017,121.0,2.0,4.0
roland garros,R32,2022,24.0,70.0,13.0,47.0,21.0,4.0,5.0,4.0,3.3333333333333335,3.3333333333333335,58.333333333333336,67.14285714285714,48.0,38.46153846153847,38.46153846153847,100.0,59.166666666666664,120.0,1.0,3.0
roland garros,R32,2023,9.0,40.0,9.0,24.0,12.0,5.0,3.0,3.0,4.477611940298507,7.462686567164178,59.70149253731343,60.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,49.25373134328358,67.0,2.0,1.0
roland garros,R32,2024,17.0,74.0,8.0,48.0,18.0,4.0,3.0,7.0,6.481481481481481,3.7037037037037033,68.51851851851852,64.86486486486487,50.0,37.5,37.5,100.0,60.18518518518518,108.0,2.0,5.0
roland garros,R64,2019,18.0,45.0,8.0,29.0,15.0,1.0,2.0,5.0,6.097560975609756,1.2195121951219512,54.87804878048781,64.44444444444444,48.64864864864865,25.0,25.0,100.0,57.3170731707317,82.0,4.0,1.0
roland garros,R64,2020,16.0,60.0,20.0,36.0,17.0,7.0,11.0,0.0,0.0,6.60377358490566,56.60377358490566,60.0,34.78260869565217,55.00000000000001,55.00000000000001,100.0,49.056603773584904,106.0,0.0,0.0
roland garros,R64,2021,10.0,59.0,19.0,36.0,14.0,4.0,12.0,3.0,3.3707865168539324,4.49438202247191,66.29213483146067,61.016949152542374,33.33333333333333,63.1578947368421,63.1578947368421,100.0,51.68539325842697,89.0,2.0,1.0
roland garros,R64,2022,14.0,59.0,9.0,35.0,14.0,3.0,4.0,3.0,3.4090909090909087,3.4090909090909087,67.04545454545455,59.32203389830508,48.275862068965516,44.44444444444444,44.44444444444444,100.0,55.68181818181818,88.0,1.0,2.0
roland garros,R64,2023,20.0,59.0,18.0,33.0,16.0,2.0,10.0,1.0,0.9345794392523363,1.8691588785046727,55.140186915887845,55.932203389830505,41.66666666666667,55.55555555555556,55.55555555555556,100.0,49.532710280373834,107.0,1.0,0.0
roland garros,R64,2024,39.0,136.0,24.0,94.0,31.0,7.0,16.0,8.0,3.587443946188341,3.1390134529147984,60.98654708520179,69.11764705882352,44.827586206896555,66.66666666666666,66.66666666666666,100.0,59.64125560538116,223.0,0.0,8.0
roland garros,SF,2020,21.0,58.0,14.0,32.0,15.0,0.0,8.0,0.0,0.0,0.0,61.05263157894737,55.172413793103445,56.75675675675676,57.14285714285714,57.14285714285714,100.0,55.78947368421052,95.0,0.0,0.0
roland garros,SF,2022,10.0,62.0,11.0,37.0,15.0,4.0,5.0,3.0,3.4090909090909087,4.545454545454546,70.45454545454545,59.67741935483871,38.46153846153847,45.45454545454545,45.45454545454545,100.0,53.40909090909091,88.0,1.0,2.0
roland garros,SF,2023,22.0,97.0,11.0,60.0,20.0,5.0,5.0,1.0,0.6993006993006993,3.4965034965034967,67.83216783216784,61.855670103092784,47.82608695652174,45.45454545454545,45.45454545454545,100.0,57.34265734265735,143.0,1.0,0.0
roland garros,SF,2024,24.0,74.0,11.0,49.0,18.0,4.0,6.0,3.0,2.380952380952381,3.1746031746031744,58.730158730158735,66.21621621621621,46.15384615384615,54.54545454545454,54.54545454545454,100.0,57.936507936507944,126.0,0.0,3.0
us open,F,2022,16.0,104.0,21.0,58.0,21.0,6.0,13.0,1.0,0.6802721088435374,4.081632653061225,70.74829931972789,55.769230769230774,37.2093023255814,61.904761904761905,61.904761904761905,100.0,50.34013605442177,147.0,1.0,0.0
us open,QF,2022,18.0,90.0,21.0,46.0,22.0,6.0,8.0,2.0,1.3986013986013985,4.195804195804196,62.93706293706294,51.11111111111111,33.9622641509434,38.095238095238095,38.095238095238095,100.0,44.75524475524475,143.0,1.0,1.0
us open,QF,2024,19.0,76.0,11.0,50.0,18.0,3.0,6.0,0.0,0.0,2.631578947368421,66.66666666666666,65.78947368421053,50.0,54.54545454545454,54.54545454545454,100.0,60.526315789473685,114.0,0.0,0.0
