tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2020,34.0,90.0,25.0,48.0,22.0,4.0,15.0,5.0,3.225806451612903,2.5806451612903225,58.06451612903226,53.333333333333336,52.307692307692314,60.0,60.0,100.0,52.903225806451616,155.0,3.0,2.0
australian open,R128,2021,9.0,55.0,8.0,36.0,14.0,6.0,3.0,6.0,7.5,7.5,68.75,65.45454545454545,36.0,37.5,37.5,100.0,56.25,80.0,6.0,0.0
australian open,R128,2022,19.0,51.0,15.0,26.0,16.0,5.0,5.0,4.0,4.123711340206185,5.154639175257731,52.57731958762887,50.98039215686274,41.30434782608695,33.33333333333333,33.33333333333333,100.0,46.391752577319586,97.0,4.0,0.0
australian open,R128,2023,22.0,67.0,7.0,44.0,18.0,9.0,2.0,6.0,5.555555555555555,8.333333333333332,62.03703703703704,65.67164179104478,53.65853658536586,28.57142857142857,28.57142857142857,100.0,61.111111111111114,108.0,5.0,1.0
australian open,R128,2024,15.0,72.0,7.0,45.0,19.0,2.0,1.0,2.0,1.9047619047619049,1.9047619047619049,68.57142857142857,62.5,45.45454545454545,14.285714285714285,14.285714285714285,100.0,57.14285714285714,105.0,1.0,1.0
australian open,R16,2024,24.0,75.0,12.0,42.0,18.0,1.0,7.0,4.0,3.6036036036036037,0.9009009009009009,67.56756756756756,56.00000000000001,66.66666666666666,58.333333333333336,58.333333333333336,100.0,59.45945945945946,111.0,1.0,3.0
australian open,R32,2024,17.0,88.0,10.0,54.0,22.0,2.0,3.0,4.0,3.2,1.6,70.39999999999999,61.36363636363637,45.94594594594595,30.0,30.0,100.0,56.8,125.0,3.0,1.0
australian open,R64,2024,11.0,89.0,12.0,58.0,17.0,5.0,7.0,2.0,1.694915254237288,4.23728813559322,75.42372881355932,65.1685393258427,37.93103448275862,58.333333333333336,58.333333333333336,100.0,58.47457627118644,118.0,1.0,1.0
roland garros,F,2024,17.0,57.0,10.0,30.0,15.0,2.0,4.0,2.0,2.272727272727273,2.272727272727273,64.77272727272727,52.63157894736842,54.83870967741935,40.0,40.0,100.0,53.40909090909091,88.0,1.0,1.0
roland garros,QF,2024,29.0,123.0,27.0,71.0,28.0,4.0,15.0,11.0,6.111111111111111,2.2222222222222223,68.33333333333333,57.72357723577236,50.877192982456144,55.55555555555556,55.55555555555556,100.0,55.55555555555556,180.0,1.0,10.0
roland garros,R128,2019,16.0,74.0,22.0,40.0,17.0,8.0,14.0,2.0,1.7699115044247788,7.079646017699115,65.48672566371681,54.054054054054056,41.02564102564102,63.63636363636363,63.63636363636363,100.0,49.557522123893804,113.0,1.0,1.0
roland garros,R128,2020,16.0,90.0,13.0,49.0,19.0,1.0,5.0,3.0,2.4390243902439024,0.8130081300813009,73.17073170731707,54.44444444444444,48.484848484848484,38.46153846153847,38.46153846153847,100.0,52.84552845528455,123.0,0.0,3.0
roland garros,R128,2021,19.0,78.0,15.0,56.0,19.0,2.0,10.0,6.0,4.958677685950414,1.6528925619834711,64.46280991735537,71.7948717948718,44.18604651162791,66.66666666666666,66.66666666666666,100.0,61.98347107438017,121.0,0.0,6.0
roland garros,R128,2022,16.0,150.0,16.0,90.0,29.0,9.0,6.0,7.0,3.7433155080213902,4.81283422459893,80.21390374331551,60.0,43.24324324324324,37.5,37.5,100.0,56.68449197860963,187.0,7.0,0.0
roland garros,R128,2023,27.0,132.0,29.0,86.0,28.0,5.0,20.0,2.0,1.0050251256281406,2.512562814070352,66.33165829145729,65.15151515151516,40.298507462686565,68.96551724137932,68.96551724137932,100.0,56.78391959798995,199.0,0.0,2.0
roland garros,R128,2024,12.0,96.0,25.0,47.0,19.0,12.0,13.0,3.0,2.2388059701492535,8.955223880597014,71.64179104477611,48.95833333333333,31.57894736842105,52.0,52.0,100.0,44.02985074626866,134.0,1.0,2.0
roland garros,R16,2024,16.0,127.0,26.0,64.0,23.0,6.0,14.0,0.0,0.0,3.6363636363636362,76.96969696969697,50.39370078740157,42.10526315789473,53.84615384615385,53.84615384615385,100.0,48.484848484848484,165.0,0.0,0.0
roland garros,R32,2024,20.0,95.0,15.0,55.0,22.0,3.0,7.0,2.0,1.4705882352941175,2.2058823529411766,69.85294117647058,57.89473684210527,48.78048780487805,46.666666666666664,46.666666666666664,100.0,55.14705882352941,136.0,1.0,1.0
roland garros,R64,2020,26.0,75.0,26.0,44.0,18.0,9.0,17.0,6.0,4.316546762589928,6.474820143884892,53.956834532374096,58.666666666666664,40.625,65.38461538461539,65.38461538461539,100.0,50.35971223021583,139.0,4.0,2.0
roland garros,R64,2021,14.0,87.0,17.0,53.0,17.0,2.0,11.0,5.0,4.23728813559322,1.694915254237288,73.72881355932203,60.91954022988506,45.16129032258064,64.70588235294117,64.70588235294117,100.0,56.779661016949156,118.0,5.0,0.0
roland garros,R64,2023,20.0,87.0,23.0,51.0,20.0,6.0,14.0,4.0,2.941176470588235,4.411764705882353,63.970588235294116,58.620689655172406,40.816326530612244,60.86956521739131,60.86956521739131,100.0,52.20588235294118,136.0,4.0,0.0
roland garros,R64,2024,33.0,89.0,14.0,55.0,22.0,4.0,5.0,4.0,2.547770700636943,2.547770700636943,56.68789808917197,61.79775280898876,48.529411764705884,35.714285714285715,35.714285714285715,100.0,56.05095541401274,157.0,1.0,3.0
roland garros,SF,2024,13.0,79.0,12.0,48.0,16.0,1.0,8.0,2.0,1.834862385321101,0.9174311926605505,72.47706422018348,60.75949367088608,43.333333333333336,66.66666666666666,66.66666666666666,100.0,55.96330275229357,109.0,1.0,1.0
us open,R128,2020,22.0,72.0,15.0,45.0,17.0,5.0,8.0,4.0,3.278688524590164,4.098360655737705,59.01639344262295,62.5,44.0,53.333333333333336,53.333333333333336,100.0,54.91803278688525,122.0,3.0,1.0
