tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2021,27.0,74.0,20.0,51.0,25.0,8.0,9.0,7.0,4.895104895104895,5.594405594405594,51.74825174825175,68.91891891891892,39.130434782608695,45.0,45.0,100.0,54.54545454545454,143.0,7.0,0.0
australian open,QF,2022,18.0,57.0,10.0,39.0,14.0,5.0,5.0,7.0,6.9306930693069315,4.9504950495049505,56.43564356435643,68.42105263157895,40.909090909090914,50.0,50.0,100.0,56.43564356435643,101.0,6.0,1.0
australian open,QF,2023,23.0,77.0,17.0,45.0,17.0,4.0,10.0,3.0,2.34375,3.125,60.15625,58.44155844155844,45.09803921568628,58.82352941176471,58.82352941176471,100.0,53.125,128.0,0.0,3.0
australian open,R128,2020,30.0,107.0,16.0,65.0,22.0,8.0,11.0,5.0,3.0120481927710845,4.819277108433735,64.45783132530121,60.747663551401864,50.847457627118644,68.75,68.75,100.0,57.22891566265061,166.0,4.0,1.0
australian open,R128,2021,31.0,81.0,9.0,54.0,22.0,8.0,3.0,8.0,5.673758865248227,5.673758865248227,57.446808510638306,66.66666666666666,51.66666666666667,33.33333333333333,33.33333333333333,100.0,60.28368794326241,141.0,6.0,2.0
australian open,R128,2022,46.0,153.0,31.0,95.0,34.0,9.0,23.0,7.0,2.9914529914529915,3.8461538461538463,65.38461538461539,62.091503267973856,56.79012345679012,74.19354838709677,74.19354838709677,100.0,60.256410256410255,234.0,5.0,2.0
australian open,R128,2023,12.0,60.0,11.0,39.0,13.0,2.0,6.0,5.0,5.376344086021505,2.1505376344086025,64.51612903225806,65.0,36.36363636363637,54.54545454545454,54.54545454545454,100.0,54.83870967741935,93.0,2.0,3.0
australian open,R128,2024,23.0,67.0,8.0,46.0,18.0,7.0,3.0,9.0,7.894736842105263,6.140350877192982,58.77192982456141,68.65671641791045,48.93617021276596,37.5,37.5,100.0,60.526315789473685,114.0,4.0,5.0
australian open,R16,2021,30.0,116.0,21.0,79.0,28.0,5.0,14.0,8.0,4.49438202247191,2.8089887640449436,65.1685393258427,68.10344827586206,48.38709677419355,66.66666666666666,66.66666666666666,100.0,61.23595505617978,178.0,4.0,4.0
australian open,R16,2022,29.0,76.0,11.0,56.0,21.0,7.0,6.0,10.0,7.352941176470589,5.147058823529411,55.88235294117647,73.68421052631578,48.333333333333336,54.54545454545454,54.54545454545454,100.0,62.5,136.0,6.0,4.0
australian open,R16,2023,27.0,91.0,20.0,53.0,20.0,3.0,13.0,3.0,2.083333333333333,2.083333333333333,63.19444444444444,58.24175824175825,50.943396226415096,65.0,65.0,100.0,55.55555555555556,144.0,0.0,3.0
australian open,R32,2021,23.0,47.0,12.0,25.0,15.0,4.0,5.0,3.0,3.260869565217391,4.3478260869565215,51.08695652173913,53.191489361702125,51.11111111111111,41.66666666666667,41.66666666666667,100.0,52.17391304347826,92.0,2.0,1.0
