tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2015,30.0,92.0,19.0,63.0,29.0,3.0,7.0,9.0,5.172413793103448,1.7241379310344827,52.87356321839081,68.47826086956522,36.58536585365854,36.84210526315789,36.84210526315789,100.0,53.44827586206896,174.0,6.0,3.0
australian open,QF,2018,12.0,53.0,12.0,32.0,15.0,5.0,5.0,1.0,1.1764705882352942,5.88235294117647,62.35294117647059,60.37735849056604,37.5,41.66666666666667,41.66666666666667,100.0,51.76470588235295,85.0,1.0,0.0
australian open,QF,2022,20.0,84.0,20.0,54.0,17.0,5.0,15.0,13.0,9.923664122137405,3.816793893129771,64.12213740458014,64.28571428571429,42.5531914893617,75.0,75.0,100.0,56.48854961832062,131.0,11.0,2.0
australian open,R128,2012,14.0,62.0,10.0,39.0,0.0,5.0,5.0,2.0,2.1739130434782608,5.434782608695652,67.3913043478261,62.903225806451616,46.666666666666664,50.0,50.0,,57.608695652173914,92.0,0.0,2.0
australian open,R128,2013,27.0,90.0,16.0,58.0,0.0,2.0,9.0,9.0,6.081081081081082,1.3513513513513513,60.810810810810814,64.44444444444444,46.55172413793103,56.25,56.25,,57.432432432432435,148.0,7.0,2.0
australian open,R128,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
australian open,R128,2015,24.0,79.0,11.0,58.0,0.0,3.0,7.0,10.0,7.633587786259542,2.2900763358778624,60.30534351145038,73.41772151898735,46.15384615384615,63.63636363636363,63.63636363636363,,62.59541984732825,131.0,9.0,1.0
australian open,R128,2016,25.0,86.0,10.0,55.0,20.0,2.0,6.0,4.0,3.1746031746031744,1.5873015873015872,68.25396825396825,63.95348837209303,62.5,60.0,60.0,100.0,63.49206349206349,126.0,4.0,0.0
australian open,R128,2018,20.0,75.0,17.0,49.0,19.0,2.0,10.0,6.0,5.042016806722689,1.680672268907563,63.02521008403361,65.33333333333333,45.45454545454545,58.82352941176471,58.82352941176471,100.0,57.98319327731093,119.0,4.0,2.0
australian open,R128,2019,26.0,72.0,16.0,48.0,16.0,6.0,12.0,7.0,5.833333333333333,5.0,60.0,66.66666666666666,54.166666666666664,75.0,75.0,100.0,61.66666666666667,120.0,6.0,1.0
australian open,R128,2020,14.0,68.0,15.0,37.0,16.0,9.0,7.0,4.0,3.9603960396039604,8.91089108910891,67.32673267326733,54.41176470588235,42.42424242424242,46.666666666666664,46.666666666666664,100.0,50.495049504950494,101.0,4.0,0.0
australian open,R128,2022,23.0,105.0,7.0,78.0,24.0,3.0,4.0,15.0,10.06711409395973,2.013422818791946,70.46979865771812,74.28571428571429,52.27272727272727,57.14285714285714,57.14285714285714,100.0,67.78523489932886,149.0,15.0,0.0
