tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2024,25.0,66.0,13.0,44.0,20.0,2.0,6.0,4.0,3.418803418803419,1.7094017094017095,56.41025641025641,66.66666666666666,49.01960784313725,46.15384615384615,46.15384615384615,100.0,58.97435897435898,117.0,3.0,1.0
australian open,R16,2024,27.0,109.0,20.0,66.0,27.0,10.0,10.0,4.0,2.4096385542168677,6.024096385542169,65.66265060240963,60.550458715596335,47.368421052631575,50.0,50.0,100.0,56.024096385542165,166.0,1.0,3.0
australian open,R32,2024,24.0,122.0,24.0,78.0,26.0,5.0,14.0,5.0,2.7624309392265194,2.7624309392265194,67.40331491712708,63.934426229508205,40.67796610169492,58.333333333333336,58.333333333333336,100.0,56.353591160220994,181.0,5.0,0.0
australian open,R64,2024,16.0,45.0,8.0,30.0,14.0,1.0,3.0,4.0,5.063291139240507,1.2658227848101267,56.9620253164557,66.66666666666666,47.05882352941176,37.5,37.5,100.0,58.22784810126582,79.0,2.0,2.0
roland garros,QF,2024,47.0,103.0,20.0,56.0,32.0,13.0,6.0,7.0,3.5000000000000004,6.5,51.5,54.36893203883495,48.45360824742268,30.0,30.0,100.0,51.5,200.0,4.0,3.0
roland garros,R128,2023,20.0,48.0,10.0,24.0,15.0,1.0,4.0,2.0,2.5974025974025974,1.2987012987012987,62.33766233766234,50.0,68.96551724137932,40.0,40.0,100.0,57.14285714285714,77.0,1.0,1.0
roland garros,R128,2024,15.0,68.0,15.0,47.0,17.0,6.0,9.0,6.0,5.5045871559633035,5.5045871559633035,62.38532110091744,69.11764705882352,36.58536585365854,60.0,60.0,100.0,56.88073394495413,109.0,4.0,2.0
roland garros,R16,2024,27.0,86.0,16.0,45.0,20.0,4.0,9.0,6.0,4.411764705882353,2.941176470588235,63.23529411764706,52.32558139534884,54.0,56.25,56.25,100.0,52.94117647058824,136.0,5.0,1.0
roland garros,R32,2023,15.0,136.0,22.0,83.0,26.0,12.0,11.0,2.0,1.1173184357541899,6.70391061452514,75.97765363128491,61.029411764705884,34.883720930232556,50.0,50.0,100.0,54.7486033519553,179.0,1.0,1.0
roland garros,R32,2024,18.0,71.0,14.0,39.0,15.0,4.0,7.0,2.0,1.834862385321101,3.669724770642202,65.13761467889908,54.929577464788736,47.368421052631575,50.0,50.0,100.0,52.293577981651374,109.0,2.0,0.0
roland garros,R64,2023,21.0,58.0,15.0,34.0,15.0,4.0,9.0,0.0,0.0,3.8834951456310676,56.310679611650485,58.620689655172406,46.666666666666664,60.0,60.0,100.0,53.398058252427184,103.0,0.0,0.0
roland garros,R64,2024,18.0,146.0,30.0,72.0,30.0,4.0,11.0,2.0,1.0309278350515463,2.0618556701030926,75.25773195876289,49.31506849315068,37.5,36.666666666666664,36.666666666666664,100.0,46.391752577319586,194.0,2.0,0.0
roland garros,SF,2024,13.0,79.0,12.0,48.0,16.0,1.0,8.0,2.0,1.834862385321101,0.9174311926605505,72.47706422018348,60.75949367088608,43.333333333333336,66.66666666666666,66.66666666666666,100.0,55.96330275229357,109.0,1.0,1.0
us open,R128,2023,33.0,89.0,17.0,60.0,26.0,11.0,9.0,7.0,4.216867469879518,6.626506024096386,53.6144578313253,67.41573033707866,42.857142857142854,52.94117647058824,52.94117647058824,100.0,56.024096385542165,166.0,3.0,4.0
us open,R128,2024,13.0,93.0,23.0,45.0,20.0,7.0,9.0,4.0,2.877697841726619,5.0359712230215825,66.90647482014388,48.38709677419355,28.26086956521739,39.130434782608695,39.130434782608695,100.0,41.726618705035975,139.0,3.0,1.0
us open,R64,2023,23.0,55.0,8.0,37.0,17.0,4.0,3.0,1.0,0.9708737864077669,3.8834951456310676,53.398058252427184,67.27272727272727,47.91666666666667,37.5,37.5,100.0,58.252427184466015,103.0,1.0,0.0
us open,R64,2024,12.0,57.0,15.0,39.0,17.0,6.0,6.0,5.0,5.208333333333334,6.25,59.375,68.42105263157895,30.76923076923077,40.0,40.0,100.0,53.125,96.0,1.0,4.0
wimbledon,R128,2023,37.0,143.0,16.0,101.0,31.0,8.0,13.0,10.0,4.672897196261682,3.7383177570093453,66.82242990654206,70.62937062937063,52.112676056338024,81.25,81.25,100.0,64.48598130841121,214.0,4.0,6.0
wimbledon,R128,2024,27.0,90.0,28.0,57.0,24.0,9.0,15.0,2.0,1.1976047904191618,5.389221556886228,53.89221556886228,63.33333333333333,35.064935064935064,53.57142857142857,53.57142857142857,100.0,50.29940119760479,167.0,0.0,2.0
wimbledon,R16,2023,29.0,138.0,22.0,93.0,30.0,5.0,14.0,3.0,1.5,2.5,69.0,67.3913043478261,46.774193548387096,63.63636363636363,63.63636363636363,100.0,61.0,200.0,3.0,0.0
wimbledon,R32,2023,29.0,87.0,30.0,51.0,20.0,5.0,21.0,0.0,0.0,3.3112582781456954,57.615894039735096,58.620689655172406,45.3125,70.0,70.0,100.0,52.980132450331126,151.0,0.0,0.0
wimbledon,R64,2023,17.0,55.0,6.0,33.0,13.0,3.0,2.0,7.0,8.433734939759036,3.614457831325301,66.26506024096386,60.0,60.71428571428571,33.33333333333333,33.33333333333333,100.0,60.24096385542169,83.0,4.0,3.0
