tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2019,21.0,74.0,13.0,52.0,18.0,12.0,8.0,9.0,6.923076923076923,9.230769230769232,56.92307692307692,70.27027027027027,37.5,61.53846153846154,61.53846153846154,100.0,56.15384615384615,130.0,3.0,6.0
australian open,R128,2020,16.0,52.0,13.0,32.0,13.0,5.0,8.0,3.0,3.488372093023256,5.813953488372093,60.46511627906976,61.53846153846154,47.05882352941176,61.53846153846154,61.53846153846154,100.0,55.81395348837209,86.0,3.0,0.0
australian open,R128,2021,27.0,170.0,17.0,120.0,36.0,16.0,8.0,14.0,5.761316872427984,6.584362139917696,69.95884773662551,70.58823529411765,36.986301369863014,47.05882352941176,47.05882352941176,100.0,60.49382716049383,243.0,6.0,8.0
australian open,R128,2022,8.0,82.0,16.0,45.0,16.0,8.0,6.0,8.0,7.142857142857142,7.142857142857142,73.21428571428571,54.87804878048781,26.666666666666668,37.5,37.5,100.0,47.32142857142857,112.0,7.0,1.0
australian open,R128,2024,15.0,55.0,10.0,42.0,16.0,4.0,6.0,9.0,10.0,4.444444444444445,61.111111111111114,76.36363636363637,42.857142857142854,60.0,60.0,100.0,63.33333333333333,90.0,8.0,1.0
australian open,R16,2022,17.0,73.0,17.0,48.0,16.0,11.0,11.0,4.0,3.418803418803419,9.401709401709402,62.39316239316239,65.75342465753424,38.63636363636363,64.70588235294117,64.70588235294117,100.0,55.55555555555556,117.0,3.0,1.0
australian open,R32,2022,42.0,108.0,25.0,63.0,30.0,15.0,13.0,6.0,3.061224489795918,7.653061224489796,55.10204081632652,58.333333333333336,47.72727272727273,52.0,52.0,100.0,53.57142857142857,196.0,4.0,2.0
australian open,R32,2024,22.0,94.0,16.0,58.0,22.0,9.0,8.0,7.0,4.964539007092199,6.382978723404255,66.66666666666666,61.702127659574465,46.808510638297875,50.0,50.0,100.0,56.73758865248227,141.0,4.0,3.0
australian open,R64,2020,27.0,99.0,16.0,65.0,24.0,8.0,10.0,10.0,6.493506493506493,5.194805194805195,64.28571428571429,65.65656565656566,49.09090909090909,62.5,62.5,100.0,59.74025974025974,154.0,7.0,3.0
australian open,R64,2022,21.0,56.0,13.0,35.0,15.0,5.0,8.0,5.0,5.208333333333334,5.208333333333334,58.333333333333336,62.5,52.5,61.53846153846154,61.53846153846154,100.0,58.333333333333336,96.0,5.0,0.0
australian open,R64,2024,26.0,62.0,13.0,42.0,17.0,6.0,9.0,13.0,11.711711711711711,5.405405405405405,55.85585585585585,67.74193548387096,53.06122448979592,69.23076923076923,69.23076923076923,100.0,61.261261261261254,111.0,9.0,4.0
roland garros,QF,2021,31.0,151.0,27.0,89.0,36.0,12.0,12.0,3.0,1.3333333333333335,5.333333333333334,67.11111111111111,58.94039735099338,41.891891891891895,44.44444444444444,44.44444444444444,100.0,53.333333333333336,225.0,1.0,2.0
roland garros,R128,2020,26.0,128.0,21.0,65.0,27.0,5.0,8.0,10.0,5.617977528089887,2.8089887640449436,71.91011235955057,50.78125,52.0,38.095238095238095,38.095238095238095,100.0,51.12359550561798,178.0,9.0,1.0
roland garros,R128,2021,24.0,80.0,17.0,52.0,20.0,13.0,11.0,6.0,4.3478260869565215,9.420289855072465,57.971014492753625,65.0,41.37931034482759,64.70588235294117,64.70588235294117,100.0,55.072463768115945,138.0,2.0,4.0
roland garros,R128,2022,11.0,50.0,6.0,34.0,14.0,5.0,1.0,5.0,6.41025641025641,6.41025641025641,64.1025641025641,68.0,39.285714285714285,16.666666666666664,16.666666666666664,100.0,57.692307692307686,78.0,5.0,0.0
