tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,F,2024,17.0,65.0,10.0,52.0,17.0,6.0,7.0,9.0,8.333333333333332,5.555555555555555,60.18518518518518,80.0,39.53488372093023,70.0,70.0,100.0,63.888888888888886,108.0,3.0,6.0
australian open,QF,2024,26.0,118.0,11.0,80.0,28.0,7.0,3.0,12.0,6.779661016949152,3.954802259887006,66.66666666666666,67.79661016949152,44.06779661016949,27.27272727272727,27.27272727272727,100.0,59.887005649717516,177.0,10.0,2.0
australian open,R128,2022,45.0,108.0,21.0,66.0,28.0,14.0,12.0,9.0,4.568527918781726,7.1065989847715745,54.82233502538071,61.111111111111114,50.56179775280899,57.14285714285714,57.14285714285714,100.0,56.34517766497462,197.0,6.0,3.0
australian open,R128,2023,12.0,45.0,13.0,29.0,14.0,5.0,6.0,3.0,3.6585365853658534,6.097560975609756,54.87804878048781,64.44444444444444,32.432432432432435,46.15384615384615,46.15384615384615,100.0,50.0,82.0,3.0,0.0
australian open,R128,2024,32.0,110.0,24.0,77.0,26.0,20.0,16.0,15.0,7.894736842105263,10.526315789473683,57.89473684210527,70.0,40.0,66.66666666666666,66.66666666666666,100.0,57.36842105263158,190.0,12.0,3.0
australian open,R16,2024,18.0,44.0,9.0,30.0,15.0,6.0,3.0,6.0,6.896551724137931,6.896551724137931,50.57471264367817,68.18181818181817,41.86046511627907,33.33333333333333,33.33333333333333,100.0,55.172413793103445,87.0,5.0,1.0
australian open,R32,2024,43.0,120.0,12.0,83.0,30.0,10.0,5.0,11.0,5.527638190954774,5.025125628140704,60.30150753768844,69.16666666666667,54.43037974683544,41.66666666666667,41.66666666666667,100.0,63.31658291457286,199.0,10.0,1.0
australian open,R64,2022,15.0,79.0,11.0,52.0,17.0,4.0,5.0,11.0,8.94308943089431,3.2520325203252036,64.22764227642277,65.82278481012658,34.090909090909086,45.45454545454545,45.45454545454545,100.0,54.47154471544715,123.0,3.0,8.0
australian open,R64,2023,26.0,74.0,12.0,55.0,20.0,7.0,8.0,11.0,8.661417322834646,5.511811023622047,58.26771653543307,74.32432432432432,49.056603773584904,66.66666666666666,66.66666666666666,100.0,63.77952755905512,127.0,3.0,8.0
australian open,R64,2024,20.0,65.0,15.0,46.0,18.0,11.0,8.0,8.0,6.4,8.799999999999999,52.0,70.76923076923077,33.33333333333333,53.333333333333336,53.333333333333336,100.0,52.800000000000004,125.0,7.0,1.0
australian open,SF,2024,28.0,71.0,21.0,49.0,20.0,8.0,15.0,7.0,5.384615384615385,6.153846153846154,54.61538461538461,69.01408450704226,47.45762711864407,71.42857142857143,71.42857142857143,100.0,59.23076923076923,130.0,4.0,3.0
roland garros,R128,2022,21.0,58.0,8.0,38.0,16.0,5.0,4.0,6.0,5.9405940594059405,4.9504950495049505,57.42574257425742,65.51724137931035,48.837209302325576,50.0,50.0,100.0,58.415841584158414,101.0,6.0,0.0
roland garros,R128,2023,19.0,58.0,13.0,32.0,16.0,10.0,5.0,5.0,4.716981132075472,9.433962264150944,54.71698113207547,55.172413793103445,39.58333333333333,38.46153846153847,38.46153846153847,100.0,48.113207547169814,106.0,5.0,0.0
roland garros,R128,2024,12.0,64.0,20.0,42.0,15.0,3.0,13.0,2.0,1.8691588785046727,2.803738317757009,59.813084112149525,65.625,27.906976744186046,65.0,65.0,100.0,50.467289719626166,107.0,1.0,1.0
roland garros,R16,2022,34.0,119.0,24.0,72.0,26.0,6.0,15.0,6.0,3.076923076923077,3.076923076923077,61.02564102564103,60.50420168067227,44.73684210526316,62.5,62.5,100.0,54.35897435897436,195.0,2.0,4.0
roland garros,R32,2022,5.0,42.0,6.0,23.0,9.0,1.0,1.0,2.0,3.4482758620689653,1.7241379310344827,72.41379310344827,54.761904761904766,31.25,16.666666666666664,16.666666666666664,100.0,48.275862068965516,58.0,1.0,1.0
roland garros,R32,2024,44.0,126.0,21.0,81.0,30.0,7.0,11.0,6.0,2.857142857142857,3.3333333333333335,60.0,64.28571428571429,52.38095238095239,52.38095238095239,52.38095238095239,100.0,59.523809523809526,210.0,2.0,4.0
roland garros,R64,2022,23.0,85.0,12.0,60.0,23.0,5.0,4.0,4.0,2.73972602739726,3.4246575342465753,58.21917808219178,70.58823529411765,37.704918032786885,33.33333333333333,33.33333333333333,100.0,56.849315068493155,146.0,3.0,1.0
roland garros,R64,2023,27.0,103.0,24.0,66.0,27.0,5.0,12.0,3.0,1.7647058823529411,2.941176470588235,60.588235294117645,64.07766990291263,40.298507462686565,50.0,50.0,100.0,54.70588235294118,170.0,1.0,2.0
roland garros,R64,2024,27.0,52.0,6.0,33.0,16.0,6.0,2.0,1.0,1.0,6.0,52.0,63.46153846153846,56.25,33.33333333333333,33.33333333333333,100.0,60.0,100.0,1.0,0.0
us open,QF,2023,27.0,45.0,7.0,35.0,17.0,4.0,4.0,7.0,7.6923076923076925,4.395604395604396,49.45054945054945,77.77777777777779,58.69565217391305,57.14285714285714,57.14285714285714,100.0,68.13186813186813,91.0,3.0,4.0
us open,QF,2024,17.0,60.0,9.0,44.0,15.0,6.0,5.0,8.0,7.920792079207921,5.9405940594059405,59.4059405940594,73.33333333333333,41.46341463414634,55.55555555555556,55.55555555555556,100.0,60.396039603960396,101.0,3.0,5.0
us open,R128,2022,26.0,99.0,20.0,67.0,30.0,9.0,9.0,25.0,15.151515151515152,5.454545454545454,60.0,67.67676767676768,39.39393939393939,45.0,45.0,100.0,56.36363636363636,165.0,21.0,4.0
us open,R128,2023,17.0,40.0,11.0,26.0,13.0,9.0,5.0,7.0,8.641975308641975,11.11111111111111,49.382716049382715,65.0,41.46341463414634,45.45454545454545,45.45454545454545,100.0,53.086419753086425,81.0,6.0,1.0
us open,R128,2024,37.0,90.0,23.0,61.0,28.0,6.0,13.0,13.0,7.386363636363637,3.4090909090909087,51.13636363636363,67.77777777777779,43.02325581395349,56.52173913043478,56.52173913043478,100.0,55.68181818181818,176.0,12.0,1.0
us open,R16,2023,30.0,51.0,17.0,28.0,18.0,9.0,8.0,7.0,6.1946902654867255,7.964601769911504,45.13274336283185,54.90196078431373,48.38709677419355,47.05882352941176,47.05882352941176,100.0,51.32743362831859,113.0,4.0,3.0
us open,R16,2024,39.0,120.0,15.0,92.0,30.0,14.0,10.0,19.0,9.178743961352657,6.763285024154589,57.971014492753625,76.66666666666667,44.827586206896555,66.66666666666666,66.66666666666666,100.0,63.28502415458937,207.0,10.0,9.0
us open,R32,2022,37.0,79.0,19.0,60.0,23.0,11.0,14.0,12.0,7.8431372549019605,7.18954248366013,51.633986928104584,75.9493670886076,50.0,73.68421052631578,73.68421052631578,100.0,63.39869281045751,153.0,6.0,6.0
us open,R32,2023,37.0,126.0,26.0,76.0,29.0,9.0,15.0,6.0,2.857142857142857,4.285714285714286,60.0,60.317460317460316,44.047619047619044,57.692307692307686,57.692307692307686,100.0,53.80952380952381,210.0,5.0,1.0
us open,R32,2024,20.0,44.0,6.0,30.0,15.0,8.0,1.0,9.0,9.782608695652174,8.695652173913043,47.82608695652174,68.18181818181817,41.66666666666667,16.666666666666664,16.666666666666664,100.0,54.347826086956516,92.0,7.0,2.0
us open,R64,2022,33.0,90.0,8.0,71.0,26.0,9.0,4.0,12.0,7.6923076923076925,5.769230769230769,57.692307692307686,78.88888888888889,50.0,50.0,50.0,100.0,66.66666666666666,156.0,11.0,1.0
us open,R64,2023,39.0,71.0,17.0,48.0,25.0,16.0,8.0,9.0,5.960264900662252,10.596026490066226,47.019867549668874,67.6056338028169,48.75,47.05882352941176,47.05882352941176,100.0,57.615894039735096,151.0,9.0,0.0
us open,R64,2024,35.0,96.0,20.0,68.0,27.0,7.0,12.0,22.0,12.941176470588237,4.117647058823529,56.470588235294116,70.83333333333334,47.2972972972973,60.0,60.0,100.0,60.588235294117645,170.0,20.0,2.0
wimbledon,R128,2022,31.0,83.0,9.0,61.0,25.0,11.0,4.0,9.0,6.206896551724138,7.586206896551724,57.24137931034483,73.49397590361446,50.0,44.44444444444444,44.44444444444444,100.0,63.44827586206897,145.0,7.0,2.0
wimbledon,R128,2023,19.0,81.0,19.0,53.0,21.0,8.0,9.0,2.0,1.4388489208633095,5.755395683453238,58.27338129496403,65.4320987654321,32.758620689655174,47.368421052631575,47.368421052631575,100.0,51.798561151079134,139.0,1.0,1.0
wimbledon,R128,2024,35.0,86.0,15.0,67.0,28.0,9.0,9.0,10.0,6.289308176100629,5.660377358490567,54.088050314465406,77.90697674418605,47.94520547945205,60.0,60.0,100.0,64.15094339622641,159.0,3.0,7.0
wimbledon,R32,2022,39.0,76.0,12.0,59.0,25.0,15.0,7.0,12.0,7.5,9.375,47.5,77.63157894736842,46.42857142857143,58.333333333333336,58.333333333333336,100.0,61.25000000000001,160.0,7.0,5.0
wimbledon,R64,2022,16.0,68.0,13.0,48.0,17.0,9.0,7.0,8.0,7.207207207207207,8.108108108108109,61.261261261261254,70.58823529411765,37.2093023255814,53.84615384615385,53.84615384615385,100.0,57.65765765765766,111.0,8.0,0.0
