tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2017,59.0,201.0,39.0,130.0,48.0,13.0,25.0,16.0,4.938271604938271,4.012345679012346,62.03703703703704,64.6766169154229,47.96747967479675,64.1025641025641,64.1025641025641,100.0,58.333333333333336,324.0,12.0,4.0
australian open,R128,2018,23.0,131.0,18.0,90.0,31.0,8.0,9.0,9.0,4.761904761904762,4.232804232804233,69.31216931216932,68.70229007633588,39.6551724137931,50.0,50.0,100.0,59.78835978835979,189.0,5.0,4.0
australian open,R128,2019,40.0,114.0,10.0,82.0,32.0,4.0,5.0,6.0,3.260869565217391,2.1739130434782608,61.95652173913043,71.9298245614035,57.14285714285714,50.0,50.0,100.0,66.30434782608695,184.0,5.0,1.0
australian open,R128,2021,33.0,96.0,12.0,71.0,26.0,6.0,6.0,16.0,9.815950920245399,3.6809815950920246,58.895705521472394,73.95833333333334,49.25373134328358,50.0,50.0,100.0,63.80368098159509,163.0,4.0,12.0
australian open,R128,2022,39.0,132.0,27.0,80.0,33.0,2.0,16.0,6.0,2.9268292682926833,0.975609756097561,64.39024390243902,60.60606060606061,53.42465753424658,59.25925925925925,59.25925925925925,100.0,58.048780487804876,205.0,4.0,2.0
australian open,R128,2023,30.0,109.0,15.0,73.0,25.0,3.0,9.0,11.0,6.666666666666667,1.8181818181818181,66.06060606060606,66.97247706422019,53.57142857142857,60.0,60.0,100.0,62.42424242424243,165.0,8.0,3.0
australian open,R128,2024,42.0,81.0,7.0,65.0,23.0,2.0,5.0,22.0,14.666666666666666,1.3333333333333335,54.0,80.24691358024691,60.86956521739131,71.42857142857143,71.42857142857143,100.0,71.33333333333334,150.0,10.0,12.0
australian open,R16,2022,40.0,129.0,14.0,96.0,31.0,2.0,10.0,16.0,7.920792079207921,0.9900990099009901,63.86138613861386,74.4186046511628,54.794520547945204,71.42857142857143,71.42857142857143,100.0,67.32673267326733,202.0,9.0,7.0
australian open,R16,2023,30.0,94.0,12.0,59.0,23.0,5.0,6.0,7.0,4.666666666666667,3.3333333333333335,62.66666666666667,62.76595744680851,53.57142857142857,50.0,50.0,100.0,59.333333333333336,150.0,4.0,3.0
australian open,R16,2024,78.0,192.0,29.0,126.0,49.0,12.0,18.0,12.0,3.519061583577713,3.519061583577713,56.30498533724341,65.625,52.348993288590606,62.06896551724138,62.06896551724138,100.0,59.82404692082112,341.0,6.0,6.0
australian open,R32,2019,24.0,119.0,17.0,87.0,25.0,8.0,12.0,9.0,4.972375690607735,4.41988950276243,65.74585635359117,73.10924369747899,38.70967741935484,70.58823529411765,70.58823529411765,100.0,61.32596685082873,181.0,6.0,3.0
australian open,R32,2021,45.0,90.0,11.0,62.0,29.0,6.0,4.0,7.0,4.046242774566474,3.4682080924855487,52.02312138728323,68.88888888888889,54.21686746987952,36.36363636363637,36.36363636363637,100.0,61.849710982658955,173.0,3.0,4.0
australian open,R32,2022,25.0,120.0,14.0,82.0,28.0,5.0,8.0,9.0,5.357142857142857,2.976190476190476,71.42857142857143,68.33333333333333,52.083333333333336,57.14285714285714,57.14285714285714,100.0,63.69047619047619,168.0,8.0,1.0
australian open,R32,2023,37.0,109.0,28.0,68.0,27.0,6.0,18.0,14.0,7.567567567567568,3.2432432432432434,58.91891891891892,62.38532110091744,48.68421052631579,64.28571428571429,64.28571428571429,100.0,56.75675675675676,185.0,8.0,6.0
australian open,R32,2024,43.0,100.0,28.0,66.0,25.0,2.0,21.0,8.0,4.3478260869565215,1.0869565217391304,54.347826086956516,66.0,51.19047619047619,75.0,75.0,100.0,59.2391304347826,184.0,4.0,4.0
australian open,R64,2017,29.0,114.0,16.0,87.0,25.0,13.0,11.0,10.0,5.291005291005291,6.878306878306878,60.317460317460316,76.31578947368422,38.666666666666664,68.75,68.75,100.0,61.37566137566137,189.0,9.0,1.0
australian open,R64,2019,67.0,202.0,23.0,134.0,49.0,8.0,12.0,11.0,3.343465045592705,2.43161094224924,61.39817629179332,66.33663366336634,52.75590551181102,52.17391304347826,52.17391304347826,100.0,61.09422492401215,329.0,5.0,6.0
australian open,R64,2021,30.0,119.0,17.0,89.0,30.0,2.0,11.0,10.0,5.347593582887701,1.06951871657754,63.63636363636363,74.78991596638656,44.11764705882353,64.70588235294117,64.70588235294117,100.0,63.63636363636363,187.0,1.0,9.0
australian open,R64,2022,28.0,105.0,9.0,79.0,28.0,3.0,5.0,14.0,8.974358974358974,1.9230769230769231,67.3076923076923,75.23809523809524,54.90196078431373,55.55555555555556,55.55555555555556,100.0,68.58974358974359,156.0,11.0,3.0
australian open,R64,2023,49.0,151.0,15.0,100.0,39.0,8.0,5.0,5.0,2.0408163265306123,3.2653061224489797,61.63265306122449,66.22516556291392,52.12765957446809,33.33333333333333,33.33333333333333,100.0,60.816326530612244,245.0,3.0,2.0
australian open,R64,2024,32.0,89.0,20.0,61.0,24.0,5.0,12.0,8.0,4.878048780487805,3.048780487804878,54.268292682926834,68.53932584269663,42.66666666666667,60.0,60.0,100.0,56.70731707317073,164.0,4.0,4.0
