tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2020,32.0,133.0,19.0,97.0,34.0,6.0,11.0,17.0,8.585858585858585,3.0303030303030303,67.17171717171718,72.93233082706767,49.23076923076923,57.89473684210527,57.89473684210527,100.0,65.15151515151516,198.0,13.0,4.0
australian open,QF,2021,41.0,200.0,21.0,146.0,42.0,10.0,12.0,44.0,15.277777777777779,3.4722222222222223,69.44444444444444,73.0,46.590909090909086,57.14285714285714,57.14285714285714,100.0,64.93055555555556,288.0,23.0,21.0
australian open,QF,2024,24.0,173.0,15.0,122.0,38.0,3.0,6.0,13.0,5.701754385964912,1.3157894736842104,75.87719298245614,70.52023121387283,43.63636363636363,40.0,40.0,100.0,64.03508771929825,228.0,7.0,6.0
australian open,R128,2016,30.0,101.0,19.0,72.0,24.0,9.0,13.0,8.0,4.790419161676647,5.389221556886228,60.47904191616767,71.28712871287128,45.45454545454545,68.42105263157895,68.42105263157895,100.0,61.07784431137725,167.0,3.0,5.0
australian open,R128,2017,48.0,173.0,30.0,129.0,46.0,21.0,19.0,30.0,10.56338028169014,7.394366197183098,60.91549295774647,74.56647398843931,43.24324324324324,63.33333333333333,63.33333333333333,100.0,62.323943661971825,284.0,17.0,13.0
australian open,R128,2018,41.0,127.0,24.0,89.0,31.0,11.0,17.0,22.0,10.091743119266056,5.045871559633028,58.256880733944946,70.07874015748031,45.05494505494506,70.83333333333334,70.83333333333334,100.0,59.63302752293578,218.0,17.0,5.0
australian open,R128,2019,22.0,97.0,11.0,72.0,27.0,8.0,3.0,18.0,11.180124223602485,4.968944099378882,60.24844720496895,74.22680412371135,34.375,27.27272727272727,27.27272727272727,100.0,58.38509316770186,161.0,11.0,7.0
australian open,R128,2020,28.0,165.0,23.0,110.0,31.0,5.0,15.0,11.0,4.910714285714286,2.232142857142857,73.66071428571429,66.66666666666666,47.45762711864407,65.21739130434783,65.21739130434783,100.0,61.60714285714286,224.0,8.0,3.0
australian open,R128,2021,42.0,158.0,19.0,130.0,41.0,12.0,11.0,22.0,8.835341365461847,4.819277108433735,63.45381526104418,82.27848101265823,46.15384615384615,57.89473684210527,57.89473684210527,100.0,69.07630522088354,249.0,16.0,6.0
australian open,R128,2022,32.0,138.0,19.0,105.0,31.0,9.0,14.0,15.0,6.8807339449541285,4.128440366972478,63.30275229357798,76.08695652173914,40.0,73.68421052631578,73.68421052631578,100.0,62.84403669724771,218.0,14.0,1.0
