tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2023,59.0,171.0,19.0,137.0,43.0,9.0,14.0,31.0,11.11111111111111,3.225806451612903,61.29032258064516,80.11695906432749,54.629629629629626,73.68421052631578,73.68421052631578,100.0,70.25089605734766,279.0,7.0,24.0
australian open,R128,2023,62.0,175.0,14.0,138.0,47.0,10.0,8.0,30.0,10.273972602739725,3.4246575342465753,59.93150684931506,78.85714285714286,52.991452991452995,57.14285714285714,57.14285714285714,100.0,68.4931506849315,292.0,18.0,12.0
australian open,R128,2024,26.0,157.0,17.0,105.0,32.0,4.0,10.0,15.0,6.912442396313365,1.8433179723502304,72.35023041474655,66.87898089171973,43.333333333333336,58.82352941176471,58.82352941176471,100.0,60.36866359447005,217.0,14.0,1.0
australian open,R16,2023,65.0,212.0,11.0,172.0,52.0,3.0,7.0,42.0,13.125,0.9375,66.25,81.13207547169812,60.18518518518518,63.63636363636363,63.63636363636363,100.0,74.0625,320.0,23.0,19.0
australian open,R32,2023,32.0,130.0,12.0,103.0,31.0,4.0,10.0,26.0,14.130434782608695,2.1739130434782608,70.65217391304348,79.23076923076923,59.25925925925925,83.33333333333334,83.33333333333334,100.0,73.36956521739131,184.0,12.0,14.0
australian open,R32,2024,60.0,249.0,38.0,162.0,50.0,13.0,25.0,27.0,7.377049180327869,3.551912568306011,68.0327868852459,65.06024096385542,51.28205128205128,65.78947368421053,65.78947368421053,100.0,60.65573770491803,366.0,9.0,18.0
australian open,R64,2023,51.0,132.0,8.0,106.0,36.0,9.0,5.0,18.0,8.530805687203792,4.265402843601896,62.55924170616114,80.3030303030303,64.55696202531645,62.5,62.5,100.0,74.40758293838863,211.0,8.0,10.0
australian open,R64,2024,41.0,155.0,16.0,119.0,38.0,5.0,10.0,26.0,10.526315789473683,2.0242914979757085,62.75303643724697,76.77419354838709,44.565217391304344,62.5,62.5,100.0,64.77732793522267,247.0,17.0,9.0
roland garros,R128,2023,39.0,131.0,20.0,91.0,37.0,13.0,9.0,7.0,3.255813953488372,6.046511627906977,60.93023255813953,69.46564885496184,46.42857142857143,45.0,45.0,100.0,60.46511627906976,215.0,4.0,3.0
roland garros,R128,2024,42.0,151.0,23.0,101.0,37.0,6.0,13.0,10.0,4.3478260869565215,2.608695652173913,65.65217391304347,66.88741721854305,53.16455696202531,56.52173913043478,56.52173913043478,100.0,62.17391304347826,230.0,8.0,2.0
roland garros,R32,2024,28.0,105.0,11.0,69.0,25.0,10.0,5.0,5.0,3.1055900621118013,6.211180124223603,65.21739130434783,65.71428571428571,50.0,45.45454545454545,45.45454545454545,100.0,60.24844720496895,161.0,2.0,3.0
roland garros,R64,2024,24.0,112.0,9.0,80.0,22.0,8.0,6.0,9.0,5.590062111801243,4.968944099378882,69.56521739130434,71.42857142857143,48.97959183673469,66.66666666666666,66.66666666666666,100.0,64.59627329192547,161.0,9.0,0.0
us open,QF,2023,49.0,132.0,21.0,92.0,38.0,15.0,10.0,21.0,9.130434782608695,6.521739130434782,57.391304347826086,69.6969696969697,50.0,47.61904761904761,47.61904761904761,100.0,61.30434782608696,230.0,14.0,7.0
us open,R128,2022,70.0,235.0,10.0,178.0,57.0,11.0,6.0,28.0,7.629427792915531,2.997275204359673,64.03269754768392,75.74468085106383,53.03030303030303,60.0,60.0,100.0,67.57493188010899,367.0,6.0,22.0
us open,R128,2023,35.0,122.0,6.0,87.0,34.0,10.0,0.0,18.0,9.67741935483871,5.376344086021505,65.59139784946237,71.31147540983606,54.6875,0.0,0.0,100.0,65.59139784946237,186.0,13.0,5.0
us open,R128,2024,34.0,88.0,12.0,70.0,26.0,9.0,7.0,10.0,6.493506493506493,5.844155844155844,57.14285714285714,79.54545454545455,51.515151515151516,58.333333333333336,58.333333333333336,100.0,67.53246753246754,154.0,8.0,2.0
us open,R16,2023,38.0,147.0,22.0,111.0,39.0,17.0,13.0,22.0,9.523809523809524,7.35930735930736,63.63636363636363,75.51020408163265,45.23809523809524,59.09090909090909,59.09090909090909,100.0,64.5021645021645,231.0,16.0,6.0
us open,R32,2023,37.0,112.0,12.0,90.0,33.0,19.0,5.0,28.0,14.659685863874344,9.947643979057592,58.63874345549738,80.35714285714286,46.835443037974684,41.66666666666667,41.66666666666667,100.0,66.49214659685863,191.0,26.0,2.0
us open,R32,2024,69.0,205.0,28.0,150.0,53.0,9.0,20.0,28.0,8.459214501510575,2.719033232628399,61.933534743202415,73.17073170731707,54.761904761904766,71.42857142857143,71.42857142857143,100.0,66.16314199395771,331.0,5.0,23.0
us open,R64,2023,15.0,60.0,7.0,42.0,14.0,4.0,5.0,9.0,10.227272727272728,4.545454545454546,68.18181818181817,70.0,53.57142857142857,71.42857142857143,71.42857142857143,100.0,64.77272727272727,88.0,7.0,2.0
