tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2024,24.0,173.0,15.0,122.0,38.0,3.0,6.0,13.0,5.701754385964912,1.3157894736842104,75.87719298245614,70.52023121387283,43.63636363636363,40.0,40.0,100.0,64.03508771929825,228.0,7.0,6.0
australian open,R128,2021,39.0,97.0,16.0,72.0,27.0,7.0,10.0,6.0,3.4482758620689653,4.022988505747127,55.74712643678161,74.22680412371135,50.649350649350644,62.5,62.5,100.0,63.793103448275865,174.0,2.0,4.0
australian open,R128,2022,31.0,108.0,17.0,68.0,25.0,6.0,9.0,14.0,8.187134502923977,3.508771929824561,63.1578947368421,62.96296296296296,49.2063492063492,52.94117647058824,52.94117647058824,100.0,57.89473684210527,171.0,12.0,2.0
australian open,R128,2024,32.0,148.0,18.0,96.0,27.0,6.0,14.0,12.0,5.687203791469194,2.843601895734597,70.14218009478674,64.86486486486487,50.79365079365079,77.77777777777779,77.77777777777779,100.0,60.66350710900474,211.0,9.0,3.0
australian open,R16,2024,29.0,101.0,9.0,71.0,26.0,1.0,4.0,8.0,5.228758169934641,0.6535947712418301,66.01307189542483,70.29702970297029,55.769230769230774,44.44444444444444,44.44444444444444,100.0,65.359477124183,153.0,5.0,3.0
australian open,R32,2022,57.0,211.0,21.0,161.0,50.0,10.0,14.0,22.0,6.918238993710692,3.1446540880503147,66.35220125786164,76.30331753554502,53.271028037383175,66.66666666666666,66.66666666666666,100.0,68.55345911949685,318.0,10.0,12.0
australian open,R32,2024,20.0,45.0,12.0,29.0,15.0,2.0,6.0,3.0,3.571428571428571,2.380952380952381,53.57142857142857,64.44444444444444,51.28205128205128,50.0,50.0,100.0,58.333333333333336,84.0,3.0,0.0
australian open,R64,2021,41.0,171.0,33.0,108.0,40.0,13.0,17.0,9.0,3.3962264150943398,4.905660377358491,64.52830188679245,63.1578947368421,43.61702127659575,51.515151515151516,51.515151515151516,100.0,56.22641509433962,265.0,2.0,7.0
australian open,R64,2022,23.0,125.0,12.0,81.0,27.0,5.0,5.0,3.0,1.7543859649122806,2.923976608187134,73.09941520467837,64.8,50.0,41.66666666666667,41.66666666666667,100.0,60.81871345029239,171.0,3.0,0.0
australian open,R64,2024,55.0,192.0,10.0,136.0,43.0,6.0,6.0,22.0,8.088235294117647,2.2058823529411766,70.58823529411765,70.83333333333334,68.75,60.0,60.0,100.0,70.22058823529412,272.0,12.0,10.0
roland garros,F,2024,43.0,193.0,39.0,123.0,44.0,12.0,24.0,11.0,3.767123287671233,4.10958904109589,66.0958904109589,63.730569948186535,43.43434343434344,61.53846153846154,61.53846153846154,100.0,56.849315068493155,292.0,3.0,8.0
roland garros,QF,2022,46.0,176.0,14.0,128.0,42.0,9.0,9.0,9.0,3.4220532319391634,3.4220532319391634,66.92015209125475,72.72727272727273,52.87356321839081,64.28571428571429,64.28571428571429,100.0,66.15969581749049,263.0,7.0,2.0
roland garros,QF,2023,27.0,114.0,14.0,80.0,27.0,6.0,7.0,11.0,6.470588235294119,3.5294117647058822,67.05882352941175,70.17543859649122,48.214285714285715,50.0,50.0,100.0,62.94117647058823,170.0,6.0,5.0
roland garros,QF,2024,37.0,121.0,8.0,84.0,31.0,5.0,3.0,5.0,2.7472527472527473,2.7472527472527473,66.48351648351648,69.42148760330579,60.65573770491803,37.5,37.5,100.0,66.48351648351648,182.0,3.0,2.0
roland garros,R128,2021,47.0,161.0,27.0,96.0,36.0,8.0,13.0,5.0,1.9607843137254901,3.1372549019607843,63.13725490196078,59.62732919254658,50.0,48.148148148148145,48.148148148148145,100.0,56.07843137254902,255.0,2.0,3.0
roland garros,R128,2022,26.0,98.0,12.0,68.0,24.0,4.0,6.0,4.0,2.631578947368421,2.631578947368421,64.47368421052632,69.38775510204081,48.148148148148145,50.0,50.0,100.0,61.8421052631579,152.0,2.0,2.0
roland garros,R128,2023,35.0,105.0,22.0,59.0,26.0,6.0,14.0,4.0,2.5,3.75,65.625,56.19047619047619,63.63636363636363,63.63636363636363,63.63636363636363,100.0,58.75,160.0,3.0,1.0
roland garros,R128,2024,21.0,86.0,22.0,50.0,22.0,2.0,11.0,5.0,3.7037037037037033,1.4814814814814816,63.70370370370371,58.139534883720934,42.857142857142854,50.0,50.0,100.0,52.59259259259259,135.0,5.0,0.0
roland garros,R16,2022,43.0,106.0,16.0,71.0,27.0,4.0,10.0,6.0,3.260869565217391,2.1739130434782608,57.608695652173914,66.98113207547169,55.12820512820513,62.5,62.5,100.0,61.95652173913043,184.0,3.0,3.0
roland garros,R16,2023,26.0,108.0,21.0,69.0,25.0,7.0,12.0,8.0,4.848484848484849,4.242424242424243,65.45454545454545,63.888888888888886,45.614035087719294,57.14285714285714,57.14285714285714,100.0,57.57575757575758,165.0,6.0,2.0
roland garros,R16,2024,28.0,101.0,21.0,69.0,25.0,7.0,14.0,1.0,0.6134969325153374,4.294478527607362,61.963190184049076,68.31683168316832,45.16129032258064,66.66666666666666,66.66666666666666,100.0,59.50920245398773,163.0,1.0,0.0
roland garros,R32,2021,51.0,101.0,19.0,66.0,30.0,4.0,10.0,13.0,6.701030927835052,2.0618556701030926,52.0618556701031,65.34653465346535,54.83870967741935,52.63157894736842,52.63157894736842,100.0,60.30927835051546,194.0,10.0,3.0
