tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2022,42.0,175.0,26.0,125.0,45.0,18.0,13.0,27.0,9.642857142857144,6.428571428571428,62.5,71.42857142857143,40.0,50.0,50.0,100.0,59.64285714285714,280.0,15.0,12.0
australian open,R128,2023,24.0,118.0,21.0,80.0,27.0,7.0,12.0,15.0,8.47457627118644,3.954802259887006,66.66666666666666,67.79661016949152,40.67796610169492,57.14285714285714,57.14285714285714,100.0,58.75706214689266,177.0,11.0,4.0
australian open,R128,2024,55.0,169.0,18.0,123.0,40.0,9.0,14.0,21.0,7.777777777777778,3.3333333333333335,62.59259259259259,72.7810650887574,54.45544554455446,77.77777777777779,77.77777777777779,100.0,65.92592592592592,270.0,17.0,4.0
australian open,R16,2023,64.0,197.0,30.0,140.0,49.0,16.0,20.0,30.0,9.202453987730062,4.9079754601226995,60.42944785276073,71.06598984771574,49.6124031007752,66.66666666666666,66.66666666666666,100.0,62.57668711656442,326.0,22.0,8.0
australian open,R32,2023,31.0,121.0,10.0,90.0,30.0,4.0,5.0,14.0,7.6923076923076925,2.197802197802198,66.48351648351648,74.3801652892562,50.81967213114754,50.0,50.0,100.0,66.48351648351648,182.0,5.0,9.0
australian open,R64,2023,32.0,108.0,9.0,89.0,32.0,19.0,4.0,20.0,11.363636363636363,10.795454545454545,61.36363636363637,82.4074074074074,47.05882352941176,44.44444444444444,44.44444444444444,100.0,68.75,176.0,10.0,10.0
australian open,R64,2024,60.0,150.0,12.0,116.0,41.0,6.0,8.0,24.0,9.411764705882353,2.3529411764705883,58.82352941176471,77.33333333333333,57.14285714285714,66.66666666666666,66.66666666666666,100.0,69.01960784313725,255.0,18.0,6.0
roland garros,QF,2022,43.0,161.0,23.0,120.0,38.0,8.0,15.0,14.0,5.363984674329502,3.065134099616858,61.68582375478927,74.53416149068323,43.0,65.21739130434783,65.21739130434783,100.0,62.45210727969349,261.0,13.0,1.0
roland garros,QF,2023,49.0,130.0,20.0,89.0,33.0,14.0,14.0,6.0,2.690582959641256,6.278026905829597,58.29596412556054,68.46153846153847,52.68817204301075,70.0,70.0,100.0,61.88340807174888,223.0,5.0,1.0
roland garros,R128,2022,30.0,117.0,12.0,80.0,28.0,6.0,6.0,6.0,3.6363636363636362,3.6363636363636362,70.9090909090909,68.37606837606837,62.5,50.0,50.0,100.0,66.66666666666666,165.0,0.0,6.0
roland garros,R128,2023,33.0,162.0,13.0,118.0,39.0,15.0,5.0,17.0,7.083333333333333,6.25,67.5,72.8395061728395,42.30769230769231,38.46153846153847,38.46153846153847,100.0,62.916666666666664,240.0,2.0,15.0
