tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,R128,2023,48.0,145.0,23.0,99.0,37.0,6.0,13.0,19.0,8.11965811965812,2.564102564102564,61.965811965811966,68.27586206896552,53.93258426966292,56.52173913043478,56.52173913043478,100.0,62.82051282051282,234.0,6.0,13.0
australian open,R128,2024,50.0,150.0,27.0,101.0,43.0,9.0,13.0,30.0,11.494252873563218,3.4482758620689653,57.47126436781609,67.33333333333333,45.04504504504504,48.148148148148145,48.148148148148145,100.0,57.8544061302682,261.0,17.0,13.0
australian open,R64,2024,53.0,136.0,24.0,96.0,38.0,6.0,15.0,13.0,5.627705627705628,2.5974025974025974,58.87445887445888,70.58823529411765,55.78947368421052,62.5,62.5,100.0,64.5021645021645,231.0,9.0,4.0
roland garros,R128,2023,11.0,60.0,12.0,38.0,11.0,2.0,9.0,1.0,1.1363636363636365,2.272727272727273,68.18181818181817,63.33333333333333,39.285714285714285,75.0,75.0,100.0,55.68181818181818,88.0,0.0,1.0
roland garros,R128,2024,78.0,152.0,21.0,108.0,51.0,15.0,5.0,18.0,5.9405940594059405,4.9504950495049505,50.165016501650165,71.05263157894737,51.65562913907284,23.809523809523807,23.809523809523807,100.0,61.386138613861384,303.0,11.0,7.0
us open,QF,2024,35.0,98.0,27.0,74.0,29.0,6.0,19.0,18.0,9.94475138121547,3.314917127071823,54.14364640883977,75.51020408163265,42.168674698795186,70.37037037037037,70.37037037037037,100.0,60.22099447513812,181.0,11.0,7.0
us open,R128,2022,33.0,86.0,9.0,67.0,28.0,7.0,3.0,15.0,9.933774834437086,4.635761589403973,56.95364238410596,77.90697674418605,50.76923076923077,33.33333333333333,33.33333333333333,100.0,66.22516556291392,151.0,10.0,5.0
us open,R128,2023,37.0,98.0,14.0,69.0,26.0,6.0,9.0,10.0,6.097560975609756,3.6585365853658534,59.756097560975604,70.40816326530613,56.060606060606055,64.28571428571429,64.28571428571429,100.0,64.63414634146342,164.0,9.0,1.0
us open,R128,2024,21.0,66.0,11.0,40.0,19.0,2.0,4.0,6.0,5.714285714285714,1.9047619047619049,62.857142857142854,60.60606060606061,53.84615384615385,36.36363636363637,36.36363636363637,100.0,58.0952380952381,105.0,5.0,1.0
us open,R16,2023,41.0,136.0,21.0,110.0,37.0,7.0,15.0,32.0,14.285714285714285,3.125,60.71428571428571,80.88235294117648,46.590909090909086,71.42857142857143,71.42857142857143,100.0,67.41071428571429,224.0,14.0,18.0
