tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,F,2024,50.0,183.0,21.0,137.0,47.0,8.0,13.0,25.0,8.8339222614841,2.8268551236749118,64.66431095406361,74.86338797814209,50.0,61.904761904761905,61.904761904761905,100.0,66.07773851590106,283.0,14.0,11.0
australian open,QF,2022,28.0,95.0,4.0,72.0,27.0,3.0,0.0,8.0,5.555555555555555,2.083333333333333,65.97222222222221,75.78947368421053,57.14285714285714,0.0,0.0,100.0,69.44444444444444,144.0,4.0,4.0
australian open,QF,2024,33.0,146.0,15.0,111.0,31.0,5.0,13.0,20.0,9.174311926605505,2.293577981651376,66.97247706422019,76.02739726027397,45.83333333333333,86.66666666666667,86.66666666666667,100.0,66.05504587155964,218.0,10.0,10.0
australian open,R128,2020,37.0,124.0,15.0,84.0,30.0,4.0,8.0,5.0,2.5380710659898478,2.030456852791878,62.944162436548226,67.74193548387096,50.68493150684932,53.333333333333336,53.333333333333336,100.0,61.42131979695431,197.0,2.0,3.0
australian open,R128,2021,52.0,201.0,30.0,142.0,46.0,13.0,22.0,16.0,5.298013245033113,4.304635761589404,66.55629139072848,70.64676616915423,51.48514851485149,73.33333333333333,73.33333333333333,100.0,64.23841059602648,302.0,12.0,4.0
australian open,R128,2022,34.0,114.0,13.0,73.0,29.0,5.0,5.0,4.0,2.2222222222222223,2.7777777777777777,63.33333333333333,64.03508771929825,51.515151515151516,38.46153846153847,38.46153846153847,100.0,59.44444444444444,180.0,3.0,1.0
australian open,R128,2023,25.0,99.0,16.0,68.0,24.0,4.0,8.0,8.0,4.9079754601226995,2.4539877300613497,60.73619631901841,68.68686868686868,39.0625,50.0,50.0,100.0,57.05521472392638,163.0,6.0,2.0
australian open,R128,2024,39.0,120.0,21.0,80.0,31.0,4.0,15.0,15.0,7.6923076923076925,2.051282051282051,61.53846153846154,66.66666666666666,52.0,71.42857142857143,71.42857142857143,100.0,61.02564102564103,195.0,7.0,8.0
australian open,R16,2022,40.0,129.0,14.0,96.0,31.0,2.0,10.0,16.0,7.920792079207921,0.9900990099009901,63.86138613861386,74.4186046511628,54.794520547945204,71.42857142857143,71.42857142857143,100.0,67.32673267326733,202.0,9.0,7.0
australian open,R16,2023,49.0,213.0,37.0,147.0,48.0,6.0,28.0,23.0,7.540983606557377,1.9672131147540985,69.83606557377048,69.01408450704226,53.2608695652174,75.67567567567568,75.67567567567568,100.0,64.26229508196721,305.0,12.0,11.0
australian open,R16,2024,40.0,113.0,18.0,81.0,31.0,3.0,12.0,15.0,7.9787234042553195,1.5957446808510638,60.1063829787234,71.68141592920354,53.333333333333336,66.66666666666666,66.66666666666666,100.0,64.36170212765957,188.0,8.0,7.0
australian open,R32,2022,26.0,131.0,23.0,93.0,33.0,10.0,12.0,21.0,10.344827586206897,4.926108374384237,64.5320197044335,70.99236641221374,36.11111111111111,52.17391304347826,52.17391304347826,100.0,58.620689655172406,203.0,10.0,11.0
australian open,R32,2023,39.0,165.0,26.0,102.0,41.0,9.0,11.0,9.0,3.557312252964427,3.557312252964427,65.21739130434783,61.81818181818181,44.31818181818182,42.30769230769231,42.30769230769231,100.0,55.73122529644269,253.0,6.0,3.0
australian open,R32,2024,18.0,99.0,16.0,64.0,22.0,0.0,9.0,8.0,5.555555555555555,0.0,68.75,64.64646464646465,40.0,56.25,56.25,100.0,56.94444444444444,144.0,6.0,2.0
australian open,R64,2020,33.0,110.0,16.0,74.0,29.0,7.0,6.0,6.0,3.1746031746031744,3.7037037037037033,58.201058201058196,67.27272727272727,41.77215189873418,37.5,37.5,100.0,56.613756613756614,189.0,6.0,0.0
australian open,R64,2022,33.0,92.0,9.0,70.0,27.0,3.0,4.0,16.0,10.32258064516129,1.935483870967742,59.354838709677416,76.08695652173914,52.38095238095239,44.44444444444444,44.44444444444444,100.0,66.45161290322581,155.0,11.0,5.0
australian open,R64,2023,27.0,82.0,5.0,61.0,25.0,4.0,0.0,12.0,9.022556390977442,3.007518796992481,61.65413533834586,74.39024390243902,52.94117647058824,0.0,0.0,100.0,66.16541353383458,133.0,6.0,6.0
