tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,F,2008,52.0,165.0,17.0,122.0,41.0,4.0,11.0,26.0,10.077519379844961,1.550387596899225,63.95348837209303,73.93939393939394,55.91397849462365,64.70588235294117,64.70588235294117,100.0,67.44186046511628,258.0,11.0,15.0
australian open,F,2011,31.0,107.0,22.0,72.0,27.0,4.0,12.0,11.0,5.978260869565218,2.1739130434782608,58.152173913043484,67.28971962616822,40.25974025974026,54.54545454545454,54.54545454545454,100.0,55.97826086956522,184.0,5.0,6.0
australian open,F,2012,75.0,233.0,26.0,155.0,54.0,6.0,15.0,19.0,5.149051490514905,1.6260162601626018,63.143631436314365,66.52360515021459,55.14705882352941,57.692307692307686,57.692307692307686,100.0,62.33062330623306,369.0,9.0,10.0
australian open,F,2013,57.0,165.0,15.0,127.0,41.0,7.0,12.0,15.0,5.660377358490567,2.6415094339622645,62.264150943396224,76.96969696969697,56.99999999999999,80.0,80.0,100.0,69.43396226415094,265.0,8.0,7.0
australian open,F,2015,48.0,158.0,28.0,98.0,39.0,4.0,14.0,19.0,7.480314960629922,1.574803149606299,62.20472440944882,62.0253164556962,50.0,50.0,50.0,100.0,57.48031496062992,254.0,9.0,10.0
australian open,F,2016,34.0,144.0,18.0,102.0,32.0,8.0,11.0,19.0,8.558558558558559,3.6036036036036037,64.86486486486487,70.83333333333334,43.58974358974359,61.111111111111114,61.111111111111114,100.0,61.261261261261254,222.0,7.0,12.0
australian open,F,2019,32.0,97.0,9.0,64.0,26.0,2.0,4.0,11.0,7.746478873239436,1.4084507042253522,68.30985915492957,65.97938144329896,71.11111111111111,44.44444444444444,44.44444444444444,100.0,67.6056338028169,142.0,8.0,3.0
australian open,F,2020,52.0,195.0,24.0,141.0,47.0,10.0,14.0,22.0,7.236842105263158,3.289473684210526,64.14473684210526,72.3076923076923,47.706422018348626,58.333333333333336,58.333333333333336,100.0,63.48684210526315,304.0,9.0,13.0
australian open,F,2021,24.0,101.0,15.0,72.0,28.0,6.0,6.0,9.0,5.806451612903226,3.870967741935484,65.16129032258064,71.28712871287128,44.44444444444444,40.0,40.0,100.0,61.935483870967744,155.0,3.0,6.0
australian open,F,2023,40.0,135.0,8.0,104.0,33.0,6.0,5.0,22.0,10.679611650485436,2.912621359223301,65.53398058252428,77.03703703703704,56.33802816901409,62.5,62.5,100.0,69.90291262135922,206.0,7.0,15.0
australian open,QF,2008,35.0,110.0,23.0,73.0,27.0,7.0,16.0,11.0,5.978260869565218,3.804347826086957,59.78260869565217,66.36363636363637,47.2972972972973,69.56521739130434,69.56521739130434,100.0,58.69565217391305,184.0,7.0,4.0
australian open,QF,2009,31.0,134.0,13.0,100.0,33.0,10.0,7.0,24.0,11.881188118811881,4.9504950495049505,66.33663366336634,74.6268656716418,45.588235294117645,53.84615384615385,53.84615384615385,100.0,64.85148514851485,202.0,16.0,8.0
australian open,QF,2010,50.0,209.0,27.0,141.0,47.0,11.0,14.0,21.0,6.7092651757188495,3.5143769968051117,66.77316293929712,67.46411483253588,48.07692307692308,51.85185185185185,51.85185185185185,100.0,61.0223642172524,313.0,19.0,2.0
australian open,QF,2011,27.0,114.0,12.0,88.0,26.0,6.0,6.0,16.0,8.55614973262032,3.2085561497326207,60.962566844919785,77.19298245614034,36.986301369863014,50.0,50.0,100.0,61.49732620320856,187.0,10.0,6.0
australian open,QF,2012,46.0,111.0,16.0,73.0,29.0,1.0,9.0,5.0,2.6455026455026456,0.5291005291005291,58.730158730158735,65.76576576576578,58.97435897435898,56.25,56.25,100.0,62.96296296296296,189.0,3.0,2.0
australian open,QF,2013,38.0,129.0,18.0,93.0,34.0,7.0,11.0,18.0,8.823529411764707,3.431372549019608,63.23529411764706,72.09302325581395,50.66666666666667,61.111111111111114,61.111111111111114,100.0,64.2156862745098,204.0,10.0,8.0
australian open,QF,2014,59.0,203.0,17.0,146.0,51.0,6.0,8.0,24.0,7.643312101910828,1.910828025477707,64.64968152866241,71.92118226600985,53.153153153153156,47.05882352941176,47.05882352941176,100.0,65.28662420382165,314.0,17.0,7.0
australian open,QF,2015,35.0,121.0,11.0,96.0,30.0,4.0,8.0,25.0,14.124293785310735,2.2598870056497176,68.36158192090396,79.33884297520662,62.5,72.72727272727273,72.72727272727273,100.0,74.01129943502825,177.0,8.0,17.0
australian open,QF,2016,39.0,100.0,19.0,62.0,27.0,6.0,11.0,15.0,8.670520231213873,3.4682080924855487,57.80346820809249,62.0,53.42465753424658,57.89473684210527,57.89473684210527,100.0,58.38150289017341,173.0,6.0,9.0
australian open,QF,2019,13.0,53.0,4.0,33.0,12.0,4.0,0.0,2.0,2.631578947368421,5.263157894736842,69.73684210526315,62.264150943396224,56.52173913043478,0.0,0.0,100.0,60.526315789473685,76.0,2.0,0.0
australian open,QF,2020,35.0,151.0,18.0,118.0,31.0,7.0,16.0,22.0,9.606986899563319,3.056768558951965,65.93886462882097,78.1456953642384,44.871794871794876,88.88888888888889,88.88888888888889,100.0,66.8122270742358,229.0,4.0,18.0
australian open,QF,2021,41.0,200.0,21.0,146.0,42.0,10.0,12.0,44.0,15.277777777777779,3.4722222222222223,69.44444444444444,73.0,46.590909090909086,57.14285714285714,57.14285714285714,100.0,64.93055555555556,288.0,23.0,21.0
australian open,QF,2023,25.0,120.0,19.0,84.0,25.0,8.0,14.0,20.0,11.11111111111111,4.444444444444445,66.66666666666666,70.0,41.66666666666667,73.68421052631578,73.68421052631578,100.0,60.55555555555555,180.0,14.0,6.0
australian open,QF,2024,56.0,162.0,27.0,118.0,39.0,5.0,21.0,36.0,13.382899628252787,1.858736059479554,60.223048327137555,72.8395061728395,52.336448598130836,77.77777777777779,77.77777777777779,100.0,64.68401486988847,269.0,20.0,16.0
australian open,R128,2005,18.0,66.0,14.0,41.0,21.0,6.0,4.0,2.0,1.7094017094017095,5.128205128205128,56.41025641025641,62.121212121212125,35.294117647058826,28.57142857142857,28.57142857142857,100.0,50.427350427350426,117.0,1.0,1.0
australian open,R128,2006,38.0,143.0,32.0,95.0,32.0,16.0,23.0,8.0,3.4782608695652173,6.956521739130435,62.17391304347826,66.43356643356644,43.67816091954023,71.875,71.875,100.0,57.826086956521735,230.0,2.0,6.0
australian open,R128,2007,23.0,77.0,18.0,50.0,20.0,5.0,10.0,6.0,4.6875,3.90625,60.15625,64.93506493506493,45.09803921568628,55.55555555555556,55.55555555555556,100.0,57.03125,128.0,5.0,1.0
australian open,R128,2008,32.0,88.0,9.0,64.0,26.0,6.0,2.0,13.0,8.074534161490684,3.7267080745341614,54.6583850931677,72.72727272727273,43.83561643835616,22.22222222222222,22.22222222222222,100.0,59.62732919254658,161.0,6.0,7.0
