tourney_name,round,year,total_2ndWon,total_1stIn,total_bpFaced,total_1stWon,total_SvGms,total_df,total_bpSaved,total_ace,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados,%puntos_ganados_con_servicio,total_svpt,w_ace,l_ace
australian open,QF,2024,56.0,162.0,27.0,118.0,39.0,5.0,21.0,36.0,13.382899628252787,1.858736059479554,60.223048327137555,72.8395061728395,52.336448598130836,77.77777777777779,77.77777777777779,100.0,64.68401486988847,269.0,20.0,16.0
australian open,R128,2016,58.0,138.0,18.0,104.0,44.0,12.0,11.0,35.0,14.522821576763487,4.979253112033195,57.26141078838174,75.36231884057972,56.310679611650485,61.111111111111114,61.111111111111114,100.0,67.21991701244814,241.0,16.0,19.0
australian open,R128,2017,40.0,140.0,7.0,111.0,33.0,8.0,6.0,42.0,19.90521327014218,3.7914691943127963,66.35071090047393,79.28571428571428,56.33802816901409,85.71428571428571,85.71428571428571,100.0,71.56398104265402,211.0,30.0,12.0
australian open,R128,2019,39.0,136.0,18.0,99.0,29.0,2.0,13.0,23.0,10.90047393364929,0.9478672985781991,64.45497630331754,72.79411764705883,52.0,72.22222222222221,72.22222222222221,100.0,65.40284360189574,211.0,15.0,8.0
australian open,R128,2020,25.0,103.0,10.0,84.0,27.0,3.0,6.0,21.0,13.291139240506327,1.89873417721519,65.18987341772153,81.55339805825243,45.45454545454545,60.0,60.0,100.0,68.9873417721519,158.0,17.0,4.0
australian open,R128,2021,58.0,175.0,24.0,120.0,41.0,8.0,17.0,17.0,5.964912280701754,2.807017543859649,61.40350877192983,68.57142857142857,52.72727272727272,70.83333333333334,70.83333333333334,100.0,62.4561403508772,285.0,11.0,6.0
australian open,R128,2022,39.0,103.0,11.0,80.0,29.0,2.0,5.0,20.0,11.428571428571429,1.1428571428571428,58.857142857142854,77.66990291262135,54.166666666666664,45.45454545454545,45.45454545454545,100.0,68.0,175.0,16.0,4.0
australian open,R128,2023,46.0,135.0,12.0,106.0,40.0,13.0,5.0,41.0,18.141592920353983,5.752212389380531,59.73451327433629,78.51851851851852,50.54945054945055,41.66666666666667,41.66666666666667,100.0,67.2566371681416,226.0,32.0,9.0
australian open,R128,2024,52.0,197.0,33.0,130.0,46.0,8.0,21.0,12.0,3.908794788273615,2.6058631921824107,64.16938110749186,65.98984771573603,47.27272727272727,63.63636363636363,63.63636363636363,100.0,59.28338762214984,307.0,8.0,4.0
australian open,R16,2022,54.0,191.0,20.0,151.0,49.0,5.0,15.0,32.0,10.847457627118644,1.694915254237288,64.7457627118644,79.05759162303664,51.92307692307693,75.0,75.0,100.0,69.49152542372882,295.0,19.0,13.0
australian open,R16,2024,40.0,165.0,15.0,133.0,42.0,9.0,9.0,25.0,10.040160642570282,3.614457831325301,66.26506024096386,80.60606060606061,47.61904761904761,60.0,60.0,100.0,69.47791164658635,249.0,13.0,12.0
australian open,R32,2019,37.0,88.0,9.0,68.0,28.0,3.0,4.0,18.0,12.162162162162163,2.027027027027027,59.45945945945946,77.27272727272727,61.66666666666667,44.44444444444444,44.44444444444444,100.0,70.94594594594594,148.0,10.0,8.0
australian open,R32,2020,41.0,175.0,16.0,129.0,40.0,9.0,10.0,32.0,12.5,3.515625,68.359375,73.71428571428571,50.617283950617285,62.5,62.5,100.0,66.40625,256.0,12.0,20.0
australian open,R32,2021,60.0,203.0,21.0,148.0,49.0,6.0,14.0,39.0,12.5,1.9230769230769231,65.06410256410257,72.9064039408867,55.04587155963303,66.66666666666666,66.66666666666666,100.0,66.66666666666666,312.0,15.0,24.0
australian open,R32,2022,44.0,160.0,32.0,102.0,43.0,12.0,15.0,29.0,10.943396226415095,4.528301886792453,60.37735849056604,63.74999999999999,41.904761904761905,46.875,46.875,100.0,55.094339622641506,265.0,19.0,10.0
australian open,R32,2024,48.0,153.0,26.0,99.0,35.0,12.0,18.0,26.0,10.78838174273859,4.979253112033195,63.48547717842323,64.70588235294117,54.54545454545454,69.23076923076923,69.23076923076923,100.0,60.99585062240664,241.0,19.0,7.0
australian open,R64,2019,61.0,235.0,28.0,170.0,45.0,8.0,24.0,37.0,10.72463768115942,2.318840579710145,68.11594202898551,72.3404255319149,55.45454545454545,85.71428571428571,85.71428571428571,100.0,66.95652173913044,345.0,15.0,22.0
australian open,R64,2020,57.0,194.0,17.0,151.0,50.0,11.0,10.0,41.0,13.712374581939798,3.678929765886288,64.88294314381271,77.83505154639175,54.285714285714285,58.82352941176471,58.82352941176471,100.0,69.56521739130434,299.0,20.0,21.0
australian open,R64,2021,74.0,244.0,29.0,184.0,54.0,14.0,24.0,61.0,15.885416666666666,3.6458333333333335,63.541666666666664,75.40983606557377,52.85714285714286,82.75862068965517,82.75862068965517,100.0,67.1875,384.0,18.0,43.0
australian open,R64,2022,49.0,139.0,22.0,96.0,31.0,9.0,16.0,27.0,11.440677966101696,3.8135593220338984,58.89830508474576,69.06474820143885,50.51546391752577,72.72727272727273,72.72727272727273,100.0,61.440677966101696,236.0,21.0,6.0
australian open,R64,2023,62.0,223.0,13.0,180.0,54.0,11.0,8.0,40.0,11.799410029498524,3.2448377581120944,65.78171091445427,80.71748878923766,53.44827586206896,61.53846153846154,61.53846153846154,100.0,71.38643067846607,339.0,19.0,21.0
