year,tournament,attendance_est,daily_avg_attendance,main_stadium_capacity,matches_played,attendance_per_match,event_capacity_total,utilization_rate,avg_age,sex_majority
2000,australian_open,444354,31739,14820,256,1735.76,840000,0.529,26.2,male
2000,roland_garros,365775,26126,15000,256,1428.81,532000,0.688,50.0,female
2000,wimbledon,460439,32888,15000,256,1798.59,588000,0.783,45.1,female
2000,us_open,605919,43279,23671,256,2366.87,1680000,0.361,20.4,female
2001,australian_open,454637,32474,14820,256,1775.93,840000,0.541,30.8,male
2001,roland_garros,350029,25002,15000,256,1367.3,532000,0.658,56.5,female
2001,wimbledon,432702,30907,15000,256,1690.24,588000,0.736,15.3,female
2001,us_open,637087,45506,23671,256,2488.62,1680000,0.379,30.1,male
2002,australian_open,496638,35474,14820,256,1939.99,840000,0.591,47.4,male
2002,roland_garros,382802,27343,15000,256,1495.32,532000,0.72,31.3,male
2002,wimbledon,433583,30970,15000,256,1693.68,588000,0.737,34.5,female
2002,us_open,658731,47052,23671,256,2573.17,1680000,0.392,33.1,female
2003,australian_open,529537,37824,14820,256,2068.51,840000,0.63,49.4,male
2003,roland_garros,376353,26882,15000,256,1470.13,532000,0.707,33.6,female
2003,wimbledon,443548,31682,15000,256,1732.61,588000,0.754,37.1,female
2003,us_open,623369,44526,23671,256,2435.04,1680000,0.371,30.1,male
2004,australian_open,522892,37349,14820,256,2042.55,840000,0.622,55.9,female
2004,roland_garros,400990,28642,15000,256,1566.37,532000,0.754,61.9,male
2004,wimbledon,457697,32692,15000,256,1787.88,588000,0.778,53.0,female
2004,us_open,644589,46042,23671,256,2517.93,1680000,0.384,37.5,female
2005,australian_open,560365,40026,14820,256,2188.93,840000,0.667,42.6,female
2005,roland_garros,397629,28402,15000,256,1553.24,532000,0.747,54.9,male
2005,wimbledon,453906,32421,15000,256,1773.07,588000,0.772,31.7,male
2005,us_open,663923,47423,23671,256,2593.45,1680000,0.395,44.6,male
2006,australian_open,572474,40891,14820,256,2236.23,840000,0.682,24.7,male
2006,roland_garros,437119,31222,15000,256,1707.5,532000,0.822,33.6,male
2006,wimbledon,452247,32303,15000,256,1766.59,588000,0.769,52.0,male
2006,us_open,688478,49177,23671,256,2689.37,1680000,0.41,21.1,male
2007,australian_open,601339,42952,14820,256,2348.98,840000,0.716,34.7,female
2007,roland_garros,417657,29832,15000,256,1631.47,532000,0.785,31.4,female
2007,wimbledon,474001,33857,15000,256,1851.57,588000,0.806,39.2,male
2007,us_open,678951,48496,23671,256,2652.15,1680000,0.404,8.8,female
2008,australian_open,589844,42131,14820,256,2304.08,840000,0.702,20.1,female
2008,roland_garros,470199,33585,15000,256,1836.72,532000,0.884,33.0,male
2008,wimbledon,493628,35259,15000,256,1928.24,588000,0.84,52.2,female
2008,us_open,738768,52769,23671,256,2885.81,1680000,0.44,32.4,female
2009,australian_open,625044,44646,14820,256,2441.58,840000,0.744,36.0,male
2009,roland_garros,443892,31706,15000,256,1733.95,532000,0.834,46.9,female
2009,wimbledon,483114,34508,15000,256,1887.17,588000,0.822,32.3,male
2009,us_open,726873,51919,23671,256,2839.35,1680000,0.433,36.6,male
2010,australian_open,633450,45246,14820,256,2474.42,840000,0.754,28.8,female
2010,roland_garros,474770,33912,15000,256,1854.57,532000,0.892,22.7,male
2010,wimbledon,454869,32490,15000,256,1776.84,588000,0.774,37.7,female
2010,us_open,776361,55454,23671,256,3032.66,1680000,0.462,39.2,female
2011,australian_open,662783,47341,14820,256,2589.0,840000,0.789,39.0,female
2011,roland_garros,495422,35387,15000,256,1935.25,532000,0.931,39.9,male
2011,wimbledon,470757,33625,15000,256,1838.9,588000,0.801,68.3,male
2011,us_open,761942,54424,23671,256,2976.34,1680000,0.454,37.7,female
2012,australian_open,703269,50233,14820,256,2747.15,840000,0.837,44.8,female
2012,roland_garros,484242,34588,15000,256,1891.57,532000,0.91,62.4,male
2012,wimbledon,505157,36082,15000,256,1973.27,588000,0.859,27.8,female
2012,us_open,796322,56880,23671,256,3110.64,1680000,0.474,24.7,female
2013,australian_open,752513,53750,14820,256,2939.51,840000,0.896,51.7,male
2013,roland_garros,532734,38052,15000,256,2081.0,532000,1.001,32.0,female
2013,wimbledon,489958,34997,15000,256,1913.9,588000,0.833,42.3,female
2013,us_open,822893,58778,23671,256,3214.43,1680000,0.49,43.6,female
2014,australian_open,711146,50796,14820,256,2777.92,840000,0.847,44.0,female
2014,roland_garros,509039,36359,15000,256,1988.43,532000,0.957,57.5,male
2014,wimbledon,465727,33266,15000,256,1819.25,588000,0.792,58.5,female
2014,us_open,790120,56437,23671,256,3086.41,1680000,0.47,43.6,female
2015,australian_open,754011,53857,14820,256,2945.36,840000,0.898,29.0,female
2015,roland_garros,525210,37515,15000,256,2051.6,532000,0.987,47.9,male
2015,wimbledon,506753,36196,15000,256,1979.51,588000,0.862,45.5,male
2015,us_open,807021,57644,23671,256,3152.43,1680000,0.48,22.1,male
2016,australian_open,766173,54726,14820,256,2992.86,840000,0.912,48.8,male
2016,roland_garros,552348,39453,15000,256,2157.61,532000,1.038,48.1,male
2016,wimbledon,475618,33972,15000,256,1857.89,588000,0.809,42.5,female
2016,us_open,858516,61322,23671,256,3353.58,1680000,0.511,31.9,male
2017,australian_open,769953,54996,14820,256,3007.63,840000,0.917,25.2,male
2017,roland_garros,589887,42134,15000,256,2304.25,532000,1.109,42.0,female
2017,wimbledon,509546,36396,15000,256,1990.41,588000,0.867,47.2,male
2017,us_open,822370,58740,23671,256,3212.38,1680000,0.49,26.5,female
2018,australian_open,784205,56014,14820,256,3063.3,840000,0.934,46.5,male
2018,roland_garros,593139,42367,15000,256,2316.95,532000,1.115,29.0,female
2018,wimbledon,509067,36361,15000,256,1988.54,588000,0.866,18.6,female
2018,us_open,882251,63017,23671,256,3446.3,1680000,0.525,43.4,female
2019,australian_open,868778,62055,14820,256,3393.67,840000,1.034,32.4,male
2019,roland_garros,562475,40176,15000,256,2197.17,532000,1.057,38.7,female
2019,wimbledon,494360,35311,15000,256,1931.1,588000,0.841,32.8,male
2019,us_open,843391,60242,23671,256,3294.5,1680000,0.502,19.5,female
2020,australian_open,898135,64152,14820,256,3508.34,840000,1.069,47.3,male
2020,roland_garros,607397,43385,15000,256,2372.65,532000,1.142,33.1,female
2020,wimbledon,495641,35402,15000,256,1936.1,588000,0.843,60.3,male
2020,us_open,852750,60910,23671,256,3331.06,1680000,0.508,41.3,female
2021,australian_open,870724,62194,14820,256,3401.27,840000,1.037,33.2,male
2021,roland_garros,601792,42985,15000,256,2350.75,532000,1.131,29.1,male
2021,wimbledon,518513,37036,15000,256,2025.44,588000,0.882,33.9,male
2021,us_open,918716,65622,23671,256,3588.73,1680000,0.547,23.1,male
2022,australian_open,943505,67393,14820,256,3685.57,840000,1.123,54.8,female
2022,roland_garros,623263,44518,15000,256,2434.62,532000,1.172,41.6,female
2022,wimbledon,490198,35014,15000,256,1914.84,588000,0.834,54.7,female
2022,us_open,940469,67176,23671,256,3673.71,1680000,0.56,22.6,female
2023,australian_open,953397,68099,14820,256,3724.21,840000,1.135,37.6,male
2023,roland_garros,641406,45814,15000,256,2505.49,532000,1.206,51.8,female
2023,wimbledon,526173,37583,15000,256,2055.36,588000,0.895,38.3,female
2023,us_open,934836,66774,23671,256,3651.7,1680000,0.556,43.3,male
2024,australian_open,952159,68011,14820,256,3719.37,840000,1.134,26.2,female
2024,roland_garros,645290,46092,15000,256,2520.66,532000,1.213,26.4,male
2024,wimbledon,490559,35039,15000,256,1916.25,588000,0.834,46.2,male
2024,us_open,912749,65196,23671,256,3565.43,1680000,0.543,30.6,female
