tournament,year,attendance,capacity,utilization_rate,pct_under_30,pct_over_50,pct_female,pct_male,region,surface,tv_viewers_millions,night_sessions
Australian Open,2000,636708,900000,0.7074533333333334,25.319845871104928,31.93185492083228,44.12817765387851,55.87182234612149,Oceania,Hard,75.79542213091005,6
Roland Garros,2000,582906,650000,0.8967784615384615,30.651013138982357,34.709796426655245,49.94020858583991,50.05979141416009,Europe,Clay,89.91286210367217,11
Wimbledon,2000,431648,500000,0.863296,29.01112120479356,25.2727963206643,41.05706143322089,58.94293856677911,Europe,Grass,79.24895796061853,14
US Open,2000,628710,850000,0.7396588235294118,35.21620470330871,32.67891107600609,40.27476160629886,59.72523839370114,North America,Hard,112.4543557472171,8
Australian Open,2001,937898,900000,1.042108888888889,36.56718259633912,29.877276368592966,40.25952543034859,59.74047456965141,Oceania,Hard,93.46411399739085,6
Roland Garros,2001,650690,650000,1.0010615384615384,26.71608738405151,23.230084410350905,42.157070424949126,57.842929575050874,Europe,Clay,51.01742465497552,6
Wimbledon,2001,446704,500000,0.893408,38.81328084054708,31.411579665619463,42.47900690416313,57.52099309583687,Europe,Grass,101.47707442074346,5
US Open,2001,814264,850000,0.9579576470588236,30.85464612596764,21.651270637519993,41.07064944746267,58.92935055253733,North America,Hard,71.71691237582391,9
Australian Open,2002,639549,900000,0.71061,39.65496861037114,33.933734582438774,48.490469416059376,51.509530583940624,Oceania,Hard,75.1288938592987,14
Roland Garros,2002,519564,650000,0.7993292307692308,39.49937906099701,32.80895088245488,46.10610203303417,53.89389796696583,Europe,Clay,86.0824342988607,12
Wimbledon,2002,456266,500000,0.912532,38.92827137086,21.333162327611472,46.387896259036296,53.612103740963704,Europe,Grass,49.434180602083856,6
US Open,2002,732157,850000,0.8613611764705882,34.69186729159259,26.794031255440252,49.28992907383322,50.71007092616678,North America,Hard,114.92376344082142,8
Australian Open,2003,712783,900000,0.7919811111111111,26.304138888896436,26.526975472474714,46.54277711661894,53.45722288338106,Oceania,Hard,104.26580533381646,11
Roland Garros,2003,634981,650000,0.9768938461538461,27.537006003428854,23.21975156123748,48.6269139245118,51.3730860754882,Europe,Clay,60.824545298960544,10
Wimbledon,2003,363899,500000,0.727798,28.35379826907634,26.877872643393907,43.498026863088995,56.501973136911005,Europe,Grass,98.01413432124296,12
US Open,2003,736898,850000,0.8669388235294118,25.43107051922215,29.460129211509614,43.73574308670491,56.26425691329509,North America,Hard,72.11171480884272,13
Australian Open,2004,645790,900000,0.7175444444444444,28.52820928573864,29.910554134001757,40.43033061790915,59.56966938209085,Oceania,Hard,119.87821691071974,6
Roland Garros,2004,634348,650000,0.97592,25.766541831579065,27.786964239490796,42.10865608931942,57.89134391068058,Europe,Clay,48.53944981014013,11
Wimbledon,2004,434562,500000,0.869124,34.80610960716217,31.41309639054119,46.893174393567875,53.106825606432125,Europe,Grass,119.64826693816943,9
US Open,2004,865532,850000,1.0182729411764706,30.925381427602076,32.948960352009614,44.98244612829901,55.01755387170099,North America,Hard,82.495732749196,5
Australian Open,2005,858385,900000,0.9537611111111111,30.327354695301135,24.647579345691028,40.493527109275206,59.506472890724794,Oceania,Hard,104.27394506422637,5
Roland Garros,2005,516326,650000,0.7943476923076923,25.7111090086429,25.977464923248405,41.55980784271802,58.44019215728198,Europe,Clay,77.96118883570735,13
Wimbledon,2005,461854,500000,0.923708,30.16396684736614,30.220356622081823,42.32607833917502,57.67392166082498,Europe,Grass,92.51874947597287,9
US Open,2005,677169,850000,0.7966694117647058,34.61827632505138,24.732997533999303,41.96390972850199,58.03609027149801,North America,Hard,58.149632055485874,10
Australian Open,2006,743379,900000,0.8259766666666667,26.075304126576228,22.884361430964294,49.014683071140475,50.985316928859525,Oceania,Hard,56.37615629583404,8
Roland Garros,2006,484075,650000,0.7447307692307692,35.6031088342435,27.224689533298505,46.77642233227944,53.22357766772056,Europe,Clay,105.57790716816638,13
Wimbledon,2006,500830,500000,1.00166,36.55940935228781,27.500230346995163,48.02529717177243,51.97470282822757,Europe,Grass,57.4045839348741,14
US Open,2006,673591,850000,0.79246,35.134191349644965,31.180114365018888,49.28904517458075,50.71095482541925,North America,Hard,117.82371993190162,11
Australian Open,2007,856530,900000,0.9517,36.435202518535064,33.355151558267984,47.32639705854487,52.67360294145513,Oceania,Hard,60.109693673407484,7
Roland Garros,2007,648740,650000,0.9980615384615384,25.580389072301323,20.864064653238767,40.65034396586968,59.34965603413032,Europe,Clay,58.22041006162448,14
Wimbledon,2007,459946,500000,0.919892,28.554176656494555,23.586579945548138,45.743266464637344,54.256733535362656,Europe,Grass,87.63796080637609,6
US Open,2007,820562,850000,0.9653670588235295,32.4030689639268,20.846243450212068,48.108973045709014,51.891026954290986,North America,Hard,45.050717230682864,13
Australian Open,2008,728810,900000,0.8097888888888889,30.667845653567348,34.752885330491694,48.507782446672834,51.492217553327166,Oceania,Hard,44.367724846781044,11
Roland Garros,2008,485577,650000,0.7470415384615384,32.564993492836365,33.18194357215792,44.06250858643035,55.93749141356965,Europe,Clay,110.30454947600732,14
Wimbledon,2008,459987,500000,0.919974,39.34154291660522,22.492314181021456,48.0043279246946,51.9956720753054,Europe,Grass,49.07775514637375,8
US Open,2008,878466,850000,1.033489411764706,27.659890990263808,34.99242399528036,48.37481303032768,51.62518696967232,North America,Hard,84.82476940078939,5
Australian Open,2009,913035,900000,1.0144833333333334,26.64439752358911,31.443337046797804,45.04793665659939,54.95206334340061,Oceania,Hard,87.84741769914598,10
Roland Garros,2009,589861,650000,0.9074784615384616,30.08245754338951,26.620032187996802,42.256691445016706,57.743308554983294,Europe,Clay,45.96731215902231,14
Wimbledon,2009,428664,500000,0.857328,30.814505724697174,33.70783613775768,45.69797873190704,54.30202126809296,Europe,Grass,91.4657556014131,12
US Open,2009,659335,850000,0.7756882352941177,37.16610579688957,28.929895062175927,43.571000941207465,56.428999058792535,North America,Hard,103.5015735733788,9
Australian Open,2010,831914,900000,0.9243488888888889,28.803807367503993,23.745295547145144,41.49222201478936,58.50777798521064,Oceania,Hard,67.68512937497391,7
Roland Garros,2010,519233,650000,0.79882,35.039598365547576,25.620146187130423,44.46983274282446,55.53016725717554,Europe,Clay,50.31767326668117,8
Wimbledon,2010,359524,500000,0.719048,31.082465579501445,26.780246294805146,46.237593888358354,53.762406111641646,Europe,Grass,42.924319369925456,12
US Open,2010,844921,850000,0.9940247058823529,29.999564372037792,29.737525329574275,43.89736686888856,56.10263313111144,North America,Hard,42.83743614335329,9
Australian Open,2011,944456,900000,1.0493955555555556,25.64136346511122,34.209438103970044,42.21400722973546,57.78599277026454,Oceania,Hard,79.77917685746591,5
Roland Garros,2011,555582,650000,0.8547415384615384,35.72385106123252,26.191023338817743,42.24766763848579,57.75233236151421,Europe,Clay,74.30522516115403,12
Wimbledon,2011,464416,500000,0.928832,27.94425209752148,32.53743132123496,46.58191333275434,53.41808666724566,Europe,Grass,65.29182707837091,10
US Open,2011,725537,850000,0.8535729411764705,28.174608826240817,24.928548736616264,40.5338521326619,59.4661478673381,North America,Hard,117.74204015967788,8
Australian Open,2012,900055,900000,1.000061111111111,28.642120999054143,27.990584058124526,41.61205179128936,58.38794820871064,Oceania,Hard,86.36471439231597,5
Roland Garros,2012,536194,650000,0.8249138461538461,26.81944527366225,22.500526796466794,40.04717031818533,59.95282968181467,Europe,Clay,46.42856875199085,9
Wimbledon,2012,397049,500000,0.794098,34.216448452998264,22.269584262971136,45.56459568910033,54.43540431089967,Europe,Grass,72.32566121943961,8
US Open,2012,798362,850000,0.9392494117647059,28.481001944912197,32.66062987733293,49.58527268392514,50.41472731607486,North America,Hard,81.28685295596414,11
Australian Open,2013,726869,900000,0.8076322222222222,35.934048764570925,29.64784084724895,47.39812941491259,52.60187058508741,Oceania,Hard,103.1710121107413,8
