year,tourney key,round,premio €,torneo_id
2000,us open - 2000,W,2738611.8929412677,
2001,us open - 2001,W,2808172.635021976,
2002,us open - 2002,W,2879500.2199515346,
2003,us open - 2003,W,2952639.525538304,
2004,us open - 2004,W,3027636.569486977,
2005,us open - 2005,W,3104538.5383519465,
2006,us open - 2006,W,3183393.8172260863,
2007,us open - 2007,W,3264252.0201836294,
2008,us open - 2008,W,3347164.0214962936,
2009,us open - 2009,W,3432181.9876423,
2010,us open - 2010,W,3519359.410128414,
2011,us open - 2011,W,3608751.139145676,
2012,us open - 2012,W,3700413.418079977,
2013,us open - 2013,W,3794403.9188992092,
2014,us open - 2014,W,3890781.7784392494,
2015,us open - 2015,W,3989607.635611606,
2016,us open - 2016,W,4090943.669556142,
2017,us open - 2017,W,4194853.638762868,
2018,us open - 2018,W,4301402.9211874455,
2019,us open - 2019,W,4410658.555385606,
2020,us open - 2020,W,4522689.282692401,
2021,us open - 2021,W,4637565.590472789,
2022,us open - 2022,W,4755359.7564707985,
2023,us open - 2023,W,4876145.894285156,
2024,us open - 2024,W,5000000.0,
2000,roland garros - 2000,W,1396692.0654000465,
2001,roland garros - 2001,W,1432168.043861208,
2002,roland garros - 2002,W,1468545.1121752828,
2003,roland garros - 2003,W,1505846.158024535,
2004,roland garros - 2004,W,1544094.6504383583,
2005,roland garros - 2005,W,1583314.6545594926,
2006,roland garros - 2006,W,1623530.8467853041,
2007,roland garros - 2007,W,1664768.530293651,
2008,roland garros - 2008,W,1707053.6509631097,
2009,roland garros - 2009,W,1750412.813697573,
2010,roland garros - 2010,W,1794873.2991654912,
2011,roland garros - 2011,W,1840463.080964295,
2012,roland garros - 2012,W,1887210.8432207883,
2013,roland garros - 2013,W,1935145.9986385966,
2014,roland garros - 2014,W,1984298.707004017,
2015,roland garros - 2015,W,2034699.8941619191,
2016,roland garros - 2016,W,2086381.2714736322,
2017,roland garros - 2017,W,2139375.3557690624,
2018,roland garros - 2018,W,2193715.489805597,
2019,roland garros - 2019,W,2249435.8632466593,
2020,roland garros - 2020,W,2306571.5341731245,
2021,roland garros - 2021,W,2365158.4511411223,
2022,roland garros - 2022,W,2425233.4758001072,
2023,roland garros - 2023,W,2486834.4060854297,
2024,roland garros - 2024,W,2550000.0,
2000,wimbledon - 2000,W,1643167.1357647607,
2001,wimbledon - 2001,W,1684903.5810131857,
2002,wimbledon - 2002,W,1727700.1319709208,
2003,wimbledon - 2003,W,1771583.7153229823,
