full_name,tourney_name,year_y,total_premio
Novak Djokovic,us open,2023,5189194.460698264
Novak Djokovic,australian open,2023,4590403.744880047
Novak Djokovic,us open,2018,4577552.9887276795
Novak Djokovic,australian open,2021,4365804.246871084
Novak Djokovic,australian open,2020,4257659.690726627
Novak Djokovic,us open,2015,4245740.445817871
Novak Djokovic,australian open,2019,4152193.96404001
Novak Djokovic,australian open,2016,3851214.370520152
Novak Djokovic,us open,2011,3840432.9622788285
Novak Djokovic,australian open,2015,3755816.6281647654
Novak Djokovic,australian open,2013,3572051.8492517155
Novak Djokovic,australian open,2012,3483569.1917804903
Novak Djokovic,australian open,2011,3397278.3223917396
Novak Djokovic,australian open,2008,3151020.2098366106
Novak Djokovic,wimbledon,2022,3092885.9856086075
Novak Djokovic,wimbledon,2021,3016272.6600435018
Novak Djokovic,roland garros,2023,2957870.099473376
Novak Djokovic,wimbledon,2019,2868692.3244227986
Novak Djokovic,roland garros,2021,2813147.2871807935
Novak Djokovic,wimbledon,2018,2797632.4599403143
Novak Djokovic,wimbledon,2015,2594840.8062017886
Novak Djokovic,wimbledon,2014,2530564.4686968876
Novak Djokovic,roland garros,2016,2481566.4299527556
Novak Djokovic,wimbledon,2011,2347131.740900348
