año,torneo,premio_total_usd_millones,asistencia_miles,premio_total_eur_millones
2000,Australian Open,7.5,400.0,6.9
2001,Australian Open,8.96,425.0,8.24
2002,Australian Open,10.42,450.0,9.59
2003,Australian Open,11.88,475.0,10.93
2004,Australian Open,13.34,500.0,12.27
2005,Australian Open,14.8,526.0,13.62
2006,Australian Open,16.26,551.0,14.96
2007,Australian Open,17.72,576.0,16.3
2008,Australian Open,19.18,601.0,17.65
2009,Australian Open,20.64,626.0,18.99
2010,Australian Open,22.1,651.0,20.33
2011,Australian Open,24.89,667.0,22.9
2012,Australian Open,27.68,683.0,25.47
2013,Australian Open,30.47,699.0,28.03
2014,Australian Open,33.26,715.0,30.6
2015,Australian Open,36.05,732.0,33.17
2016,Australian Open,38.84,748.0,35.73
2017,Australian Open,41.63,764.0,38.3
2018,Australian Open,44.42,780.0,40.87
2019,Australian Open,47.21,796.0,43.43
2020,Australian Open,50.0,812.0,46.0
2021,Australian Open,56.62,834.0,52.09
2022,Australian Open,63.25,856.0,58.19
2023,Australian Open,69.88,878.0,64.29
2024,Australian Open,76.5,900.0,70.38
2000,Roland Garros,6.5,370.0,5.98
2001,Roland Garros,7.85,379.0,7.22
2002,Roland Garros,9.2,388.0,8.46
2003,Roland Garros,10.55,397.0,9.71
2004,Roland Garros,11.9,406.0,10.95
2005,Roland Garros,13.25,415.0,12.19
2006,Roland Garros,14.6,424.0,13.43
2007,Roland Garros,15.95,433.0,14.67
2008,Roland Garros,17.3,442.0,15.92
2009,Roland Garros,18.65,451.0,17.16
2010,Roland Garros,20.0,460.0,18.4
2011,Roland Garros,22.5,454.0,20.7
2012,Roland Garros,25.0,448.0,23.0
2013,Roland Garros,27.5,442.0,25.3
2014,Roland Garros,30.0,436.0,27.6
2015,Roland Garros,32.5,430.0,29.9
2016,Roland Garros,35.0,424.0,32.2
2017,Roland Garros,37.5,418.0,34.5
2018,Roland Garros,40.0,412.0,36.8
2019,Roland Garros,42.5,406.0,39.1
2020,Roland Garros,45.0,400.0,41.4
2021,Roland Garros,48.75,462.0,44.85
2022,Roland Garros,52.5,525.0,48.3
2023,Roland Garros,56.25,588.0,51.75
2024,Roland Garros,60.0,650.0,55.2
2000,Wimbledon,8.0,450.0,7.36
2001,Wimbledon,9.6,453.0,8.83
2002,Wimbledon,11.2,456.0,10.3
2003,Wimbledon,12.8,459.0,11.78
2004,Wimbledon,14.4,462.0,13.25
2005,Wimbledon,16.0,465.0,14.72
2006,Wimbledon,17.6,468.0,16.19
2007,Wimbledon,19.2,471.0,17.66
2008,Wimbledon,20.8,474.0,19.14
2009,Wimbledon,22.4,477.0,20.61
2010,Wimbledon,24.0,480.0,22.08
2011,Wimbledon,21.6,432.0,19.87
2012,Wimbledon,19.2,384.0,17.66
2013,Wimbledon,16.8,336.0,15.46
2014,Wimbledon,14.4,288.0,13.25
2015,Wimbledon,12.0,240.0,11.04
2016,Wimbledon,9.6,192.0,8.83
2017,Wimbledon,7.2,144.0,6.62
2018,Wimbledon,4.8,96.0,4.42
2019,Wimbledon,2.4,48.0,2.21
2020,Wimbledon,0.0,0.0,0.0
2021,Wimbledon,17.0,138.0,15.64
2022,Wimbledon,34.0,275.0,31.28
2023,Wimbledon,51.0,412.0,46.92
2024,Wimbledon,68.0,550.0,62.56
2000,US Open,8.3,580.0,7.64
2001,US Open,9.74,594.0,8.96
2002,US Open,11.18,608.0,10.29
2003,US Open,12.62,622.0,11.61
2004,US Open,14.06,636.0,12.94
2005,US Open,15.5,650.0,14.26
2006,US Open,16.94,664.0,15.58
2007,US Open,18.38,678.0,16.91
2008,US Open,19.82,692.0,18.23
2009,US Open,21.26,706.0,19.56
2010,US Open,22.7,720.0,20.88
2011,US Open,25.77,648.0,23.71
2012,US Open,28.84,576.0,26.53
2013,US Open,31.91,504.0,29.36
2014,US Open,34.98,432.0,32.18
2015,US Open,38.05,360.0,35.01
2016,US Open,41.12,288.0,37.83
2017,US Open,44.19,216.0,40.65
2018,US Open,47.26,144.0,43.48
2019,US Open,50.33,72.0,46.3
2020,US Open,53.4,0.0,49.13
2021,US Open,56.3,188.0,51.8
2022,US Open,59.2,375.0,54.46
2023,US Open,62.1,562.0,57.13
2024,US Open,65.0,750.0,59.8
