year,tournament,round,prize_money_usd,prize_money_eur
2024,Australian Open,Winner,2100000,1932000.0
2024,Australian Open,Finalist,1150000,1058000.0
2024,Australian Open,Semifinal,650000,598000.0
2024,Australian Open,Quarterfinal,400000,368000.0
2024,Australian Open,Round of 16,250000,230000.0
2024,Australian Open,Round of 32,170000,156400.0
2024,Australian Open,Round of 64,120000,110400.0
2024,Australian Open,Round of 128,75000,69000.0
2024,Roland Garros,Winner,2500000,2300000.0
2024,Roland Garros,Finalist,1300000,1196000.0
2024,Roland Garros,Semifinal,700000,644000.0
2024,Roland Garros,Quarterfinal,425000,391000.0
2024,Roland Garros,Round of 16,250000,230000.0
2024,Roland Garros,Round of 32,170000,156400.0
2024,Roland Garros,Round of 64,110000,101200.0
2024,Roland Garros,Round of 128,73000,67160.0
2024,Wimbledon,Winner,3000000,2760000.0
2024,Wimbledon,Finalist,1550000,1426000.0
2024,Wimbledon,Semifinal,775000,713000.0
2024,Wimbledon,Quarterfinal,450000,414000.0
2024,Wimbledon,Round of 16,275000,253000.0
2024,Wimbledon,Round of 32,185000,170200.0
2024,Wimbledon,Round of 64,130000,119600.0
2024,Wimbledon,Round of 128,80000,73600.0
2024,US Open,Winner,3000000,2760000.0
2024,US Open,Finalist,1500000,1380000.0
2024,US Open,Semifinal,775000,713000.0
2024,US Open,Quarterfinal,455000,418600.0
2024,US Open,Round of 16,280000,257600.0
2024,US Open,Round of 32,191000,175720.0
2024,US Open,Round of 64,135000,124200.0
2024,US Open,Round of 128,81000,74520.0
