tourney_name,round,year,total Ace,total_df,total_bpSaved,total_1stWon,total_ace,total_bpFaced,total_SvGms,total_svpt,total_2ndWon,total_1stIn,%aces_por_punto,%doble_falta,%primer_serve_in,%primer_serve_won,%segundo_serve_won,%bp_saved,%bp_convertidos,%juegos_de_saques_ganados
australian open,F,2024,25.0,8.0,13.0,137.0,25.0,21.0,47.0,283.0,50.0,183.0,8.8339222614841,2.8268551236749118,64.66431095406361,74.86338797814209,50.0,61.904761904761905,61.904761904761905,100.0
australian open,QF,2024,20.0,5.0,13.0,111.0,20.0,15.0,31.0,218.0,33.0,146.0,9.174311926605505,2.293577981651376,66.97247706422019,76.02739726027397,45.83333333333333,86.66666666666667,86.66666666666667,100.0
australian open,R128,2020,5.0,4.0,8.0,84.0,5.0,15.0,30.0,197.0,37.0,124.0,2.5380710659898478,2.030456852791878,62.944162436548226,67.74193548387096,50.68493150684932,53.333333333333336,53.333333333333336,100.0
australian open,R128,2022,4.0,5.0,5.0,73.0,4.0,13.0,29.0,180.0,34.0,114.0,2.2222222222222223,2.7777777777777777,63.33333333333333,64.03508771929825,51.515151515151516,38.46153846153847,38.46153846153847,100.0
australian open,R128,2023,8.0,4.0,8.0,68.0,8.0,16.0,24.0,163.0,25.0,99.0,4.9079754601226995,2.4539877300613497,60.73619631901841,68.68686868686868,39.0625,50.0,50.0,100.0
australian open,R128,2024,15.0,4.0,15.0,80.0,15.0,21.0,31.0,195.0,39.0,120.0,7.6923076923076925,2.051282051282051,61.53846153846154,66.66666666666666,52.0,71.42857142857143,71.42857142857143,100.0
australian open,R16,2022,16.0,2.0,10.0,96.0,16.0,14.0,31.0,202.0,40.0,129.0,7.920792079207921,0.9900990099009901,63.86138613861386,74.4186046511628,54.794520547945204,71.42857142857143,71.42857142857143,100.0
australian open,R16,2024,15.0,3.0,12.0,81.0,15.0,18.0,31.0,188.0,40.0,113.0,7.9787234042553195,1.5957446808510638,60.1063829787234,71.68141592920354,53.333333333333336,66.66666666666666,66.66666666666666,100.0
australian open,R32,2022,21.0,10.0,12.0,93.0,21.0,23.0,33.0,203.0,26.0,131.0,10.344827586206897,4.926108374384237,64.5320197044335,70.99236641221374,36.11111111111111,52.17391304347826,52.17391304347826,100.0
australian open,R32,2023,9.0,9.0,11.0,102.0,9.0,26.0,41.0,253.0,39.0,165.0,3.557312252964427,3.557312252964427,65.21739130434783,61.81818181818181,44.31818181818182,42.30769230769231,42.30769230769231,100.0
australian open,R32,2024,8.0,0.0,9.0,64.0,8.0,16.0,22.0,144.0,18.0,99.0,5.555555555555555,0.0,68.75,64.64646464646465,40.0,56.25,56.25,100.0
australian open,R64,2022,16.0,3.0,4.0,70.0,16.0,9.0,27.0,155.0,33.0,92.0,10.32258064516129,1.935483870967742,59.354838709677416,76.08695652173914,52.38095238095239,44.44444444444444,44.44444444444444,100.0
australian open,R64,2023,12.0,4.0,0.0,61.0,12.0,5.0,25.0,133.0,27.0,82.0,9.022556390977442,3.007518796992481,61.65413533834586,74.39024390243902,52.94117647058824,0.0,0.0,100.0
australian open,R64,2024,13.0,4.0,6.0,61.0,13.0,12.0,24.0,138.0,28.0,87.0,9.420289855072465,2.898550724637681,63.04347826086957,70.11494252873564,54.90196078431373,50.0,50.0,100.0
australian open,SF,2024,16.0,5.0,6.0,106.0,16.0,11.0,36.0,226.0,46.0,143.0,7.079646017699115,2.2123893805309733,63.27433628318584,74.12587412587412,55.42168674698795,54.54545454545454,54.54545454545454,100.0
roland garros,QF,2024,13.0,5.0,7.0,88.0,13.0,12.0,30.0,195.0,40.0,120.0,6.666666666666667,2.564102564102564,61.53846153846154,73.33333333333333,53.333333333333336,58.333333333333336,58.333333333333336,100.0
roland garros,R128,2020,3.0,6.0,8.0,72.0,3.0,17.0,27.0,167.0,25.0,105.0,1.7964071856287425,3.592814371257485,62.874251497005986,68.57142857142857,40.32258064516129,47.05882352941176,47.05882352941176,100.0
roland garros,R128,2021,18.0,16.0,10.0,118.0,18.0,22.0,51.0,305.0,70.0,174.0,5.901639344262295,5.245901639344262,57.049180327868854,67.81609195402298,53.43511450381679,45.45454545454545,45.45454545454545,100.0
roland garros,R128,2022,8.0,3.0,7.0,73.0,8.0,12.0,26.0,165.0,31.0,101.0,4.848484848484849,1.8181818181818181,61.212121212121204,72.27722772277228,48.4375,58.333333333333336,58.333333333333336,100.0
roland garros,R128,2023,8.0,2.0,6.0,55.0,8.0,12.0,24.0,140.0,31.0,83.0,5.714285714285714,1.4285714285714286,59.285714285714285,66.26506024096386,54.385964912280706,50.0,50.0,100.0
roland garros,R128,2024,10.0,13.0,14.0,77.0,10.0,20.0,28.0,182.0,32.0,110.0,5.4945054945054945,7.142857142857142,60.43956043956044,70.0,44.44444444444444,70.0,70.0,100.0
roland garros,R16,2020,6.0,10.0,7.0,109.0,6.0,14.0,37.0,251.0,48.0,152.0,2.3904382470119523,3.9840637450199203,60.55776892430279,71.71052631578947,48.484848484848484,50.0,50.0,100.0
roland garros,R16,2024,6.0,7.0,8.0,84.0,6.0,20.0,32.0,194.0,22.0,133.0,3.0927835051546393,3.608247422680412,68.55670103092784,63.1578947368421,36.0655737704918,40.0,40.0,100.0
roland garros,R32,2020,2.0,2.0,10.0,84.0,2.0,21.0,33.0,211.0,33.0,146.0,0.9478672985781991,0.9478672985781991,69.19431279620854,57.534246575342465,50.76923076923077,47.61904761904761,47.61904761904761,100.0
roland garros,R32,2021,5.0,6.0,20.0,84.0,5.0,27.0,28.0,198.0,35.0,123.0,2.525252525252525,3.0303030303030303,62.121212121212125,68.29268292682927,46.666666666666664,74.07407407407408,74.07407407407408,100.0
roland garros,R32,2022,7.0,4.0,16.0,104.0,7.0,20.0,30.0,237.0,43.0,157.0,2.9535864978902953,1.6877637130801686,66.24472573839662,66.2420382165605,53.75,80.0,80.0,100.0
roland garros,R32,2024,5.0,2.0,11.0,88.0,5.0,14.0,30.0,184.0,37.0,118.0,2.717391304347826,1.0869565217391304,64.13043478260869,74.57627118644068,56.060606060606055,78.57142857142857,78.57142857142857,100.0
