año,tourney_name,tourney_id
2000,Australian Open,AO
2000,Roland Garros,RG
2000,Wimbledon,WB
2000,US Open,USO
2001,Australian Open,AO
2001,Roland Garros,RG
2001,Wimbledon,WB
2001,US Open,USO
2002,Australian Open,AO
2002,Roland Garros,RG
2002,Wimbledon,WB
2002,US Open,USO
2003,Australian Open,AO
2003,Roland Garros,RG
2003,Wimbledon,WB
2003,US Open,USO
2004,Australian Open,AO
2004,Roland Garros,RG
2004,Wimbledon,WB
2004,US Open,USO
2005,Australian Open,AO
2005,Roland Garros,RG
2005,Wimbledon,WB
2005,US Open,USO
2006,Australian Open,AO
2006,Roland Garros,RG
2006,Wimbledon,WB
2006,US Open,USO
2007,Australian Open,AO
2007,Roland Garros,RG
2007,Wimbledon,WB
2007,US Open,USO
2008,Australian Open,AO
2008,Roland Garros,RG
2008,Wimbledon,WB
2008,US Open,USO
2009,Australian Open,AO
2009,Roland Garros,RG
2009,Wimbledon,WB
2009,US Open,USO
2010,Australian Open,AO
2010,Roland Garros,RG
2010,Wimbledon,WB
2010,US Open,USO
2011,Australian Open,AO
2011,Roland Garros,RG
2011,Wimbledon,WB
2011,US Open,USO
2012,Australian Open,AO
2012,Roland Garros,RG
2012,Wimbledon,WB
2012,US Open,USO
2013,Australian Open,AO
2013,Roland Garros,RG
2013,Wimbledon,WB
2013,US Open,USO
2014,Australian Open,AO
2014,Roland Garros,RG
2014,Wimbledon,WB
2014,US Open,USO
2015,Australian Open,AO
2015,Roland Garros,RG
2015,Wimbledon,WB
2015,US Open,USO
2016,Australian Open,AO
2016,Roland Garros,RG
2016,Wimbledon,WB
2016,US Open,USO
2017,Australian Open,AO
2017,Roland Garros,RG
2017,Wimbledon,WB
2017,US Open,USO
2018,Australian Open,AO
2018,Roland Garros,RG
2018,Wimbledon,WB
2018,US Open,USO
2019,Australian Open,AO
2019,Roland Garros,RG
2019,Wimbledon,WB
2019,US Open,USO
2020,Australian Open,AO
2020,Roland Garros,RG
2020,Wimbledon,WB
2020,US Open,USO
2021,Australian Open,AO
2021,Roland Garros,RG
2021,Wimbledon,WB
2021,US Open,USO
2022,Australian Open,AO
2022,Roland Garros,RG
2022,Wimbledon,WB
2022,US Open,USO
2023,Australian Open,AO
2023,Roland Garros,RG
2023,Wimbledon,WB
2023,US Open,USO
2024,Australian Open,AO
2024,Roland Garros,RG
2024,Wimbledon,WB
2024,US Open,USO
