winner_id,full_name,torneo_ganados,tournament
200003,Justine Henin,1,Australian Open
200033,Serena Williams,7,Australian Open
200065,Amelie Mauresmo,1,Australian Open
200077,Jennifer Capriati,2,Australian Open
200079,Kim Clijsters,1,Australian Open
200128,Lindsay Davenport,1,Australian Open
201345,Maria Sharapova,1,Australian Open
201419,Na Li,1,Australian Open
201458,Victoria Azarenka,2,Australian Open
201493,Angelique Kerber,1,Australian Open
201496,Caroline Wozniacki,1,Australian Open
202458,Ashleigh Barty,1,Australian Open
211768,Naomi Osaka,2,Australian Open
213550,Sofia Kenin,1,Australian Open
214544,Aryna Sabalenka,2,Australian Open
200003,Justine Henin,4,Roland Garros
200033,Serena Williams,3,Roland Garros
200077,Jennifer Capriati,1,Roland Garros
200096,Mary Pierce,1,Roland Garros
200772,Anastasia Myskina,1,Roland Garros
201212,Francesca Schiavone,1,Roland Garros
201320,Svetlana Kuznetsova,1,Roland Garros
201345,Maria Sharapova,2,Roland Garros
201419,Na Li,1,Roland Garros
201421,Ana Ivanovic,1,Roland Garros
201594,Simona Halep,1,Roland Garros
202458,Ashleigh Barty,1,Roland Garros
202469,Garbine Muguruza,1,Roland Garros
206252,Barbora Krejcikova,1,Roland Garros
211533,Jelena Ostapenko,1,Roland Garros
216347,Iga Swiatek,4,Roland Garros
200033,Serena Williams,7,Wimbledon
200065,Amelie Mauresmo,1,Wimbledon
200748,Venus Williams,5,Wimbledon
201294,Marion Bartoli,1,Wimbledon
201345,Maria Sharapova,1,Wimbledon
201493,Angelique Kerber,1,Wimbledon
201520,Petra Kvitova,2,Wimbledon
201594,Simona Halep,1,Wimbledon
202458,Ashleigh Barty,1,Wimbledon
202469,Garbine Muguruza,1,Wimbledon
206252,Barbora Krejcikova,1,Wimbledon
214954,Marketa Vondrousova,1,Wimbledon
214981,Elena Rybakina,1,Wimbledon
200003,Justine Henin,2,US Open
200033,Serena Williams,5,US Open
200079,Kim Clijsters,3,US Open
200748,Venus Williams,2,US Open
201320,Svetlana Kuznetsova,1,US Open
201325,Samantha Stosur,1,US Open
201345,Maria Sharapova,1,US Open
201355,Flavia Pennetta,1,US Open
201493,Angelique Kerber,1,US Open
201585,Sloane Stephens,1,US Open
211768,Naomi Osaka,2,US Open
214544,Aryna Sabalenka,1,US Open
215370,Bianca Andreescu,1,US Open
216347,Iga Swiatek,1,US Open
221054,Emma Raducanu,1,US Open
221103,Coco Gauff,1,US Open
