ioc,full_name,tourney_date,winner_id,winner_age,score,round,minutes,tourney_key,year,premio €,tourney_name,tourney_year_from_key
USA,Madison Keys,20110829,201619,16.5,6-2 6-4,R128,,us open-2011,2011,79392.52506120488,us open,2011
USA,Madison Keys,20130114,201619,17.9,6-4 7-6(0),R128,,australian open-2013,2013,100172.26345893912,australian open,2013
USA,Madison Keys,20130114,201619,17.9,6-2 6-1,R64,,australian open-2013,2013,151776.15675596835,australian open,2013
USA,Madison Keys,20130527,201619,18.2,6-3 6-2,R128,,roland garros-2013,2013,59192.70113482766,roland garros,2013
USA,Madison Keys,20130624,201619,18.3,6-3 7-5,R128,,wimbledon-2013,2013,50086.13172946956,wimbledon,2013
USA,Madison Keys,20130624,201619,18.3,6-4 6-2,R64,,wimbledon-2013,2013,75129.19759420434,wimbledon,2013
USA,Madison Keys,20140113,201619,18.9,6-2 6-7(8) 9-7,R128,,australian open-2014,2014,102716.63895079616,australian open,2014
USA,Madison Keys,20140623,201619,19.3,6-3 6-3,R128,,wimbledon-2014,2014,51358.319475398086,wimbledon,2014
USA,Madison Keys,20140623,201619,19.3,7-5 6-7(3) 6-2,R64,,wimbledon-2014,2014,77037.47921309713,wimbledon,2014
USA,Madison Keys,20140825,201619,19.5,6-0 6-3,R128,,us open-2014,2014,85597.19912566348,us open,2014
USA,Madison Keys,20150119,201619,19.9,6-3 7-5,R128,,australian open-2015,2015,105325.6415801464,australian open,2015
USA,Madison Keys,20150119,201619,19.9,2-6 6-1 6-1,R64,,australian open-2015,2015,159584.30542446423,australian open,2015
USA,Madison Keys,20150119,201619,19.9,6-4 7-5,R32,,australian open-2015,2015,231397.24286547315,australian open,2015
USA,Madison Keys,20150119,201619,19.9,6-2 6-4,R16,,australian open-2015,2015,335127.0413913749,australian open,2015
USA,Madison Keys,20150119,201619,19.9,6-3 4-6 6-4,QF,,australian open-2015,2015,530617.8155363436,australian open,2015
USA,Madison Keys,20150525,201619,20.2,7-6(3) 6-3,R128,,roland garros-2015,2015,62237.87911554105,roland garros,2015
USA,Madison Keys,20150525,201619,20.2,6-0 6-3,R64,,roland garros-2015,2015,93356.81867331156,roland garros,2015
USA,Madison Keys,20150629,201619,20.3,6-7(6) 6-3 6-4,R128,,wimbledon-2015,2015,52662.8207900732,wimbledon,2015
USA,Madison Keys,20150629,201619,20.3,6-4 7-6(3),R64,,wimbledon-2015,2015,78994.23118510979,wimbledon,2015
USA,Madison Keys,20150629,201619,20.3,6-4 6-4,R32,,wimbledon-2015,2015,121284.07212259284,wimbledon,2015
USA,Madison Keys,20150629,201619,20.3,3-6 6-4 6-1,R16,,wimbledon-2015,2015,191501.16650935708,wimbledon,2015
USA,Madison Keys,20150831,201619,20.5,6-2 6-4,R128,,us open-2015,2015,87771.36798345533,us open,2015
USA,Madison Keys,20150831,201619,20.5,6-1 6-2,R64,,us open-2015,2015,122879.91517683746,us open,2015
USA,Madison Keys,20150831,201619,20.5,6-3 6-2,R32,,us open-2015,2015,189107.4019279901,us open,2015
USA,Madison Keys,20160523,201619,21.2,6-3 6-2,R128,64.0,roland garros-2016,2016,63818.72124507581,roland garros,2016
USA,Madison Keys,20160523,201619,21.2,6-3 6-2,R64,63.0,roland garros-2016,2016,95728.08186761371,roland garros,2016
USA,Madison Keys,20160523,201619,21.2,7-6(3) 6-3,R32,94.0,roland garros-2016,2016,137455.70729708637,roland garros,2016
USA,Madison Keys,20160627,201619,21.3,6-3 6-1,R128,62.0,wimbledon-2016,2016,54000.45643814107,wimbledon,2016
USA,Madison Keys,20160627,201619,21.3,6-4 4-6 6-3,R64,101.0,wimbledon-2016,2016,81000.6846572116,wimbledon,2016
USA,Madison Keys,20160627,201619,21.3,6-4 5-7 6-2,R32,115.0,wimbledon-2016,2016,124364.6875545067,wimbledon,2016
USA,Madison Keys,20160829,201619,21.5,4-6 7-6(5) 6-2,R128,145.0,us open-2016,2016,90000.76073023511,us open,2016
USA,Madison Keys,20160829,201619,21.5,6-1 6-1,R64,48.0,us open-2016,2016,126001.06502232916,us open,2016
USA,Madison Keys,20160829,201619,21.5,7-5 4-6 7-6(3),R32,127.0,us open-2016,2016,193910.7299369611,us open,2016
USA,Madison Keys,20160118,201619,20.9,7-6 6-1,R128,84.0,australian open-2016,2016,108000.91287628212,australian open,2016
USA,Madison Keys,20160118,201619,20.9,6-7 6-3 6-3,R64,122.0,australian open-2016,2016,163637.74678224567,australian open,2016
USA,Madison Keys,20160118,201619,20.9,4-6 6-4 6-4,R32,145.0,australian open-2016,2016,237274.73283425625,australian open,2016
USA,Madison Keys,20170529,201619,22.2,6-3 6-2,R128,61.0,roland garros-2017,2017,65439.71676470074,roland garros,2017
USA,Madison Keys,20170703,201619,22.3,6-4 6-2,R128,66.0,wimbledon-2017,2017,55372.068031669856,wimbledon,2017
USA,Madison Keys,20170828,201619,22.5,6-3 7-6(6),R128,90.0,us open-2017,2017,92286.7800527831,us open,2017
USA,Madison Keys,20170828,201619,22.5,6-3 6-4,R64,84.0,us open-2017,2017,129201.49207389633,us open,2017
USA,Madison Keys,20170828,201619,22.5,2-6 6-4 6-1,R32,114.0,us open-2017,2017,198836.06247735996,us open,2017
USA,Madison Keys,20170828,201619,22.5,7-6(2) 1-6 6-4,R16,120.0,us open-2017,2017,335588.29110102943,us open,2017
USA,Madison Keys,20170828,201619,22.5,6-3 6-3,QF,68.0,us open-2017,2017,553720.6803166985,us open,2017
USA,Madison Keys,20170828,201619,22.5,6-1 6-2,SF,66.0,us open-2017,2017,1057103.1169682427,us open,2017
USA,Madison Keys,20180528,201619,23.2,6-3 6-3,R128,58.0,roland garros-2018,2018,67101.88557052414,roland garros,2018
USA,Madison Keys,20180528,201619,23.2,6-4 6-1,R64,69.0,roland garros-2018,2018,100652.82835578622,roland garros,2018
USA,Madison Keys,20180528,201619,23.2,6-1 7-6(7),R32,83.0,roland garros-2018,2018,144527.13815189817,roland garros,2018
USA,Madison Keys,20180528,201619,23.2,6-1 6-4,R16,65.0,roland garros-2018,2018,227974.3548229346,roland garros,2018
USA,Madison Keys,20180528,201619,23.2,7-6(5) 6-4,QF,84.0,roland garros-2018,2018,378523.4570644952,roland garros,2018
