,ioc,full_name,tourney_date,winner_id,winner_age,score,round,minutes,tourney key,year
0,USA,Madison Keys,20110829,201619,16.5,6-2 6-4,R128,,us open-2011,2011
1,USA,Madison Keys,20130114,201619,17.9,6-4 7-6(0),R128,,australian open-2013,2013
2,USA,Madison Keys,20130114,201619,17.9,6-2 6-1,R64,,australian open-2013,2013
3,USA,Madison Keys,20130527,201619,18.2,6-3 6-2,R128,,roland garros-2013,2013
4,USA,Madison Keys,20130624,201619,18.3,6-3 7-5,R128,,wimbledon-2013,2013
5,USA,Madison Keys,20130624,201619,18.3,6-4 6-2,R64,,wimbledon-2013,2013
6,USA,Madison Keys,20140113,201619,18.9,6-2 6-7(8) 9-7,R128,,australian open-2014,2014
7,USA,Madison Keys,20140623,201619,19.3,6-3 6-3,R128,,wimbledon-2014,2014
8,USA,Madison Keys,20140623,201619,19.3,7-5 6-7(3) 6-2,R64,,wimbledon-2014,2014
9,USA,Madison Keys,20140825,201619,19.5,6-0 6-3,R128,,us open-2014,2014
10,USA,Madison Keys,20150119,201619,19.9,6-3 7-5,R128,,australian open-2015,2015
11,USA,Madison Keys,20150119,201619,19.9,2-6 6-1 6-1,R64,,australian open-2015,2015
12,USA,Madison Keys,20150119,201619,19.9,6-4 7-5,R32,,australian open-2015,2015
13,USA,Madison Keys,20150119,201619,19.9,6-2 6-4,R16,,australian open-2015,2015
14,USA,Madison Keys,20150119,201619,19.9,6-3 4-6 6-4,QF,,australian open-2015,2015
15,USA,Madison Keys,20150525,201619,20.2,7-6(3) 6-3,R128,,roland garros-2015,2015
16,USA,Madison Keys,20150525,201619,20.2,6-0 6-3,R64,,roland garros-2015,2015
17,USA,Madison Keys,20150629,201619,20.3,6-7(6) 6-3 6-4,R128,,wimbledon-2015,2015
18,USA,Madison Keys,20150629,201619,20.3,6-4 7-6(3),R64,,wimbledon-2015,2015
19,USA,Madison Keys,20150629,201619,20.3,6-4 6-4,R32,,wimbledon-2015,2015
20,USA,Madison Keys,20150629,201619,20.3,3-6 6-4 6-1,R16,,wimbledon-2015,2015
21,USA,Madison Keys,20150831,201619,20.5,6-2 6-4,R128,,us open-2015,2015
22,USA,Madison Keys,20150831,201619,20.5,6-1 6-2,R64,,us open-2015,2015
23,USA,Madison Keys,20150831,201619,20.5,6-3 6-2,R32,,us open-2015,2015
24,USA,Madison Keys,20160523,201619,21.2,6-3 6-2,R128,64.0,roland garros-2016,2016
25,USA,Madison Keys,20160523,201619,21.2,6-3 6-2,R64,63.0,roland garros-2016,2016
26,USA,Madison Keys,20160523,201619,21.2,7-6(3) 6-3,R32,94.0,roland garros-2016,2016
27,USA,Madison Keys,20160627,201619,21.3,6-3 6-1,R128,62.0,wimbledon-2016,2016
28,USA,Madison Keys,20160627,201619,21.3,6-4 4-6 6-3,R64,101.0,wimbledon-2016,2016
