,year,"premio_Inflación de 2,54%",tourney key
0,2000,1396692.0654000465,ROLAND GARROS - 2000
1,2001,1432168.043861208,ROLAND GARROS - 2001
2,2002,1468545.1121752828,ROLAND GARROS - 2002
3,2003,1505846.158024535,ROLAND GARROS - 2003
4,2004,1544094.6504383583,ROLAND GARROS - 2004
5,2005,1583314.6545594926,ROLAND GARROS - 2005
6,2006,1623530.8467853041,ROLAND GARROS - 2006
7,2007,1664768.530293651,ROLAND GARROS - 2007
8,2008,1707053.6509631097,ROLAND GARROS - 2008
9,2009,1750412.813697573,ROLAND GARROS - 2009
10,2010,1794873.2991654912,ROLAND GARROS - 2010
11,2011,1840463.080964295,ROLAND GARROS - 2011
12,2012,1887210.8432207883,ROLAND GARROS - 2012
13,2013,1935145.9986385966,ROLAND GARROS - 2013
14,2014,1984298.707004017,ROLAND GARROS - 2014
15,2015,2034699.8941619191,ROLAND GARROS - 2015
16,2016,2086381.2714736322,ROLAND GARROS - 2016
17,2017,2139375.3557690624,ROLAND GARROS - 2017
18,2018,2193715.489805597,ROLAND GARROS - 2018
19,2019,2249435.8632466593,ROLAND GARROS - 2019
20,2020,2306571.5341731245,ROLAND GARROS - 2020
21,2021,2365158.4511411223,ROLAND GARROS - 2021
22,2022,2425233.4758001072,ROLAND GARROS - 2022
23,2023,2486834.4060854297,ROLAND GARROS - 2023
24,2024,2550000.0,ROLAND GARROS - 2024
