,year,W,F,SF,QF,Round of 16,Round of 32,Round of 64,Round of 128 1,Q3,Q2,Q1,"premio_Inflación de 2,54%",tourney key
0,2000,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1643167.1357647607,WIMBLEDON - 2000
1,2001,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1684903.5810131857,WIMBLEDON - 2001
2,2002,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1727700.1319709208,WIMBLEDON - 2002
3,2003,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1771583.7153229823,WIMBLEDON - 2003
4,2004,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1816581.9416921863,WIMBLEDON - 2004
5,2005,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1862723.1230111679,WIMBLEDON - 2005
6,2006,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1910036.2903356517,WIMBLEDON - 2006
7,2007,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,1958551.2121101776,WIMBLEDON - 2007
8,2008,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2008298.412897776,WIMBLEDON - 2008
9,2009,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2059309.1925853798,WIMBLEDON - 2009
10,2010,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2111615.6460770485,WIMBLEDON - 2010
11,2011,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2165250.6834874055,WIMBLEDON - 2011
12,2012,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2220248.0508479862,WIMBLEDON - 2012
13,2013,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2276642.3513395255,WIMBLEDON - 2013
14,2014,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2334469.0670635495,WIMBLEDON - 2014
15,2015,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2393764.5813669637,WIMBLEDON - 2015
16,2016,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2454566.201733685,WIMBLEDON - 2016
17,2017,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2516912.183257721,WIMBLEDON - 2017
18,2018,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2580841.752712467,WIMBLEDON - 2018
19,2019,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2646395.1332313637,WIMBLEDON - 2019
20,2020,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2713613.5696154404,WIMBLEDON - 2020
21,2021,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2782539.354283673,WIMBLEDON - 2021
22,2022,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2853215.853882479,WIMBLEDON - 2022
23,2023,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,2925687.536571094,WIMBLEDON - 2023
24,2024,3000000.0,1520000.0,775000.0,400000.0,240000.0,152000.0,99000.0,66000.0,41500.0,26000.0,15500.0,3000000.0,WIMBLEDON - 2024
