,year,"premio_Inflación de 2,54%",tourney key
0,2000,1643167.1357647607,US OPEN - 2000
1,2001,1684903.5810131857,US OPEN - 2001
2,2002,1727700.1319709208,US OPEN - 2002
3,2003,1771583.7153229823,US OPEN - 2003
4,2004,1816581.9416921863,US OPEN - 2004
5,2005,1862723.1230111679,US OPEN - 2005
6,2006,1910036.2903356517,US OPEN - 2006
7,2007,1958551.2121101776,US OPEN - 2007
8,2008,2008298.412897776,US OPEN - 2008
9,2009,2059309.1925853798,US OPEN - 2009
10,2010,2111615.6460770485,US OPEN - 2010
11,2011,2165250.6834874055,US OPEN - 2011
12,2012,2220248.0508479862,US OPEN - 2012
13,2013,2276642.3513395255,US OPEN - 2013
14,2014,2334469.0670635495,US OPEN - 2014
15,2015,2393764.5813669637,US OPEN - 2015
16,2016,2454566.201733685,US OPEN - 2016
17,2017,2516912.183257721,US OPEN - 2017
18,2018,2580841.752712467,US OPEN - 2018
19,2019,2646395.1332313637,US OPEN - 2019
20,2020,2713613.5696154404,US OPEN - 2020
21,2021,2782539.354283673,US OPEN - 2021
22,2022,2853215.853882479,US OPEN - 2022
23,2023,2925687.536571094,US OPEN - 2023
24,2024,3000000.0,US OPEN - 2024
